class_code,sale_date,qty,revenue,avg_price,qty_am,qty_noon,qty_pm,disc_avg_price,loss_bar,weekday,is_weekend
1011010101,2020-07-01,205.402,1503.7896,7.32120232519645,82.302,49.517,73.583,4.17537449762514,0.102803,4,0
1011010201,2020-07-01,47.076,598.634,12.7163310391707,17.326,11.597,18.153,NaN,0.14142,4,0
1011010402,2020-07-01,4.85,70.2838,14.4915051546392,2.159,1.353,1.338,NaN,0.119747368421053,4,0
1011010501,2020-07-01,35.374,176.818,4.99852999378074,9.726,4.726,20.922,NaN,0.07122,4,0
1011010504,2020-07-01,76.715,759.9902,9.9066701427361,27.807,14.152,34.756,NaN,0.0851533333333334,4,0
1011010801,2020-07-01,35.365,368.602,10.4227908949526,12.054,9.622,13.689,16,0.0813097222222222,4,0
1011010101,2020-07-02,198.362,1409.6647,7.10652594751011,73.037,32.568,92.757,4.75039252143374,0.102803,5,0
1011010201,2020-07-02,43.943,546.032,12.4259153903921,16.217,8.449,19.277,NaN,0.14142,5,0
1011010402,2020-07-02,4.6,53.1208,11.548,1.504,0.542,2.554,NaN,0.119747368421053,5,0
1011010501,2020-07-02,32.199,172.092,5.34463803223703,14.765,6.065,11.369,NaN,0.07122,5,0
1011010504,2020-07-02,66.064,669.7044,10.1372063453621,21.439,11.19,33.435,NaN,0.0851533333333334,5,0
1011010801,2020-07-02,48.51,605.929,12.4908060193774,14.471,5.394,28.645,NaN,0.0813097222222222,5,0
1011010101,2020-07-03,191.779,1406.4065,7.33347498944097,70.903,42.749,78.127,4.8600556206089,0.102803,6,0
1011010201,2020-07-03,42.076,495.368,11.7731723547866,14.523,5.494,22.059,NaN,0.14142,6,0
1011010402,2020-07-03,9.572,76.693,8.01222315085667,2.196,0.18,7.196,6.31402557148392,0.119747368421053,6,0
1011010501,2020-07-03,35.896,196.243,5.46698796523289,10.438,5.594,19.864,NaN,0.07122,6,0
1011010504,2020-07-03,64.253,670.6646,10.4378721616111,25.142,11.375,27.736,NaN,0.0851533333333334,6,0
1011010801,2020-07-03,42.442,546.295,12.8715659017011,16.207,10.512,15.723,NaN,0.0813097222222222,6,0
1011010101,2020-07-04,236.587,1841.4,7.78318335326962,107.151,42.755,86.681,6.49811320754717,0.102803,7,1
1011010201,2020-07-04,55.662,702.186,12.6151773202544,28.425,7.364,19.873,NaN,0.14142,7,1
1011010402,2020-07-04,5.439,118.7532,21.8336458907887,4.868,0.571,0,NaN,0.119747368421053,7,1
1011010501,2020-07-04,57.067,327.403,5.73716859130496,27.613,9.395,20.059,NaN,0.07122,7,1
1011010504,2020-07-04,81.282,826.4166,10.1672768878719,36.538,13.359,31.385,13.2,0.0851533333333334,7,1
1011010801,2020-07-04,47.262,578.7036,12.2445855020947,26.589,9.698,10.975,17.8,0.0813097222222222,7,1
1011010101,2020-07-05,223.899,1573.1793,7.02628997896373,122.67,50.608,50.621,6.82748648013167,0.102803,1,1
1011010201,2020-07-05,55.474,697.982,12.5821465911959,31.883,7.709,15.882,NaN,0.14142,1,1
1011010402,2020-07-05,4.019,40.19,10,3.438,0,0.581,NaN,0.119747368421053,1,1
1011010501,2020-07-05,61.816,411.3631,6.65463795781028,27.08,12.001,22.735,9.04816933638444,0.07122,1,1
1011010504,2020-07-05,98.496,1016.2366,10.3175418291098,38.919,22.039,37.538,13.6,0.0851533333333334,1,1
1011010801,2020-07-05,73.213,732.6238,10.0067447038094,38.647,11.541,23.025,NaN,0.0813097222222222,1,1
1011010101,2020-07-06,195.74,1511.5968,7.72247266782467,81.718,35.155,78.867,6.25402812779449,0.102803,2,0
1011010201,2020-07-06,42.721,506.3038,11.8514032911215,16.688,6.15,19.883,13.2,0.14142,2,0
1011010402,2020-07-06,3.089,30.7757,9.96299773389446,1.675,0.772,0.642,9.7,0.119747368421053,2,0
1011010501,2020-07-06,30.727,201.412,6.55488658183357,13.197,3.844,13.686,NaN,0.07122,2,0
1011010504,2020-07-06,58.682,645.2908,10.9964009406632,20.939,12.71,25.033,NaN,0.0851533333333334,2,0
1011010801,2020-07-06,40.578,487.603,12.0164374784366,15.969,4.723,19.886,3.4,0.0813097222222222,2,0
1011010101,2020-07-07,175.052,1348.709,7.70461919886662,68.83,37.434,68.788,4.61428477301179,0.102803,3,0
1011010201,2020-07-07,45.749,526.991,11.5191807471202,14.711,11.751,19.287,NaN,0.14142,3,0
1011010402,2020-07-07,3.117,31.17,10,1.643,0.893,0.581,NaN,0.119747368421053,3,0
1011010501,2020-07-07,32.112,186.848,5.81863477827603,6.226,6.853,19.033,NaN,0.07122,3,0
1011010504,2020-07-07,42.213,531.0704,12.5807310544145,11.573,7.093,23.547,NaN,0.0851533333333334,3,0
1011010801,2020-07-07,52.56,622.3339,11.840447108067,17.662,12.339,22.559,4.99743233865371,0.0813097222222222,3,0
1011010101,2020-07-08,158.57,1251.845,7.89458914044271,79.29,19.116,60.164,5.30231335436383,0.102803,4,0
1011010201,2020-07-08,45.433,532.102,11.7117953910153,16.076,5.809,23.548,NaN,0.14142,4,0
1011010402,2020-07-08,10.605,155.484,14.6613861386139,7.384,0.251,2.97,NaN,0.119747368421053,4,0
1011010501,2020-07-08,39.67,232.2832,5.85538694227376,14.021,5.457,20.192,6.7,0.07122,4,0
1011010504,2020-07-08,65.88,768.061,11.6584851244687,22.446,10.447,32.987,10,0.0851533333333334,4,0
1011010801,2020-07-08,43.968,565.4192,12.859788937409,15.498,5.788,22.682,NaN,0.0813097222222222,4,0
1011010101,2020-07-09,187.439,1395.7574,7.44646204898661,75.992,30.817,80.63,0.3,0.102803,5,0
1011010201,2020-07-09,41.131,496.204,12.0639906639761,12.524,8.911,19.696,NaN,0.14142,5,0
1011010402,2020-07-09,2.106,21.06,10,0.963,0.592,0.551,NaN,0.119747368421053,5,0
1011010501,2020-07-09,25.921,205.52,7.9287064542263,7.192,6.337,12.392,NaN,0.07122,5,0
1011010504,2020-07-09,58.86,615.355,10.4545531770302,26.227,6.789,25.844,NaN,0.0851533333333334,5,0
1011010801,2020-07-09,37.837,464.1238,12.2664006131564,16.782,6.467,14.588,NaN,0.0813097222222222,5,0
1011010101,2020-07-10,179.833,1305.5266,7.25966090761985,83.927,25.303,70.603,5.58414089830713,0.102803,6,0
1011010201,2020-07-10,62.344,659.9568,10.585730784037,23.161,8.651,30.532,8.88947266756809,0.14142,6,0
1011010402,2020-07-10,9.025,128.7304,14.263756232687,4.137,0.957,3.931,15.1,0.119747368421053,6,0
1011010501,2020-07-10,37.86,268.3507,7.08797411516112,11.408,6.369,20.083,7.21111411573824,0.07122,6,0
1011010504,2020-07-10,58.936,714.7903,12.128245893851,14.627,13.255,31.054,12.1645374449339,0.0851533333333334,6,0
1011010801,2020-07-10,41.429,470.8101,11.3642641627845,17.974,5.138,18.317,14.5751534439645,0.0813097222222222,6,0
1011010101,2020-07-11,271.12,2106.3287,7.76899048391856,123.522,69.257,78.341,6.70283771616629,0.102803,7,1
1011010201,2020-07-11,76.564,784.2707,10.2433349877227,30.135,19.991,26.438,9.01943516972732,0.14142,7,1
1011010402,2020-07-11,8.928,132.1233,14.7987567204301,6.524,1.771,0.633,14.7249014454665,0.119747368421053,7,1
1011010501,2020-07-11,68.277,405.2064,5.93474229974955,23.017,18.537,26.723,5.79059592657782,0.07122,7,1
1011010504,2020-07-11,85.936,1060.3598,12.3389475889034,46.466,17.04,22.43,11.1864670517506,0.0851533333333334,7,1
1011010801,2020-07-11,52.238,700.3148,13.4062330104522,34.637,12.314,5.287,12.6354794892692,0.0813097222222222,7,1
1011010101,2020-07-12,300.189,2195.9922,7.3153653198485,159.584,70.187,70.418,6.01426094194354,0.102803,1,1
1011010201,2020-07-12,71.615,777.0745,10.8507226139775,44.387,19.062,8.166,9.15825778478518,0.14142,1,1
1011010402,2020-07-12,13.994,247.9604,17.7190510218665,11.133,2.861,0,17.109276844412,0.119747368421053,1,1
1011010501,2020-07-12,81.706,582.6195,7.1306819572614,36.513,20.97,24.223,6.32386893656716,0.07122,1,1
1011010504,2020-07-12,72.459,855.2597,11.8033605211223,32.8,18.721,20.938,10.9901527203309,0.0851533333333334,1,1
1011010801,2020-07-12,55.96,678.7291,12.1288259471051,37.273,9.687,9,10.9327998457385,0.0813097222222222,1,1
1011010101,2020-07-13,190.832,1422.2044,7.45265154691037,68.555,46.906,75.371,6.26052935563256,0.102803,2,0
1011010201,2020-07-13,32.028,315.3762,9.84689022105658,15.849,6.966,9.213,6.54727467046669,0.14142,2,0
1011010402,2020-07-13,11.605,164.1054,14.1409220163723,5.936,4.475,1.194,10.2528899445764,0.119747368421053,2,0
1011010501,2020-07-13,44.379,306.6984,6.91089028594605,13.722,9.895,20.762,5.19283795881826,0.07122,2,0
1011010504,2020-07-13,61.24,662.7452,10.8220966688439,19.189,15.502,26.549,9.59660297239915,0.0851533333333334,2,0
1011010801,2020-07-13,42.113,544.001,12.9176501317883,10.801,14.831,16.481,14.0594033722438,0.0813097222222222,2,0
1011010101,2020-07-14,190.599,1375.1632,7.21495495779096,69.923,43.984,76.692,6.3256829137654,0.102803,3,0
1011010201,2020-07-14,57.575,558.9169,9.70763178462874,19.112,16.239,22.224,8.45526431718062,0.14142,3,0
1011010402,2020-07-14,9.007,135.8165,15.0789941156878,6.135,0.657,2.215,14.9,0.119747368421053,3,0
1011010501,2020-07-14,34.747,225.4722,6.4889688318416,8.739,13.175,12.833,5.29434214931369,0.07122,3,0
1011010504,2020-07-14,66.745,710.1373,10.6395580193273,19.35,19.489,27.906,9.42139976958525,0.0851533333333334,3,0
1011010801,2020-07-14,44.836,537.0122,11.9772548844678,13.857,16.289,14.69,9.1487963891675,0.0813097222222222,3,0
1011010101,2020-07-15,218.094,1481.9327,6.79492649958275,81.708,49.702,86.684,4.72682840236686,0.102803,4,0
1011010201,2020-07-15,37.962,375.1279,9.88166851061588,14.085,14.104,9.773,9.52147979139504,0.14142,4,0
1011010402,2020-07-15,10.238,151.4427,14.7922152764212,5.935,2.121,2.182,11.3205457463884,0.119747368421053,4,0
1011010501,2020-07-15,38.17,274.55,7.19282158763427,10.693,7.227,20.25,6.9,0.07122,4,0
1011010504,2020-07-15,73.354,749.7708,10.2212667339204,21.488,17.401,34.465,8.6767681498829,0.0851533333333334,4,0
1011010801,2020-07-15,42.196,494.0361,11.7081263626884,14.499,14.605,13.092,9.61627801675345,0.0813097222222222,4,0
1011010101,2020-07-16,215.526,1535.9922,7.12671417833579,82.77,50.066,82.69,6.31091755518847,0.102803,5,0
