prod_code,sale_date,qty,revenue,avg_price,has_discount,n_trans,qty_am,qty_noon,qty_pm
102900005115168,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115199,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115625,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115748,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115762,2020-07-01,6.841,41.046,6,0,11,5.921,0.92,0
102900005115779,2020-07-01,41.966,335.728,8,0,114,16.853,8.823,16.29
102900005115786,2020-07-01,11.352,68.112,6,0,24,6.387,2.04,2.925
102900005115793,2020-07-01,4.288,68.608,16,0,11,2.073,1.114,1.101
102900005115816,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115823,2020-07-01,11.476,114.76,10,0,28,4.64,3.829,3.007
102900005115854,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115861,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115878,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115885,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115908,2020-07-01,8.959,71.672,8,0,20,2.681,1.567,4.711
102900005115946,2020-07-01,3.039,21.273,7,0,9,0.688,1.076,1.275
102900005115960,2020-07-01,14.748,47.1936,3.2,0,16,10.944,3.144,0.66
102900005115977,2020-07-01,0,0,NaN,0,0,0,0,0
102900005115984,2020-07-01,32.579,195.474,6,0,71,16.274,7.492,8.813
102900005116639,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116776,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116790,2020-07-01,4.837,38.696,8,0,7,0,0,4.837
102900005116806,2020-07-01,0,0,NaN,0,0,0,0,0
102900005118572,2020-07-01,0,0,NaN,0,0,0,0,0
102900005118817,2020-07-01,5.472,76.608,14,0,14,1.924,1.337,2.211
102900005118831,2020-07-01,10,68.5,6.85,1,10,1,4,5
102900005119975,2020-07-01,22.402,109.042,4.86751182930096,1,58,4.516,5.829,12.057
102900005122654,2020-07-01,0,0,NaN,0,0,0,0,0
102900005128748,2020-07-01,0,0,NaN,0,0,0,0,0
102900011000175,2020-07-01,0,0,NaN,0,0,0,0,0
102900011000571,2020-07-01,0,0,NaN,0,0,0,0,0
102900011002414,2020-07-01,0,0,NaN,0,0,0,0,0
102900011006689,2020-07-01,0,0,NaN,0,0,0,0,0
102900011006948,2020-07-01,2.623,41.968,16,0,9,0.563,0.626,1.434
102900011006955,2020-07-01,0,0,NaN,0,0,0,0,0
102900011007464,2020-07-01,0,0,NaN,0,0,0,0,0
102900011007471,2020-07-01,0,0,NaN,0,0,0,0,0
102900011007495,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008133,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008164,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008485,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008492,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008515,2020-07-01,0,0,NaN,0,0,0,0,0
102900011008522,2020-07-01,18.271,146.168,8,0,32,4.487,5.914,7.87
102900011008676,2020-07-01,0,0,NaN,0,0,0,0,0
102900011015384,2020-07-01,0,0,NaN,0,0,0,0,0
102900011015391,2020-07-01,0,0,NaN,0,0,0,0,0
102900011021644,2020-07-01,0,0,NaN,0,0,0,0,0
102900011022849,2020-07-01,0,0,NaN,0,0,0,0,0
102900011022924,2020-07-01,0,0,NaN,0,0,0,0,0
102900011023464,2020-07-01,0,0,NaN,0,0,0,0,0
102900011026502,2020-07-01,0,0,NaN,0,0,0,0,0
102900011026618,2020-07-01,0,0,NaN,0,0,0,0,0
102900011027462,2020-07-01,0,0,NaN,0,0,0,0,0
102900011027615,2020-07-01,0,0,NaN,0,0,0,0,0
102900011029688,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030042,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030059,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030097,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030103,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030110,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030134,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030141,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030158,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030400,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030417,2020-07-01,0,0,NaN,0,0,0,0,0
102900011030905,2020-07-01,0,0,NaN,0,0,0,0,0
102900011031216,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032176,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032282,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032480,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032589,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032787,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033081,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033173,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033234,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033241,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033531,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033562,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033586,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033906,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033920,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034200,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034217,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034224,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034231,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034316,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034323,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034354,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035481,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035764,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035771,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035849,2020-07-01,0,0,NaN,0,0,0,0,0
102900011036686,2020-07-01,0,0,NaN,0,0,0,0,0
102900051000890,2020-07-01,0,0,NaN,0,0,0,0,0
102900051009220,2020-07-01,0,0,NaN,0,0,0,0,0
102900051010455,2020-07-01,6.549,58.941,9,0,11,3.351,1.806,1.392
102900051010790,2020-07-01,0,0,NaN,0,0,0,0,0
106971563780002,2020-07-01,0,0,NaN,0,0,0,0,0
106972776821582,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116714,2020-07-01,34.99,489.86,14,0,78,11.734,9.091,14.165
102900011000632,2020-07-01,0,0,NaN,0,0,0,0,0
102900011009970,2020-07-01,12.086,108.774,9,0,24,5.592,2.506,3.988
102900011033913,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034026,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116042,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116899,2020-07-01,0,0,NaN,0,0,0,0,0
102900005118824,2020-07-01,4.119,41.19,10,0,13,1.614,1.353,1.152
102900011001561,2020-07-01,0,0,NaN,0,0,0,0,0
102900011001691,2020-07-01,0,0,NaN,0,0,0,0,0
102900011007969,2020-07-01,0,0,NaN,0,0,0,0,0
102900011009277,2020-07-01,0,0,NaN,0,0,0,0,0
102900011010891,2020-07-01,0,0,NaN,0,0,0,0,0
102900011018132,2020-07-01,0,0,NaN,0,0,0,0,0
102900011021842,2020-07-01,0,0,NaN,0,0,0,0,0
102900011023976,2020-07-01,0,0,NaN,0,0,0,0,0
102900011024010,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032114,2020-07-01,0,0,NaN,0,0,0,0,0
102900011032732,2020-07-01,0,0,NaN,0,0,0,0,0
102900011034569,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035511,2020-07-01,0,0,NaN,0,0,0,0,0
102900011035962,2020-07-01,0,0,NaN,0,0,0,0,0
102900051000944,2020-07-01,0.731,29.0938,39.8,0,2,0.545,0,0.186
102900051006229,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116257,2020-07-01,17.661,105.966,6,0,32,3.193,3.847,10.621
102900005116509,2020-07-01,17.713,70.852,4,0,28,6.533,0.879,10.301
102900011000335,2020-07-01,0,0,NaN,0,0,0,0,0
102900011009444,2020-07-01,0,0,NaN,0,0,0,0,0
102900011016909,2020-07-01,0,0,NaN,0,0,0,0,0
102900011022764,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033975,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033982,2020-07-01,0,0,NaN,0,0,0,0,0
102900011033999,2020-07-01,0,0,NaN,0,0,0,0,0
102900051000463,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116219,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116226,2020-07-01,2.844,22.752,8,0,9,0.589,0.626,1.629
102900005116233,2020-07-01,2.512,25.12,10,0,17,1.251,0.711,0.55
102900005116905,2020-07-01,0,0,NaN,0,0,0,0,0
102900005116943,2020-07-01,2.129,38.322,18,0,11,1.628,0.072,0.429
102900005117056,2020-07-01,54.548,414.5648,7.6,0,137,19.731,9.249,25.568
102900005117209,2020-07-01,1.909,30.544,16,0,5,0.695,0.707,0.507
102900005119968,2020-07-01,0,0,NaN,0,0,0,0,0
102900005123880,2020-07-01,0.927,11.124,12,0,3,0.376,0.359,0.192
102900005125808,2020-07-01,4.383,113.0814,25.8,0,45,1.298,0.861,2.224
102900011000328,2020-07-01,0,0,NaN,0,0,0,0,0
102900011000861,2020-07-01,0,0,NaN,0,0,0,0,0
102900011001219,2020-07-01,1.953,27.342,14,0,7,0.851,0.744,0.358
102900011009772,2020-07-01,0,0,NaN,0,0,0,0,0
102900011016701,2020-07-01,0,0,NaN,0,0,0,0,0
102900011022030,2020-07-01,0,0,NaN,0,0,0,0,0
102900011023648,2020-07-01,0,0,NaN,0,0,0,0,0
102900011027479,2020-07-01,0,0,NaN,0,0,0,0,0
102900011028407,2020-07-01,0,0,NaN,0,0,0,0,0
102900011029176,2020-07-01,0,0,NaN,0,0,0,0,0
102900011029275,2020-07-01,0,0,NaN,0,0,0,0,0
102900011029299,2020-07-01,0,0,NaN,0,0,0,0,0
