单品编码,单品名称,TOPSIS得分
102900011031100,小米椒(份),0.74374066171803
102900011030059,云南生菜(份),0.62838163731282
102900005116714,西兰花,0.585168403168733
102900011030097,云南油麦菜(份),0.500377476542391
102900011016701,芜湖青椒(1),0.487847750793704
102900005115786,竹叶菜,0.415471667581728
102900005115250,西峡花菇(1),0.400902599454786
102900005116257,紫茄子(2),0.364075927571909
106949711300259,金针菇(盒),0.331726527598302
102900011000328,螺丝椒,0.321522206795804
102900011032251,螺丝椒(份),0.293157312415811
102900005118831,娃娃菜,0.277403051030802
102900005115762,苋菜,0.27367744952474
102900011032022,小皱皮(份),0.258824827120584
102900011034330,双孢菇(盒),0.255670667206245
102900005116899,净藕(1),0.249003975188755
102900011008164,奶白菜,0.236112617255311
102900011022764,长线茄,0.232143608473457
102900005115946,木耳菜,0.217883738990954
102900011032848,姜蒜小米椒组合装(小份),0.207366245026257
102900011023464,小青菜(1),0.200889401016445
106971533450003,海鲜菇(包),0.198960191543258
102900005115823,上海青,0.189310569778111
102900005119975,红薯尖,0.181212223781956
102900011030110,菠菜(份),0.173008758281476
102900051000944,洪湖藕带,0.166617466478414
102900011034026,枝江青梗散花,0.153919311877284
102900011035078,红椒(2),0.140510083960693
102900011001691,菱角,0.116804418404897
102900005116509,青茄子(1),0.115293851226179
102900005115779,云南生菜,0.111230940642001
102900005118824,高瓜(1),0.106032182456947
102900005118817,菠菜,0.0933163728094336
102900005115908,菜心,0.0910939280451836
102900011006948,外地茼蒿,0.0901059195891229
102900011032343,七彩椒(2),0.0893027495966181
102900051000463,圆茄子(2),0.0892481645632161
102900011007969,红莲藕带,0.0884600292476581
102900005115984,云南油麦菜,0.0877599411655335
102900011018132,野生粉藕,0.0876754528045822
102900011034439,青红杭椒组合装(份),0.0854765217130092
102900011032237,青线椒(份),0.0834537250061439
102900011033982,紫茄子(1),0.0834072663087723
102900011031926,虫草花(份),0.0797147835497821
102900011030929,鲜木耳(份),0.0738636666038417
102900011013274,白玉菇(袋),0.0648088438348035
102900011036686,木耳菜(份),0.0630247857305938
102900011035740,蟹味菇与白玉菇双拼(盒),0.0608119854050615
102900011032732,高瓜(2),0.0480258791472929
