日期,单品编码,批发价格(元/千克)
44013,102900005115762,3.88
44013,102900005115779,6.72
44013,102900005115786,3.19
44013,102900005115793,9.24
44013,102900005115823,7.03
44013,102900005115908,4.5999999999999996
44013,102900005115946,4.2
44013,102900005115960,2.1
44013,102900005115984,3.44
44013,102900005116226,4.6399999999999997
44013,102900005116233,5.76
44013,102900005116257,6.56
44013,102900005116509,1.63
44013,102900005116530,10.8
44013,102900005116547,4.0599999999999996
44013,102900005116714,9.23
44013,102900005116790,3.97
44013,102900005116912,8.16
44013,102900005116943,7.83
44013,102900005117056,4.32
44013,102900005117209,7.58
44013,102900005118817,8.4700000000000006
44013,102900005118824,5.65
44013,102900005118831,4.13
44013,102900005119944,10.29
44013,102900005119975,3.6
44013,102900005123880,7.5
44013,102900005125808,12.1
44013,102900005125815,6.16
44013,102900011001219,8.24
44013,102900011006948,11.69
44013,102900011008522,4.4400000000000004
44013,102900011009970,6.03
44013,102900051000944,29.43
44013,102900051004294,6.81
44013,102900051010455,4.63
44014,102900005115762,3.93
44014,102900005115779,4.2300000000000004
44014,102900005115786,3.18
44014,102900005115793,9.19
44014,102900005115823,7.03
44014,102900005115908,4.5199999999999996
44014,102900005115946,4.2300000000000004
44014,102900005115960,2.1
44014,102900005115984,3.58
44014,102900005116226,4.57
44014,102900005116233,5.71
44014,102900005116257,3.72
44014,102900005116509,1.46
44014,102900005116530,10.8
44014,102900005116547,4.05
44014,102900005116714,8.9
44014,102900005116790,3.97
44014,102900005116912,8.0500000000000007
44014,102900005116943,7.27
44014,102900005117056,4.4800000000000004
44014,102900005117209,7.33
44014,102900005118817,7.88
44014,102900005118824,5.76
44014,102900005118831,4.1100000000000003
44014,102900005119944,10.130000000000001
44014,102900005119975,3.6
44014,102900005123880,6.46
44014,102900005125808,12.13
44014,102900005125815,6.15
44014,102900011000328,7.1
44014,102900011001219,8.24
44014,102900011006689,6.83
44014,102900011006948,11.75
44014,102900011008522,4.4400000000000004
44014,102900011009970,5.52
44014,102900051000944,29.54
44014,102900051004294,6.85
44014,102900051010455,4.76
44015,102900005115762,3.57
44015,102900005115779,4.6100000000000003
44015,102900005115786,3.79
44015,102900005115793,9.1999999999999993
44015,102900005115823,6.76
44015,102900005115908,3.89
44015,102900005115946,4.3
44015,102900005115960,2.11
44015,102900005115984,3.75
44015,102900005116226,4.42
44015,102900005116233,5.7
44015,102900005116257,6.56
44015,102900005116509,1.48
44015,102900005116530,10.8
44015,102900005116547,4.05
44015,102900005116714,8.9700000000000006
44015,102900005116790,3.98
44015,102900005116912,7.9
44015,102900005116943,6.75
44015,102900005117056,5.31
44015,102900005117209,6.21
44015,102900005118824,5.61
44015,102900005118831,4.05
44015,102900005119944,10.050000000000001
44015,102900005119975,3.6
44015,102900005123880,6.23
44015,102900005125808,12.2
44015,102900005125815,6.32
44015,102900011000328,6.58
44015,102900011001219,7
44015,102900011006689,6.88
44015,102900011006948,11.75
44015,102900011008522,4.47
44015,102900011009970,4.8099999999999996
44015,102900051004294,8.07
44015,102900051010455,4.74
44016,102900005115779,5.77
44016,102900005115786,3.46
44016,102900005115793,9.16
44016,102900005115823,6.56
44016,102900005115908,3.53
44016,102900005115946,4.28
44016,102900005115960,2.21
44016,102900005115984,3.75
44016,102900005116226,4.41
44016,102900005116233,5.42
44016,102900005116257,3.94
44016,102900005116509,1.98
44016,102900005116530,12
44016,102900005116547,4.05
44016,102900005116714,9.27
44016,102900005116790,4.01
44016,102900005116912,7.79
