prod_code,w_date,w_price
102900005115168,2020-07-01,3
102900005115199,2020-07-01,32.54
102900005115625,2020-07-01,2.6
102900005115748,2020-07-01,1.64
102900005115762,2020-07-01,3.88
102900005115779,2020-07-01,6.72
102900005115786,2020-07-01,3.19
102900005115793,2020-07-01,9.24
102900005115816,2020-07-01,4.59
102900005115823,2020-07-01,7.03
102900005115854,2020-07-01,2.53
102900005115861,2020-07-01,2.01
102900005115878,2020-07-01,7.6
102900005115885,2020-07-01,15
102900005115908,2020-07-01,4.6
102900005115946,2020-07-01,4.2
102900005115960,2020-07-01,2.1
102900005115977,2020-07-01,3.16
102900005115984,2020-07-01,3.44
102900005116639,2020-07-01,8.09
102900005116776,2020-07-01,1
102900005116790,2020-07-01,3.97
102900005116806,2020-07-01,1.01
102900005118572,2020-07-01,3.6
102900005118817,2020-07-01,8.47
102900005118831,2020-07-01,4.13
102900005119975,2020-07-01,3.6
102900005122654,2020-07-01,10.23
102900005128748,2020-07-01,5
102900011000175,2020-07-01,4.7
102900011000571,2020-07-01,2
102900011002414,2020-07-01,6.01
102900011006689,2020-07-01,6.83
102900011006948,2020-07-01,11.69
102900011006955,2020-07-01,5
102900011007464,2020-07-01,9.18
102900011007471,2020-07-01,9.11
102900011007495,2020-07-01,3.93
102900011008133,2020-07-01,14.98
102900011008164,2020-07-01,4.68
102900011008485,2020-07-01,3.93
102900011008492,2020-07-01,4.31
102900011008515,2020-07-01,5.63
102900011008522,2020-07-01,4.44
102900011008676,2020-07-01,4
102900011015384,2020-07-01,30.8
102900011015391,2020-07-01,2
102900011021644,2020-07-01,4.7
102900011022849,2020-07-01,2.4
102900011022924,2020-07-01,1.4
102900011023464,2020-07-01,5.02
102900011026502,2020-07-01,11
102900011026618,2020-07-01,2.41
102900011027462,2020-07-01,5.52
102900011027615,2020-07-01,6.3
102900011029688,2020-07-01,3.6
102900011030042,2020-07-01,1.95
102900011030059,2020-07-01,2.38
102900011030097,2020-07-01,2.64
102900011030103,2020-07-01,0.86
102900011030110,2020-07-01,1.33
102900011030134,2020-07-01,1.15
102900011030141,2020-07-01,1.14
102900011030158,2020-07-01,0.99
102900011030400,2020-07-01,73.5
102900011030417,2020-07-01,141
102900011030905,2020-07-01,1.46
102900011031216,2020-07-01,6.11
102900011032176,2020-07-01,1.83
102900011032282,2020-07-01,2.5
102900011032480,2020-07-01,25.96
102900011032589,2020-07-01,4.02
102900011032787,2020-07-01,6.93
102900011033081,2020-07-01,3.24
102900011033173,2020-07-01,11.14
102900011033234,2020-07-01,2.15
102900011033241,2020-07-01,2.32
102900011033531,2020-07-01,12
102900011033562,2020-07-01,11.98
102900011033586,2020-07-01,11.98
102900011033906,2020-07-01,2.04
102900011033920,2020-07-01,4.4
102900011034200,2020-07-01,0.84
102900011034217,2020-07-01,5.11
102900011034224,2020-07-01,0.59
102900011034231,2020-07-01,0.94
102900011034316,2020-07-01,4.21
102900011034323,2020-07-01,15.7
102900011034354,2020-07-01,3.3
102900011035481,2020-07-01,5.1
102900011035764,2020-07-01,4.36
102900011035771,2020-07-01,3.5
102900011035849,2020-07-01,4.17
102900011036686,2020-07-01,3.25
102900051000890,2020-07-01,3.99
102900051009220,2020-07-01,5.39
102900051010455,2020-07-01,4.63
102900051010790,2020-07-01,10
106971563780002,2020-07-01,2.87
106972776821582,2020-07-01,3.23
102900005116714,2020-07-01,9.23
102900011000632,2020-07-01,7.29
102900011009970,2020-07-01,6.03
102900011033913,2020-07-01,12.27
102900011034026,2020-07-01,4.64
102900005116042,2020-07-01,7
102900005116899,2020-07-01,9
102900005118824,2020-07-01,5.65
102900011001561,2020-07-01,1.44
102900011001691,2020-07-01,8.18
102900011007969,2020-07-01,5.3
102900011009277,2020-07-01,4.48
102900011010891,2020-07-01,10.22
102900011018132,2020-07-01,9.76
102900011021842,2020-07-01,7.5
102900011023976,2020-07-01,4.26
102900011024010,2020-07-01,15
102900011032114,2020-07-01,4.28
102900011032732,2020-07-01,9.68
102900011034569,2020-07-01,8.5
102900011035511,2020-07-01,4.8
102900011035962,2020-07-01,6.05
102900051000944,2020-07-01,29.43
102900051006229,2020-07-01,2.88
102900005116257,2020-07-01,6.56
102900005116509,2020-07-01,1.63
102900011000335,2020-07-01,6.11
102900011009444,2020-07-01,8.1
102900011016909,2020-07-01,10.17
102900011022764,2020-07-01,10.32
102900011033975,2020-07-01,3.81
102900011033982,2020-07-01,5.06
102900011033999,2020-07-01,6.19
102900051000463,2020-07-01,5.54
102900005116219,2020-07-01,8.43
102900005116226,2020-07-01,4.64
102900005116233,2020-07-01,5.76
102900005116905,2020-07-01,10
102900005116943,2020-07-01,7.83
102900005117056,2020-07-01,4.32
102900005117209,2020-07-01,7.58
102900005119968,2020-07-01,4.15
102900005123880,2020-07-01,7.5
102900005125808,2020-07-01,12.1
102900011000328,2020-07-01,7.1
102900011000861,2020-07-01,7.2
102900011001219,2020-07-01,8.24
102900011009772,2020-07-01,20
102900011016701,2020-07-01,6.64
102900011022030,2020-07-01,2.4
102900011023648,2020-07-01,0.33
102900011027479,2020-07-01,4.78
102900011028407,2020-07-01,7.04
102900011029176,2020-07-01,4.52
102900011029275,2020-07-01,13
102900011029299,2020-07-01,13
102900011029305,2020-07-01,16.94
102900011031100,2020-07-01,4.54
102900011031582,2020-07-01,1.42
102900011031735,2020-07-01,2.8
102900011031742,2020-07-01,1.65
102900011031759,2020-07-01,2.56
102900011032022,2020-07-01,2.26
102900011032145,2020-07-01,1.55
102900011032206,2020-07-01,2.54
102900011032213,2020-07-01,4.36
102900011032220,2020-07-01,5.7
102900011032237,2020-07-01,2.78
102900011032244,2020-07-01,3.46
102900011032251,2020-07-01,2.39
102900011032343,2020-07-01,9.14
102900011032350,2020-07-01,6.98
102900011032367,2020-07-01,11.83
102900011032848,2020-07-01,2.29
