变量1,变量2,Spearman相关系数
花叶类,花菜类,0.633454053796938
水生根茎类,食用菌,0.605351104222933
红珊瑚(粗叶),红橡叶,1
红珊瑚(粗叶),绿牛油,1
红橡叶,绿牛油,1
云南生菜(份),云南油麦菜(份),0.932154154787708
枝江红菜苔(份),小青菜(2),0.894906533903126
金针菇(1),杏鲍菇(1),0.894549998860886
小米椒(份),小皱皮(份),0.878682730290986
青梗散花,金针菇(1),0.872137799339275
螺丝椒(份),姜蒜小米椒组合装(小份),0.864409905266324
大白菜,金针菇(1),0.858102225119842
螺丝椒(份),红椒(2),0.855818572398672
小皱皮(份),螺丝椒(份),0.849789579847775
菜心(份),上海青(份),0.848963084434363
云南油麦菜(份),小米椒(份),0.846057324092996
枝江青梗散花,螺丝椒(份),0.83955821792438
姬菇(1),海鲜菇(1),0.834058028587907
云南生菜(份),小米椒(份),0.834000688248787
枝江青梗散花,杏鲍菇(2),0.832847014139307
大白菜,青梗散花,0.829340888594887
小皱皮(份),姜蒜小米椒组合装(小份),0.828278800387756
