模型,变量,系数,标准误,t值,p值
主模型,截距,0.0488226321561661,0.0333238364265461,1.46509638119798,0.147947554229154
主模型,孕周,0.00169612413205022,0.0020027028179954,0.846917534049288,0.400298411593132
主模型,BMI,-0.00214679059381258,0.00107910671802087,-1.98941453886034,0.0510715855758074
主模型,年龄,2.88782470878559e-05,0.000222040798440464,0.130058292398003,0.896941357860105
主模型,怀孕次数,0.00103720036753213,0.00104722689124886,0.99042564338205,0.325815799294793
主模型,生产次数,-0.000505880565871082,0.00131464111803024,-0.384805068800112,0.701698708183532
主模型,IUI,0.00803781211665286,0.0101754116229219,0.789925008885763,0.432582414915245
主模型,IVF,0.000811372014991171,0.00968852875578446,0.0837456372833438,0.933528485399624
主模型,质量指标Q,-0.0022418444127715,0.00343706391656599,-0.652255665647135,0.51664724934589
主模型,t×BMI,9.25854839817292e-05,6.73467237486747e-05,1.37475854545265,0.17415463558996
身高体重对照,截距,0.0119531303727022,0.0294160991713883,0.406346548638525,0.68580257994745
身高体重对照,孕周,0.0042902102752788,0.000362256017646545,11.8430338387499,5.50477871316372e-18
身高体重对照,身高,-0.000137722645656057,0.000182099857207251,-0.75630287562122,0.452158796828689
身高体重对照,体重,3.82823773268529e-05,9.85553195263574e-05,0.388435423991647,0.698944027868173
身高体重对照,年龄,-5.39630194052885e-05,0.000239041935227825,-0.225747082217426,0.822095741657425
身高体重对照,质量指标Q,-0.00402739452909227,0.00360398073051004,-1.11748503397861,0.267838384487389
