模型,变量,系数,标准误,t值,p值
base,截距,0.169424130736838,0.120900402292954,1.40135291135183,0.161396925459325
base,孕周,0.00122930038651603,0.000245941979401224,4.99833493049423,6.74630052356712e-07
base,BMI,-0.00195269120058863,0.000336714549627461,-5.79924806560655,8.74915975854726e-09
base,年龄,-0.00108406187638922,0.000271180930807045,-3.99755939019389,6.83634399488175e-05
base,GC含量,-0.0752403485869799,0.300007786283559,-0.250794652762328,0.802020757336406
base,过滤比例,0.504454654767012,0.291104533358705,1.73289865652972,0.0834001934853923
int,截距,0.217368058445751,0.128168852413701,1.69595072712466,0.0901847525845614
int,孕周,-0.00163460039522125,0.00255599186101174,-0.639517057998073,0.522622873952968
int,BMI,-0.00351241339822045,0.00142588955698102,-2.46331378263065,0.0139217327283823
int,t×BMI,8.82008965399412e-05,7.83529139496511e-05,1.12568750916677,0.260549061195568
int,年龄,-0.00107716956743949,0.000271216389680487,-3.97162416588641,7.61353020276567e-05
int,GC含量,-0.0697824046139508,0.300009728931841,-0.232600472199369,0.816115936192326
int,过滤比例,0.510563181246157,0.291118978737225,1.75379559058913,0.0797504917038638
quad,截距,0.039815728515217,0.0753047840885517,0.528727742827033,0.597103370010256
quad,孕周,-0.00651024064335685,0.00329426061452549,-1.9762372820933,0.048382996375894
quad,BMI,0.00680993849739166,0.00393212026976916,1.73187441639252,0.0835825196669526
quad,t²,0.000118833358457935,6.59335445531661e-05,1.80232018865772,0.0717748049017349
quad,BMI²,-0.000159160428046418,5.77567680152686e-05,-2.75570177341541,0.00595553603568472
quad,t×BMI,0.000107745834859101,8.02494482852036e-05,1.34263645621807,0.17967289147087
hw,截距,0.132424762053458,0.12437457852949,1.06472531299521,0.287239340186598
hw,孕周,0.00124039538224624,0.000244924177012248,5.06440563515383,4.81821485097024e-07
hw,身高,0.00020902803161879,0.000240827262932609,0.867958341067399,0.385610852554233
hw,体重,-0.000728632466822233,0.000127877236412164,-5.69790595469051,1.56516206524303e-08
hw,年龄,-0.0010173541631259,0.000270785701232509,-3.75704536279173,0.000181164565074326
hw,GC含量,-0.0779557083837233,0.298748492836603,-0.260940926073091,0.794188041867098
hw,过滤比例,0.521012693033142,0.289936311879225,1.79699013778645,0.0726177945164746
