变量,全样本系数(≥3映射为3),剔除≥3系数,剔除后p值
截距,0.184935154399651,0.173517317295904,0.00138653376118892
孕周,-0.000793587477610828,0.000576101741324023,0.846232478705088
BMI,-0.00296661867338632,-0.00233128491056511,0.16063290907477
年龄,-0.00112076015056738,-0.000999960149765821,0.00618547746817414
怀孕次数,-9.98206902778248e-05,-0.0130961661921536,0.000819617589295703
生产次数,0.00203670361732732,0.0120702735550683,0.00845206548625315
IUI,0.0155559212060245,0.013882162783814,0.214168353482852
IVF,-0.0159548593012224,-0.0055224920779423,0.775078927827561
质量指标Q,-0.0115423996101036,-0.0104558269811424,5.27926971971559e-05
t×BMI,5.82589029781958e-05,1.92317271723786e-05,0.83342990802775
