η,BMI组,推荐时点,达标比例,是否满足η
0.8,1,12.8571428571429,0.896834011495365,1
0.8,2,12.8571428571429,0.887413289946677,1
0.8,3,12.8571428571429,0.879145608232747,1
0.8,4,12.8571428571429,0.817548468624816,1
0.85,1,12.8571428571429,0.896834011495365,1
0.85,2,12.8571428571429,0.887413289946677,1
0.85,3,12.8571428571429,0.879145608232747,1
0.85,4,25,0.908271966230626,1
0.9,1,25,0.941810372752774,1
0.9,2,25,0.939402454602234,1
0.9,3,25,0.935911489598044,1
0.9,4,25,0.908271966230626,1
0.95,1,25,0.941810372752774,0
0.95,2,25,0.939402454602234,0
0.95,3,25,0.935911489598044,0
0.95,4,25,0.908271966230626,0
