date,buy_kwh,up_kwh,dn_kwh,em_kwh
2025-01-01,100819.075942706,19286.3276562366,0,4254.12057791667
2025-01-02,98924.3704051306,8807.65351449999,12101.4612676667,4215.76961288889
2025-01-03,55054.2904125171,34175.4422460905,495.527356584349,1053.38733283333
2025-01-04,52738.5842288536,31596.0321899938,351.728099999999,1863.49121677778
2025-01-05,97103.9021935988,12576.8513856667,1985.13935,5134.32955083333
2025-01-06,96314.7158116681,6852.1815399671,2348.50343333333,5269.16220522222
2025-01-07,98593.5729224558,28900.2210100432,0,4498.32904158334
2025-01-08,95406.3473068779,0,35353.0361439177,5321.33171155555
2025-01-09,96665.813663177,14080.7109775,4511.03879349999,5645.14811891666
2025-01-10,54561.5016664609,18592.9175693416,15513.0108759259,112.564792111111
2025-01-11,54109.3751849451,37705.1005265432,9.60556666666616,635.186004666668
2025-01-12,98397.3795856029,15926.9539463333,4604.36334670782,3463.53627505556
2025-01-13,95796.303166941,0,7090.29777201645,3910.73602561111
2025-01-14,95303.7288615734,6308.485718107,6282.92124866668,5581.48108738889
2025-01-15,96165.921176593,25546.2273151132,156.073,4617.12252736111
2025-01-16,94142.6101420603,16574.056654214,0,5409.40606405555
2025-01-17,51905.7397934842,32803.7679701646,180.52565,637.250392444447
2025-01-18,52683.171941358,19926.2680934157,3534.04926666667,0
2025-01-19,94835.4094688107,27039.9385054568,0,5194.38657433333
2025-01-20,92991.7648770576,13070.9517623457,969.645199999999,6208.70751338889
2025-01-21,90220.2908199863,3459.33133991773,5073.99012000002,5534.28302416666
2025-01-22,95312.3328658622,6539.05387233331,2561.13608333334,4787.54193683333
2025-01-23,94275.8569879791,17415.2228422778,465.994000000001,5938.45248730556
2025-01-24,46508.4809019726,31836.1209063786,1.00044417195022e-11,3848.22282799999
2025-01-25,45231.2208385326,27430.9714528807,0,3728.89408941667
2025-01-26,94593.6242181975,660.347590999992,18716.8968336667,4372.55383605555
2025-01-27,90265.2241813913,22533.2813699588,244.657333333333,5167.43834480556
2025-01-28,92747.7742307345,2968.3771103333,6780.87532098761,5052.30785111111
2025-01-29,87832.5070188045,17708.250164679,0,4632.97739844445
2025-01-30,90606.9033890391,26926.7314996667,42.3333666666667,5417.54221233333
2025-01-31,45171.3054731502,33649.4729820988,0,3255.46135483333
2025-02-01,46496.923896714,18507.7515002057,1128.89213333333,1312.01421027778
2025-02-02,88208.6493064974,6220.34427756482,10409.1390561728,4833.38647073611
2025-02-03,88667.7108398834,0,17264.0548412552,5278.74578136111
2025-02-04,91203.9356817558,0,16116.8358701646,4001.09697343055
2025-02-05,90345.8402930535,10540.4088623333,1324.27206666667,4235.799935125
2025-02-06,81393.836982609,11262.4958433494,24018.7890872372,518.31901745833
2025-02-07,36808.178352695,6167.26170291867,1158.6081334943,730.15207777778
2025-02-08,37697.6599844565,12530.3072604224,0,855.488822641095
2025-02-09,83201.1833214537,2835.07262846117,11849.8048531894,590.612835791667
2025-02-10,77850.2371012721,18626.4902227732,7776.60978290948,730.953222601666
2025-02-11,78001.553211064,14727.3051225801,18860.2817759612,1949.60371694097
2025-02-12,78043.5131779381,13114.7234437762,15645.2533767738,1736.42040867262
2025-02-13,73442.4973736109,18766.774693414,2986.19912541149,611.153014979165
2025-02-14,33871.6567195757,6436.59826824074,162.362499999999,1166.41523079938
2025-02-15,36575.2270851569,12758.4580631685,200.37338888576,1437.94486294643
2025-02-16,78640.6489032477,10058.9624682955,11941.2870390361,1035.40539697083
2025-02-17,75479.1357971134,3659.09393487086,23503.8853575065,434.919499059164
2025-02-18,76313.6959254999,42611.5169282204,0,465.325725023663
2025-02-19,75505.4572681249,16757.1567600587,992.609358333332,2095.23683918726
2025-02-20,71194.742684882,5135.48850251509,18773.4784168684,678.364437616964
2025-02-21,33569.4153246503,7758.29617114286,0,275.587182736112
2025-02-22,36616.6106752596,10990.7333519097,229.74326766667,1218.22058294676
2025-02-23,74856.9232766327,19530.3371894227,24660.7641968475,1012.1646799148
2025-02-24,72976.0037287813,30396.783785573,2838.4655970439,361.284813285184
2025-02-25,70005.2099845555,9902.3665364467,7152.08476224922,1599.33990715364
2025-02-26,71765.6962716893,42768.8661737472,1729.30470833334,1516.08984085662
2025-02-27,66251.136858802,20701.2486030531,11360.6246364164,1631.55291325115
2025-02-28,31413.8663150071,7213.73283176973,1505.04474188595,1089.43055331542
2025-03-01,37107.4917305626,1678.55658891148,530.234345305535,231.538656770834
2025-03-02,77206.3731266938,21690.779331903,6201.83635941666,439.015339091149
2025-03-03,76244.4405219939,11515.4409175508,15966.7566801477,523.214398917361
2025-03-04,73510.5538566363,9776.59722042629,6317.72364038168,0.6247333333334
2025-03-05,71283.9984386378,8191.7980975991,28737.6372298166,153.889563429164
2025-03-06,65881.791428516,9210.76516411506,1413.91608956639,175.913887085626
