date,E_end,E_day_min,E_day_max
2025-01-01,8550.00040740741,1200,10800
2025-01-02,8550.00046296296,1200,10800
2025-01-03,8550.08255555555,1200,10800
2025-01-04,8550.07261111111,1200,10800
2025-01-05,8550.0002962963,1200,10800
2025-01-06,8550.0002962963,1200,10800
2025-01-07,8550.00027777778,1200,10800
2025-01-08,8550.00024074074,1200,10800
2025-01-09,8550,1200,10800
2025-01-10,8550.02883333333,1200,10800
2025-01-11,8550.02159259259,1200,10800
2025-01-12,8550,1200,10800
2025-01-13,8550,1200,10800
2025-01-14,8550,1200,10800
2025-01-15,8550,1200,10800
2025-01-16,8550,1200,10800
2025-01-17,8550.01190740741,1200,10800
2025-01-18,8550.01238888889,1200.01238888889,10800
2025-01-19,8550,1200,10800
2025-01-20,8550,1200,10800
2025-01-21,8550.02389407407,1200,10800
2025-01-22,8550,1200,10800
2025-01-23,8550,1200,10800
2025-01-24,8550.0372037037,1200,10800
2025-01-25,8550.04322222222,1200,10800
2025-01-26,8550.0002037037,1200,10800
2025-01-27,8550.00024074074,1200,10800
2025-01-28,8550.00027777778,1200,10800
2025-01-29,8550.05746481482,1200,10800
2025-01-30,8550.00031481481,1200,10800
2025-01-31,7950.07707407408,1200,10800
2025-02-01,9206.93806388889,1200,10800
2025-02-02,9056.87795166667,1200,10800
2025-02-03,8977.8507524537,1200,10800
2025-02-04,8999.75420060185,1200,10800
2025-02-05,9041.99285185185,1200,10800
2025-02-06,6042.97298521009,1200,9948.98918101235
2025-02-07,5912.55838294646,1200,10800
2025-02-08,8347.9340628869,1200,10800
2025-02-09,8239.86561161169,1200,10574.0389356341
2025-02-10,8138.86350741667,1200,10210.6407204577
2025-02-11,8391.37299199589,1200,9960.10567908693
2025-02-12,8209.22541869378,1200,10040.1387229916
2025-02-13,5794.56238001929,1200,10800
2025-02-14,5405.17709270226,1200,10800
2025-02-15,8106.90869153439,1200,10800
2025-02-16,8191.52066625772,1200,9963.15135531018
2025-02-17,8109.22967341049,1200,10414.5510395648
2025-02-18,8323.31994662247,1200,9791.08672150954
2025-02-19,8080.56155468815,1200,10196.6953921412
2025-02-20,5012.14530009828,1200,10070.1362243896
2025-02-21,4626.41571532463,1200,10800
2025-02-22,8092.21224205375,1200,10800
2025-02-23,8154.15447282518,1200,9793.69634664352
2025-02-24,8261.79578568158,1200,10800
2025-02-25,8240.2666098505,1200,10800
2025-02-26,8385.45641807142,1200,10373.242309402
2025-02-27,4715.54934363871,1200,10800
2025-02-28,4305.17495220867,1200,10800
2025-03-01,8142.54373983121,1200,10800
2025-03-02,8280.57579132909,1200,10033.3130480411
2025-03-03,8271.19080661034,1200,10134.8069932195
2025-03-04,8224.18473951914,1200.94669161366,10417.4379949873
2025-03-05,8437.84025035988,1200,10429.4420737527
2025-03-06,4147.36291003065,1200,10800
2025-03-07,3444.11900594869,1200,10800
2025-03-08,8615.5495586902,1200,10800
2025-03-09,8425.4532359375,1200,10800
2025-03-10,8343.9521896875,1200,9854.38899314236
2025-03-11,8644.65107918719,1200,10415.539727523
2025-03-12,8435.37275766157,1200,10800
