slot,period,price,buy_kwh
1,00:00-00:10,0.4248,1406.6411
2,00:10-00:20,0.4245,1406.32986666667
3,00:20-00:30,0.4269,1407.38385
4,00:30-00:40,0.4272,1409.07395
5,00:40-00:50,0.4271,1409.80455
6,00:50-01:00,0.4285,576.640016666667
7,01:00-01:10,0.4311,577.8597
8,01:10-01:20,0.4302,577.993866666667
9,01:20-01:30,0.4279,911.161383333333
10,01:30-01:40,0.4312,580.41545
11,01:40-01:50,0.4333,582.514016666667
12,01:50-02:00,0.4311,583.07405
13,02:00-02:10,0.4293,584.204916666667
14,02:10-02:20,0.4324,585.439783333333
15,02:20-02:30,0.4367,586.14475
16,02:30-02:40,0.4348,586.320766666667
17,02:40-02:50,0.4335,586.4253
18,02:50-03:00,0.4357,586.8496
19,03:00-03:10,0.4374,587.821016666667
20,03:10-03:20,0.4371,589.547566666667
21,03:20-03:30,0.4356,590.813466666667
22,03:30-03:40,0.4353,590.213116666667
23,03:40-03:50,0.436,591.066266666667
24,03:50-04:00,0.4378,593.367833333333
25,04:00-04:10,0.4401,593.659683333333
26,04:10-04:20,0.4389,592.786383333333
27,04:20-04:30,0.4364,593.337866666667
28,04:30-04:40,0.4393,596.675766666667
29,04:40-04:50,0.4422,597.78025
30,04:50-05:00,0.4395,595.1625
31,05:00-05:10,0.4333,590.6065
32,05:10-05:20,0.4439,589.485183333333
33,05:20-05:30,0.4301,578.45545
34,05:30-05:40,0.3713,1383.65978333333
35,05:40-05:50,0.5708,591.1402
36,05:50-06:00,0.9099,0
37,06:00-06:10,0.9368,0
38,06:10-06:20,0.8758,0
39,06:20-06:30,0.8759,0
40,06:30-06:40,0.8601,0
41,06:40-06:50,0.8442,0
42,06:50-07:00,0.8334,0
43,07:00-07:10,0.8092,0
44,07:10-07:20,0.7972,0
45,07:20-07:30,0.7644,0
46,07:30-07:40,0.6899,0
47,07:40-07:50,0.86,0
48,07:50-08:00,1.1617,0
49,08:00-08:10,1.1683,0
50,08:10-08:20,1.0956,0
51,08:20-08:30,1.0849,0
52,08:30-08:40,1.061,0
53,08:40-08:50,1.043,0
54,08:50-09:00,1.036,0
55,09:00-09:10,1.0147,0
56,09:10-09:20,0.9922,0
57,09:20-09:30,0.97,0
58,09:30-09:40,0.9422,0
59,09:40-09:50,0.9569,0
60,09:50-10:00,0.9977,0
61,10:00-10:10,0.9919,0
62,10:10-10:20,0.9588,0
63,10:20-10:30,0.9549,0
64,10:30-10:40,0.9839,0
65,10:40-10:50,0.799,0
66,10:50-11:00,0.5025,0
67,11:00-11:10,0.4662,575.170916666667
68,11:10-11:20,0.5007,0
69,11:20-11:30,0.4827,0
70,11:30-11:40,0.4785,179.27717139918
71,11:40-11:50,0.4662,520.124516666667
72,11:50-12:00,0.4432,486.4029
73,12:00-12:10,0.4411,480.41245
74,12:10-12:20,0.4551,485.3
75,12:20-12:30,0.4463,488.606966666666
76,12:30-12:40,0.4113,498.270733333333
77,12:40-12:50,0.5682,0
78,12:50-13:00,0.8279,0
79,13:00-13:10,0.8636,0
80,13:10-13:20,0.8416,0
81,13:20-13:30,0.8618,0
82,13:30-13:40,0.8623,0
83,13:40-13:50,0.9026,0
84,13:50-14:00,0.9754,0
85,14:00-14:10,1.0002,0
86,14:10-14:20,0.9978,0
87,14:20-14:30,1.0271,0
88,14:30-14:40,1.0906,0
89,14:40-14:50,0.9376,0
90,14:50-15:00,0.6694,112.089866666667
91,15:00-15:10,0.66,266.732693621399
92,15:10-15:20,0.7217,197.523516666667
93,15:20-15:30,0.7308,244.814033333333
94,15:30-15:40,0.7534,295.534616666667
95,15:40-15:50,0.7823,345.7775
96,15:50-16:00,0.8055,394.931483333333
97,16:00-16:10,0.8271,445.43165
98,16:10-16:20,0.8519,495.696583333333
99,16:20-16:30,0.8791,547.11905
100,16:30-16:40,0.9024,599.985433333333
101,16:40-16:50,0.9163,635.42975
102,16:50-17:00,0.9264,660.830683333333
103,17:00-17:10,0.9462,702.036933333333
104,17:10-17:20,0.9742,738.065783333333
105,17:20-17:30,0.9862,775.944716666667
106,17:30-17:40,0.976,826.08325
107,17:40-17:50,1.0742,762.4228
108,17:50-18:00,1.2313,636.982616666667
109,18:00-18:10,1.2561,531.89405
110,18:10-18:20,1.2447,678.830533333333
111,18:20-18:30,1.2545,686.2685
112,18:30-18:40,1.2522,696.504383333333
113,18:40-18:50,1.2881,0
114,18:50-19:00,1.3466,0
115,19:00-19:10,1.3523,0
116,19:10-19:20,1.3445,0
117,19:20-19:30,1.3483,0
118,19:30-19:40,1.349,0
119,19:40-19:50,1.3473,0
120,19:50-20:00,1.3482,0
121,20:00-20:10,1.3513,0
122,20:10-20:20,1.34,0
123,20:20-20:30,1.3489,0
124,20:30-20:40,1.3952,0
125,20:40-20:50,1.2226,715.868916666667
126,20:50-21:00,0.9332,717.005116666667
127,21:00-21:10,0.9068,720.1603
128,21:10-21:20,0.9371,717.054866666667
129,21:20-21:30,0.9371,720.445966666667
130,21:30-21:40,0.9871,738.134716666667
131,21:40-21:50,0.7764,671.693566666667
132,21:50-22:00,0.4209,1393.79031666667
133,22:00-22:10,0.3859,1384.8989
134,22:10-22:20,0.4368,568.82605
135,22:20-22:30,0.4198,1396.98855
136,22:30-22:40,0.4186,1397.75986666667
137,22:40-22:50,0.4241,566.747433333333
138,22:50-23:00,0.4237,1399.87376666667
139,23:00-23:10,0.4248,567.83015
140,23:10-23:20,0.424,569.358633333336
141,23:20-23:30,0.422,1403.66351666667
142,23:30-23:40,0.424,904.948716666665
143,23:40-23:50,0.4271,573.176833333333
144,23:50-24:00,0.4276,574.120983333333
