slot,period,price,buy_kwh
1,00:00-00:10,0.4276,907.454316666667
2,00:10-00:20,0.4248,1406.6411
3,00:20-00:30,0.4245,1406.32986666667
4,00:30-00:40,0.4269,1407.38385
5,00:40-00:50,0.4272,1409.07395
6,00:50-01:00,0.4271,1409.80455
7,01:00-01:10,0.4285,576.640016666667
8,01:10-01:20,0.4311,577.8597
9,01:20-01:30,0.4302,577.993866666667
10,01:30-01:40,0.4279,577.82805
11,01:40-01:50,0.4312,580.41545
12,01:50-02:00,0.4333,582.514016666667
13,02:00-02:10,0.4311,583.07405
14,02:10-02:20,0.4293,584.204916666667
15,02:20-02:30,0.4324,585.439783333333
16,02:30-02:40,0.4367,586.14475
17,02:40-02:50,0.4348,586.320766666667
18,02:50-03:00,0.4335,586.4253
19,03:00-03:10,0.4357,586.8496
20,03:10-03:20,0.4374,587.821016666667
21,03:20-03:30,0.4371,589.547566666667
22,03:30-03:40,0.4356,590.813466666667
23,03:40-03:50,0.4353,590.213116666667
24,03:50-04:00,0.436,591.066266666667
25,04:00-04:10,0.4378,593.367833333333
26,04:10-04:20,0.4401,593.659683333333
27,04:20-04:30,0.4389,592.786383333333
28,04:30-04:40,0.4364,593.337866666667
29,04:40-04:50,0.4393,596.675766666667
30,04:50-05:00,0.4422,597.78025
31,05:00-05:10,0.4395,595.1625
32,05:10-05:20,0.4333,590.6065
33,05:20-05:30,0.4439,589.485183333333
34,05:30-05:40,0.4301,578.45545
35,05:40-05:50,0.3713,1383.65978333333
36,05:50-06:00,0.5708,591.1402
37,06:00-06:10,0.9099,0
38,06:10-06:20,0.9368,0
39,06:20-06:30,0.8758,0
40,06:30-06:40,0.8759,0
41,06:40-06:50,0.8601,0
42,06:50-07:00,0.8442,0
43,07:00-07:10,0.8334,0
44,07:10-07:20,0.8092,0
45,07:20-07:30,0.7972,0
46,07:30-07:40,0.7644,0
47,07:40-07:50,0.6899,0
48,07:50-08:00,0.86,0
49,08:00-08:10,1.1617,0
50,08:10-08:20,1.1683,0
51,08:20-08:30,1.0956,0
52,08:30-08:40,1.0849,0
53,08:40-08:50,1.061,0
54,08:50-09:00,1.043,0
55,09:00-09:10,1.036,0
56,09:10-09:20,1.0147,0
57,09:20-09:30,0.9922,0
58,09:30-09:40,0.97,0
59,09:40-09:50,0.9422,0
60,09:50-10:00,0.9569,0
61,10:00-10:10,0.9977,0
62,10:10-10:20,0.9919,0
63,10:20-10:30,0.9588,0
64,10:30-10:40,0.9549,0
65,10:40-10:50,0.9839,0
66,10:50-11:00,0.799,0
67,11:00-11:10,0.5025,0
68,11:10-11:20,0.4662,575.170916666667
69,11:20-11:30,0.5007,0
70,11:30-11:40,0.4827,0
71,11:40-11:50,0.4785,179.277171399178
72,11:50-12:00,0.4662,520.124516666667
73,12:00-12:10,0.4432,486.4029
74,12:10-12:20,0.4411,480.41245
75,12:20-12:30,0.4551,485.3
76,12:30-12:40,0.4463,488.606966666667
77,12:40-12:50,0.4113,498.270733333333
78,12:50-13:00,0.5682,0
79,13:00-13:10,0.8279,0
