slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
1,1401.75166666667,1401.75166666667,0,833.333333333333,0,1950.95274851852,1200.95274851852
2,1383.17815,1383.17815,0,833.333333333333,0,2700.95274851852,1200.95274851852
3,1403.64683333333,1403.64683333333,0,833.333333333333,0,3450.95274851852,1200.95274851852
4,1447.185,1447.185,0,833.333333333333,0,4200.95274851852,1200.95274851852
5,1412.7895,1412.7895,0,833.333333333333,0,4950.95274851852,1200.95274851852
6,1383.77825,1383.77825,0,833.333333333333,0,5700.95274851852,1200.95274851852
7,1132.56059609053,1132.56059609053,0,561.403929423862,0,6206.216285,1200.95274851852
8,1434.92238333333,1434.92238333333,0,833.333333333333,0,6956.216285,1200.95274851852
9,1444.81708333333,1444.81708333333,0,833.333333333333,0,7706.216285,1200.95274851852
10,598.216666666667,598.216666666667,0,0,0,7706.216285,1200.95274851852
11,583.93595,583.93595,0,0,0,7706.216285,1200.95274851852
12,1424.32838333333,1424.32838333333,0,833.333333333333,0,8456.216285,1200.95274851852
13,1431.77666666667,1431.77666666667,0,833.333333333333,0,9206.216285,1200.95274851852
14,565.983616666667,565.983616666667,0,0,0,9206.216285,1200.95274851852
15,546.120766666667,546.120766666667,0,0,0,9206.216285,1200.95274851852
16,565.713333333333,565.713333333333,0,0,0,9206.216285,1200.95274851852
17,597.926566666667,597.926566666667,0,0,0,9206.216285,1200.95274851852
18,600.954466666667,600.954466666667,0,0,0,9206.216285,1200.95274851852
19,587.131666666667,587.131666666667,0,0,0,9206.216285,1200.95274851852
20,605.2103,605.2103,0,0,0,9206.216285,1200.95274851852
21,621.892383333333,621.892383333333,0,0,0,9206.216285,1200.95274851852
22,620.168333333333,620.168333333333,0,0,0,9206.216285,1200.95274851852
23,616.623083333333,616.623083333333,0,0,0,9206.216285,1200.95274851852
24,612.46375,612.46375,0,0,0,9206.216285,1200.95274851852
25,603.93,603.93,0,0,0,9206.216285,1200.95274851852
26,589.79495,589.79495,0,0.000316666666700864,0,9206.21657,1200.95274851852
27,581.46405,581.46405,0,0,0,9206.21657,1200.95274851852
28,585.585,585.585,0,0,0,9206.21657,1200.95274851852
29,599.72965,599.72965,0,0.00451666666663186,0,9206.220635,1200.95274851852
30,616.739316666667,616.739316666667,0,0,0,9206.220635,1200.95274851852
31,625.595,625.595,0,0,0,9206.220635,1200.95274851852
32,571.039647222222,571.039647222222,0,0,48.3942694444445,9152.44922450617,1200.95274851852
33,1354.26332777778,1354.26332777778,0,736.418927777778,0,9815.22625950617,1200.95274851852
34,1295.076725,1295.076725,0,687.961725,0,10434.3918120062,1200.95274851852
35,0,0,0,0,575.430066666667,9795.02507126543,1200.95274851852
