slot,plan_kwh,adj_kwh,em_kwh,chg_kwh,dis_kwh,E_kwh,E0_kwh
1,1404.19,1404.19,0,833.333333333333,0,1950.08855555556,1200.08855555556
2,1403.51766666667,1403.51766666667,0,833.333333333333,0,2700.08855555556,1200.08855555556
3,1393.65151666667,1393.65151666667,0,833.333333333333,0,3450.08855555556,1200.08855555556
4,1398.1,1398.1,0,833.333333333333,0,4200.08855555556,1200.08855555556
5,1431.84225,1431.84225,0,833.333333333333,0,4950.08855555556,1200.08855555556
6,1439.84398333333,1439.84398333333,0,833.333333333333,0,5700.08855555556,1200.08855555556
7,589.77,589.77,0,0,0,5700.08855555556,1200.08855555556
8,1430.68668333333,1430.68668333333,0,833.333333333333,0,6450.08855555556,1200.08855555556
9,1413.305,1413.305,0,833.333333333333,0,7200.08855555556,1200.08855555556
10,552.68,552.68,0,0,0,7200.08855555556,1200.08855555556
11,584.05335,584.05335,0,0,0,7200.08855555556,1200.08855555556
12,1329.56377349108,1329.56377349108,0,727.702156824412,0,7855.02049669753,1200.08855555556
13,1423.94,1423.94,0,833.333333333333,0,8605.02049669753,1200.08855555556
14,604.56305,604.56305,0,0,0,8605.02049669753,1200.08855555556
15,607.79955,607.79955,0,0,0,8605.02049669753,1200.08855555556
16,594.986666666667,594.986666666667,0,0,0,8605.02049669753,1200.08855555556
17,598.5124,598.5124,0,0,0,8605.02049669753,1200.08855555556
18,587.279766666667,587.279766666667,0,0,0,8605.02049669753,1200.08855555556
19,567.005,567.005,0,0,0,8605.02049669753,1200.08855555556
20,578.479933333333,578.479933333333,0,0,0,8605.02049669753,1200.08855555556
21,591.051966666667,591.051966666667,0,0,0,8605.02049669753,1200.08855555556
22,586.85,586.85,0,0,0,8605.02049669753,1200.08855555556
23,582.173583333333,582.173583333333,0,0,0,8605.02049669753,1200.08855555556
24,602.753333333333,602.753333333333,0,0,0,8605.02049669753,1200.08855555556
25,623.128333333333,623.128333333333,0,0,0,8605.02049669753,1200.08855555556
26,595.523,595.523,0,0.000316666666700864,0,8605.02078169753,1200.08855555556
27,591.470933333333,591.470933333333,0,0,0,8605.02078169753,1200.08855555556
28,616.071666666667,616.071666666667,0,0,0,8605.02078169753,1200.08855555556
29,604.900766666667,604.900766666667,0,0.00446666666668231,0,8605.02480169753,1200.08855555556
30,600.415816666667,600.415816666667,0,0,0,8605.02480169753,1200.08855555556
31,618.123333333333,618.123333333333,0,0,0,8605.02480169753,1200.08855555556
32,581.967941666667,581.967941666667,0,0,43.197325,8557.02777391975,1200.08855555556
33,1361.72245,1361.72245,0,746.814316666667,0,9229.16065891975,1200.08855555556
34,1296.501475,1296.501475,0,703.554808333333,0,9862.35998641975,1200.08855555556
35,0,0,0,0,583.97805,9213.49548641975,1200.08855555556
36,0,0,0,0,666.913433333333,8472.48056049383,1200.08855555556
37,0,7.5791225147744e-14,0,0,790.623333333333,7594.01019012346,1200.08855555556
38,0,0,0,0,793.772083333333,6712.04120864198,1200.08855555556
39,0,0,0,0,742.659816666667,5886.8636345679,1200.08855555556
40,0,0,0,0,690.46875,5119.6761345679,1200.08855555556
41,0,7.5791225147744e-14,0,0,630.584016666667,4419.02722716049,1200.08855555556
42,0,0,0,0,584.88215,3769.15817160494,1200.08855555556
43,0,0,0,0,546.2125,3162.25539382716,1200.08855555556
44,0,0,0,0,484.722833333333,2623.67446790124,1200.08855555556
45,0,0,0,0,425.30835,2151.1096345679,1200.08855555556
46,0,0,0,0,361.320416666667,1749.64250493827,1200.08855555556
47,0,0,0,0,285.468266666667,1432.45554197531,1200.08855555556
48,0,0,148.520228888888,0,209.209987777778,1200,1200.08855555556
49,0,0,491.324583333333,0,0,1200,1200.08855555556
50,0,0,424.227,0,0,1200,1200.08855555556
51,0,0,340.29965,0,0,1200,1200.08855555556
52,0,0,322.88875,0,0,1200,1200.08855555556
53,0,0,267.16475,0,0,1200,1200.08855555556
54,0,0,177.016983333333,0,0,1200,1200.08855555556
55,0,0,103.286666666667,0,0,1200,1200.08855555556
56,0,0,88.5305333333334,0,0,1200,1200.08855555556
57,0,0,75.3937333333333,0,0,1200,1200.08855555556
