doy,E0_q3,Eend_q3,E0_q2,Eend_q2
32,1200.07707407408,1200.05922222222,8778.94458365741,9206.37614092593
33,1200.05922222222,1200.04215314815,9206.37614092593,9060.67477740741
34,1200.04215314815,1200.03121703704,9060.67477740741,9064.28568634259
35,1200.03121703704,1200.01360611111,9064.28568634259,9004.09028976852
36,1200.01360611111,1200.00763462963,9004.09028976852,9013.08869615741
37,1200.00763462963,1200.00147,9013.08869615741,9065.58423958333
38,1200.00147,1200.00972222222,9065.58423958333,8867.13981217592
39,1200.00972222222,1200.01522222222,8867.13981217592,9009.43816828704
40,1200.01522222222,1200.018435,9009.43816828704,8843.19675638889
41,1200.018435,1200.02507703704,8843.19675638889,8799.52144231481
42,1200.02507703704,1200.00238888889,8799.52144231481,8641.85526361111
43,1200.00238888889,1200.03554907408,8641.85526361111,8800.28355486111
44,1200.03554907408,1200.00433333333,8800.28355486111,8807.77006194444
45,1200.00433333333,1200.05814814815,8807.77006194444,8744.82145601852
46,1200.05814814815,1200.06466666667,8744.82145601852,8625.56790203703
47,1200.06466666667,1200.00524074074,8625.56790203703,8600.37892296296
48,1200.00524074074,1200.00607407407,8600.37892296296,8625.67499689815
49,1200.00607407407,1200.00701851852,8625.67499689815,8686.71695388889
50,1200.00701851852,1200.00744444445,8686.71695388889,8446.94537115741
51,1200.00744444445,1200.05874759259,8446.94537115741,8112.83015060185
52,1200.05874759259,1200.04685185185,8112.83015060185,8038.25765550926
53,1200.04685185185,1200.02735185185,8038.25765550926,8553.61797652778
54,1200.02735185185,1200,8553.61797652778,8492.51100930556
55,1200,1200.07369388889,8492.51100930556,8596.45010680556
56,1200.07369388889,1200.1243612963,8596.45010680556,8500.02386078704
57,1200.1243612963,1200.21763537037,8500.02386078704,8623.52260759259
58,1200.21763537037,1200.01992592593,8623.52260759259,8013.01428375
59,1200.01992592593,1200.43172222223,8013.01428375,7937.3231600926
60,1200.43172222223,1200.43977777778,7937.3231600926,8555.31724125
61,1200.43977777778,1200.03537037037,8555.31724125,8500.61180717593
62,1200.03537037037,1200.52029333333,8500.61180717593,8487.76206662037
63,1200.52029333333,1200.53850592593,8487.76206662037,8415.60947773148
64,1200.53850592593,1200.05803703704,8415.60947773148,8582.65400532407
65,1200.05803703704,1200.7312037037,8582.65400532407,7719.01699986111
66,1200.7312037037,1200.82992592593,7719.01699986111,7360.28716287037
67,1200.82992592593,1200.77433333334,7360.28716287037,8594.1573913426
68,1200.77433333334,1200.04359259259,8594.1573913426,8518.62948842593
69,1200.04359259259,1200.02272222222,8518.62948842593,8535.21168
70,1200.02272222222,1200.00117,8535.21168,8590.53624305556
71,1200.00117,1200.00994444444,8590.53624305556,8508.23798384259
72,1200.00994444444,1200.01661111111,8508.23798384259,6872.74212953704
73,1200.01661111111,1200.41311111111,6872.74212953704,6712.85611666666
74,1200.41311111111,1200.50064814815,6712.85611666666,8363.72190972222
75,1200.50064814815,1200.4451762963,8363.72190972222,8647.67503763889
76,1200.4451762963,1200.05944444444,8647.67503763889,8691.071475
77,1200.05944444444,1200.58557703704,8691.071475,8545.55915481482
78,1200.58557703704,1200.95274851852,8545.55915481482,8743.10675925926
79,1200.95274851852,1200.07987037037,8743.10675925926,6208.77350027778
80,1200.07987037037,1201.1967037037,6208.77350027778,5927.82052166667
81,1201.1967037037,1201.46461111111,5927.82052166667,8810.82177287037
82,1201.46461111111,1200.09244444444,8810.82177287037,8538.07114324074
83,1200.09244444444,1206.01927555556,8538.07114324074,8574.73215916666
84,1206.01927555556,1200.04064814815,8574.73215916666,8464.63050347222
85,1200.04064814815,1200.01066666667,8464.63050347222,8458.05537759259
86,1200.01066666667,1200.05172222222,8458.05537759259,5438.38529972222
87,1200.05172222222,1222.94674074074,5438.38529972222,5431.75467916667
88,1222.94674074074,1228.61368518518,5431.75467916667,8675.35758115741
89,1228.61368518518,1231.8192612963,8675.35758115741,8546.51067138889
90,1231.8192612963,1232.80630222222,8546.51067138889,8738.12682412037
91,1232.80630222222,1200.47107407407,8738.12682412037,8562.95188699074
92,1200.47107407407,1200.56837037037,8562.95188699074,8480.64539703704
93,1200.56837037037,1200.57511111111,8480.64539703704,4927.55689842593
94,1200.57511111111,1266.40533333333,4927.55689842593,5139.69915476852
95,1266.40533333333,1264.36862962963,5139.69915476852,8565.39745930555
96,1264.36862962963,1200.8427037037,8565.39745930555,8536.59152648148
97,1200.8427037037,1269.75472370371,8536.59152648148,8636.21466578704
98,1269.75472370371,1200.56283333333,8636.21466578704,8406.62187106482
99,1200.56283333333,1203.77151851852,8406.62187106482,8454.57011796296
100,1203.77151851852,1200.19248148148,8454.57011796296,4784.1218550926
101,1200.19248148148,1321.40996296296,4784.1218550926,4509.7150887037
102,1321.40996296296,1307.50711111111,4509.7150887037,8822.92225532408
103,1307.50711111111,1271.88674074074,8822.92225532408,8547.45703509259
104,1271.88674074074,1200.27514814815,8547.45703509259,8494.63015259259
105,1200.27514814815,1200.3752962963,8494.63015259259,8534.23666421296
106,1200.3752962963,1204.72235185186,8534.23666421296,8417.5261162963
