Q,c_plan,c_adj,c_all,Q_plan,p_bar
0,0,38.31,38.31,100,0.7662
2,1.5324,37.5438,39.0762,100,0.7662
4,3.0648,36.7776,39.8424,100,0.7662
6,4.5972,36.0114,40.6086,100,0.7662
8,6.1296,35.2452,41.3748,100,0.7662
10,7.662,34.479,42.141,100,0.7662
12,9.1944,33.7128,42.9072,100,0.7662
14,10.7268,32.9466,43.6734,100,0.7662
16,12.2592,32.1804,44.4396,100,0.7662
18,13.7916,31.4142,45.2058,100,0.7662
20,15.324,30.648,45.972,100,0.7662
22,16.8564,29.8818,46.7382,100,0.7662
24,18.3888,29.1156,47.5044,100,0.7662
26,19.9212,28.3494,48.2706,100,0.7662
28,21.4536,27.5832,49.0368,100,0.7662
30,22.986,26.817,49.803,100,0.7662
32,24.5184,26.0508,50.5692,100,0.7662
34,26.0508,25.2846,51.3354,100,0.7662
36,27.5832,24.5184,52.1016,100,0.7662
38,29.1156,23.7522,52.8678,100,0.7662
40,30.648,22.986,53.634,100,0.7662
42,32.1804,22.2198,54.4002,100,0.7662
44,33.7128,21.4536,55.1664,100,0.7662
46,35.2452,20.6874,55.9326,100,0.7662
48,36.7776,19.9212,56.6988,100,0.7662
50,38.31,19.155,57.465,100,0.7662
52,39.8424,18.3888,58.2312,100,0.7662
54,41.3748,17.6226,58.9974,100,0.7662
56,42.9072,16.8564,59.7636,100,0.7662
58,44.4396,16.0902,60.5298,100,0.7662
60,45.972,15.324,61.296,100,0.7662
62,47.5044,14.5578,62.0622,100,0.7662
64,49.0368,13.7916,62.8284,100,0.7662
66,50.5692,13.0254,63.5946,100,0.7662
68,52.1016,12.2592,64.3608,100,0.7662
70,53.634,11.493,65.127,100,0.7662
72,55.1664,10.7268,65.8932,100,0.7662
74,56.6988,9.9606,66.6594,100,0.7662
76,58.2312,9.1944,67.4256,100,0.7662
78,59.7636,8.4282,68.1918,100,0.7662
80,61.296,7.662,68.958,100,0.7662
82,62.8284,6.8958,69.7242,100,0.7662
84,64.3608,6.1296,70.4904,100,0.7662
86,65.8932,5.3634,71.2566,100,0.7662
88,67.4256,4.5972,72.0228,100,0.7662
90,68.958,3.831,72.789,100,0.7662
92,70.4904,3.0648,73.5552,100,0.7662
94,72.0228,2.2986,74.3214,100,0.7662
96,73.5552,1.5324,75.0876,100,0.7662
98,75.0876,0.7662,75.8538,100,0.7662
100,76.62,0,76.62,100,0.7662
102,76.62,2.2986,78.9186,100,0.7662
104,76.62,4.5972,81.2172,100,0.7662
106,76.62,6.8958,83.5158,100,0.7662
108,76.62,9.1944,85.8144,100,0.7662
110,76.62,11.493,88.113,100,0.7662
112,76.62,13.7916,90.4116,100,0.7662
