date,buy_kwh,waste_kwh,curt_kwh,em_kwh
2025-01-01,99644.7778450617,2.42531920472781e-12,0,6.44225413755824e-13
2025-01-02,97846.28165,4.01693493283043e-12,0,0
2025-01-03,49592.9585160494,1.98004575698481e-12,3.33481390650074e-12,2.45374091415821e-12
2025-01-04,48690.5696341564,0,2.16952381985417e-12,0
2025-01-05,95835.1185897119,4.54747350886464e-12,0,0
2025-01-06,95406.8734666666,4.56642131515158e-12,0,0
2025-01-07,97380.2673997942,3.03164900590976e-13,0,1.51582450295488e-12
2025-01-08,94282.6133088477,3.03164900590976e-13,0,1.51582450295488e-13
2025-01-09,96074.8394037037,2.34952797958006e-12,0,7.5791225147744e-13
2025-01-10,49627.150542181,1.51582450295488e-13,8.0528176719478e-13,5.04011647232498e-12
2025-01-11,48760.5873246913,0,0,2.53900604244942e-12
2025-01-12,95669.1233757201,6.85910587587083e-12,0,6.06329801181952e-13
2025-01-13,92997.3414746914,1.51582450295488e-13,0,0
2025-01-14,94047.7213641975,4.09272615797818e-12,0,3.1074402310575e-12
2025-01-15,94925.8389236626,4.32009983342141e-12,0,3.03164900590976e-13
2025-01-16,93911.3334728395,0,0,3.03164900590976e-13
2025-01-17,46662.1515973251,0,0,0
2025-01-18,46938.6167781893,0,0,0
2025-01-19,93526.0226508231,2.27373675443232e-12,0,0
2025-01-20,92783.0502820987,1.51582450295488e-13,0,7.5791225147744e-13
2025-01-21,88181.0805041152,4.62326473401238e-12,0,0
2025-01-22,93687.2382629629,2.12215430413683e-12,0,1.47792889038101e-12
2025-01-23,94460.5887541152,2.5769016550233e-12,0,0
2025-01-24,43876.1548166667,2.12215430413683e-12,2.88006655561427e-12,6.11066752753686e-13
2025-01-25,42333.8043047325,0,0,4.01693493283043e-12
2025-01-26,92382.4057314815,2.47268872044515e-12,0,0
2025-01-27,88957.17345,0,0,4.54747350886464e-13
2025-01-28,91681.1611333333,2.34952797958006e-12,0,0
2025-01-29,85927.2457366255,2.12215430413683e-12,0,0
2025-01-30,88515.631744856,2.12215430413683e-12,0,1.66740695325037e-12
2025-01-31,42772.0272230453,0,3.50534416308316e-12,0
2025-02-01,46635.1976563786,3947.11626409465,4222.3181,0
2025-02-02,93623.2780200617,11266.221095679,143.102483333333,0
2025-02-03,91963.2342674897,7774.99174948561,0,0
2025-02-04,92341.4943499486,6761.84758045269,0.351783333333363,0
2025-02-05,91703.2357701132,6608.1311066358,2.05249999999993,0
2025-02-06,74966.7612961781,12.3577611111112,0,6112.7624425507
2025-02-07,35736.7480690421,350.734265324074,1967.60421666667,746.211119338193
2025-02-08,40597.8322363398,100.32763105363,1269.37824243011,51.4561382672008
2025-02-09,82081.3653228275,291.758954548611,0,1846.67165231577
2025-02-10,83067.8420846083,4021.77667225758,328.1247,0
2025-02-11,80890.8372698794,1605.85742073752,0,197.207327912738
2025-02-12,82760.0816512595,3091.61096905449,100.244891952637,108.587512032379
2025-02-13,79374.9493085494,7000.39154676271,540.171633333333,0
2025-02-14,34775.6693606249,90.8030019418134,2140.63365,225.003865149456
2025-02-15,38808.4981015167,45.9666878968252,2689.13586666667,506.697773275793
2025-02-16,77431.8693357951,37.370857175926,0,2036.99887057362
2025-02-17,78792.2877939568,2764.19050809654,646.699033333334,0
2025-02-18,78662.1924841942,2128.23339107657,95.8363106995876,93.0673342170054
2025-02-19,77896.126471042,1804.92403235505,0,722.928321045422
2025-02-20,71302.5900551901,884.324091177543,0,1073.09059838294
2025-02-21,34095.7879099296,79.2965666601377,5245.32233333333,286.581734241488
2025-02-22,38120.402876261,104.175796607143,3123.20515,479.984058361535
2025-02-23,76396.9638216924,592.493870284918,0,32.0638293389836
2025-02-24,72589.8036915466,589.834504331974,21.4363638006218,563.821589393954
2025-02-25,75454.9585414982,4221.4391262977,1545.83973333333,12.1672975756448
2025-02-26,74013.8877511089,993.713055117804,605.226766666667,575.85634489633
2025-02-27,66627.8379041825,1056.92129180411,0,792.265749287591
2025-02-28,32865.8203572911,140.858047087468,6503.19035,100.793907450559
