panel,group,series,value
ladder,全年联合,cost,12227142.8559907
ladder,逐日理想,cost,12253936.6490466
ladder,滚动SAA,cost,14806890.2811992
ladder,全年联合,aux,0
ladder,逐日理想,aux,2.91804543491499e-10
ladder,滚动SAA,aux,269240.937259817
horizon,R=1,cost,14884621.2914172
horizon,R=3,cost,14806918.2915924
horizon,R=7,cost,14806890.2811992
horizon,R=1,aux,1961.44398032769
horizon,R=3,aux,7045.74406921114
horizon,R=7,aux,7045.97119417093
kscen,K=4,cost,14806890.2811992
kscen,K=8,cost,14516318.9595038
kscen,K=4,aux,269240.937259817
kscen,K=8,aux,230031.102204999
ablate,SAA-B3,cost,14671204.2812689
ablate,SAA+B3,cost,14806890.2811992
ablate,SAA-B3,aux,274289.213316605
ablate,SAA+B3,aux,269240.937259817
