month,pv_wankwh,load_wankwh,pv_share_pct
2,132.147479295,303.535203668333,43.5361294828243
3,171.432238611667,324.050726591667,52.9029020902912
4,194.521369631667,316.287060531666,61.5015262732164
5,208.803778303333,327.478159466667,63.7611310150859
6,170.627512701667,345.615768653333,49.369134217025
7,202.61011806,397.113043345,51.0207663675198
8,216.949886118333,375.359354211667,57.7979164989703
9,187.747164438333,326.59060733,57.4870067370388
10,175.904891051667,323.433733655,54.3866865907378
11,133.515096163333,312.294483295,42.7529473958757
12,112.629465053333,349.026237843333,32.2696269911631
