date,E_end,E_day_min,E_day_max
2025-01-01,8550,1200,10800
2025-01-02,8550,1200,10800
2025-01-03,8550,1200,10800
2025-01-04,8550,1200,10800
2025-01-05,8550,1200,10800
2025-01-06,8550,1200,10800
2025-01-07,8550,1200,10800
2025-01-08,8550,1200,10800
2025-01-09,8550,1200,10800
2025-01-10,8550,1200,10800
2025-01-11,8550,1200,10800
2025-01-12,8550,1200,10800
2025-01-13,8550,1200,10800
2025-01-14,8550,1200,10800
2025-01-15,8550,1200,10800
2025-01-16,8550,1200,10800
2025-01-17,8550,1200,10800
2025-01-18,8550,1200,10800
2025-01-19,8550,1200,10800
2025-01-20,8550,1200,10800
2025-01-21,8550,1200,10800
2025-01-22,8550,1200,10800
2025-01-23,8550,1200,10800
2025-01-24,8550,1200,10800
2025-01-25,8550,1200,10800
2025-01-26,8550,1200,10800
2025-01-27,8550,1200,10800
2025-01-28,8550,1200,10800
2025-01-29,8550,1200,10800
2025-01-30,8550,1200,10800
2025-01-31,8550,1200,10800
2025-02-01,9206.90061018518,1714.91352314815,10800
2025-02-02,9056.87678037037,1407.99962037037,10800
2025-02-03,8977.85061819444,1402.52994444444,10800
2025-02-04,8999.75406171296,1528.036125,10800
2025-02-05,9041.96926425926,1431.37588800926,10800
2025-02-06,6020.25115391049,1200,9948.98918101235
2025-02-07,4733.63247810674,1200,10800
2025-02-08,8459.94073239877,1200,10800
2025-02-09,8357.6719397826,1200,10548.1796918591
2025-02-10,8613.95630053297,1418.95491192971,10800
2025-02-11,8404.76579866684,1200,10800
2025-02-12,8377.51146443237,1200,10800
2025-02-13,5220.78973215722,1397.84560214271,10800
2025-02-14,4698.6205402384,1200,10800
2025-02-15,8228.56399684524,1200,10800
2025-02-16,8235.23657777745,1200,10354.3132222514
2025-02-17,8365.64039684828,1210.69218277588,10800
2025-02-18,8488.2603908225,1200,10800
2025-02-19,8138.23589821492,1200,10596.4875683104
2025-02-20,4525.84105202814,1200,10800
2025-02-21,4668.56130559151,1200,10800
2025-02-22,8463.15867925069,1200,10800
2025-02-23,8450.38602256333,1200,10800
2025-02-24,8482.91217460234,1200,10800
2025-02-25,8384.44302080444,1279.64307941151,10800
2025-02-26,8562.67808034401,1200,10800
2025-02-27,3890.19134136985,1200,10773.2838694243
2025-02-28,3674.68666168249,1200,10800
2025-03-01,8486.36697421053,1200,10800
2025-03-02,8271.32027657884,1200,10568.1311781621
2025-03-03,8440.31708095179,1200,10800
2025-03-04,8459.03186216782,1200,10800
2025-03-05,9002.91540904525,1484.66573165906,10800
2025-03-06,5111.34776985841,1200,10800
2025-03-07,5050.7348418705,1308.70058059177,10800
2025-03-08,8849.08968905453,1553.33962459806,10800
2025-03-09,8770.45297981171,1454.54482446325,10800
2025-03-10,8454.69772952694,1200,10655.0016818062
2025-03-11,8729.62060968065,1200,10800
2025-03-12,8760.31106900028,1228.59057615158,10800
2025-03-13,4607.45672587421,1200,10499.6055400005
2025-03-14,4271.20763444001,1498.98183620522,10800
2025-03-15,8813.61090996149,1215.93975654554,10800
2025-03-16,9006.13940230592,1727.32283137879,10800
2025-03-17,9113.53907807135,1361.62593496473,10800
2025-03-18,9037.69366016472,1200,10800
2025-03-19,9175.12203645186,1521.95449401687,10800
2025-03-20,4077.01128777292,1254.5304182227,10800
2025-03-21,3730.30936381417,1200,10800
2025-03-22,9048.55883749971,1345.03143091706,10800
2025-03-23,8812.39042899667,1306.84085159138,10800
2025-03-24,8984.4110088825,1200,10800
2025-03-25,8620.27018926562,1200,10490.9939076078
2025-03-26,8902.43712749245,1367.35998891654,10800
2025-03-27,3398.61424028594,1613.18193406783,10800
2025-03-28,3733.28407829789,1200,10800
2025-03-29,9092.00614165444,1200,10800
2025-03-30,8950.04122279872,1394.8522772831,10800
2025-03-31,8722.08129707812,1200,10304.6797726505
2025-04-01,8683.69852221875,1200,10800
2025-04-02,8469.82120386432,1200,10800
2025-04-03,3045.94023104723,1200,10800
2025-04-04,3163.71307409328,1288.3437236778,10800
2025-04-05,8602.72356579687,1200,10800
2025-04-06,8729.91233484444,1296.90276648506,10800
2025-04-07,8493.65908772256,1629.18007717896,10800
2025-04-08,8410.80609055556,1200,10800
2025-04-09,8510.79582642188,1200,10722.0660534327
2025-04-10,3077.97902877653,1259.14161517086,10800
2025-04-11,2399.59089233609,1200,10800
2025-04-12,8756.55634019105,1397.8948033664,10800
2025-04-13,8254.22806490212,1200,10800
2025-04-14,8610.08260665625,1200,10800
2025-04-15,8904.08439573232,1408.29518798232,10800
2025-04-16,8007.18338422331,1200,10800
2025-04-17,3120.01039323171,1200,10800
2025-04-18,2897.88671094375,1411.10285241613,10800
2025-04-19,8058.64094439939,1546.31278593064,10800
2025-04-20,8137.25237314352,1200,10800
2025-04-21,8454.87808475,1200,10800
2025-04-22,8512.48246596644,1326.17447814121,10800
2025-04-23,8397.26528468667,1448.01070324439,10800
2025-04-24,2482.86375914191,1200,10800
2025-04-25,2473.77592418775,1662.32673360615,10800
2025-04-26,7604.59440161467,1297.93609266149,10800
2025-04-27,7456.59820413368,1200,10800
2025-04-28,7113.76032795996,1200,10321.1083911737
2025-04-29,8670.4207934375,1200,10800
2025-04-30,7278.02374350287,1528.13631025714,10800
2025-05-01,1292.78183860571,1200,10800
2025-05-02,1200,1200,10800
2025-05-03,6264.24048150785,1200,10800
2025-05-04,4379.68242350521,1347.81978257382,10800
2025-05-05,6603.71922237122,1200,10614.1823176772
2025-05-06,6886.75200810969,1200,10602.5678674939
2025-05-07,6238.32786052343,1200,10515.7868483406
2025-05-08,1810.4511689519,1200,9762.39156731857
2025-05-09,1875.7076078176,1200,10800
2025-05-10,7353.42244749604,1602.43011994207,10800
2025-05-11,8861.53469659849,2094.72471562545,10800
2025-05-12,5665.35219991438,2015.26285330756,10800
2025-05-13,7619.78378204905,2260.77674335201,10800
2025-05-14,6434.35667512398,2215.89629977772,10800
2025-05-15,3092.25954847065,2108.72042692884,10800
2025-05-16,2811.80151320856,2305.48761663005,10800
2025-05-17,5846.14708292265,1641.70334687155,10800
2025-05-18,7406.95417222727,3066.78920943883,10800
2025-05-19,6994.83047387225,2654.75167982525,10800
2025-05-20,7814.65135949025,2459.27948992933,10800
2025-05-21,6035.68036202318,1200,10800
2025-05-22,3304.70596658623,2087.55568776861,10800
2025-05-23,4159.16738059516,1670.26057027319,10800
2025-05-24,7856.43787849727,1357.18973697751,10800
2025-05-25,9509.62813885505,1889.46668821269,10800
2025-05-26,10269.0843916415,2769.59266081705,10800
2025-05-27,6336.46104868052,2691.66749181806,10800
2025-05-28,7509.86567511244,2853.60683695961,10800
2025-05-29,5249.1257384388,2626.27449456327,10800
2025-05-30,5139.2575848079,1752.76247142025,10800
2025-05-31,10800,1292.86513060044,10800
2025-06-01,5187.37344032947,1200,10648.1741801698
2025-06-02,6431.85313955879,1200,9144.14857045447
2025-06-03,5729.53160918596,1200,9708.6843708642
2025-06-04,5471.11870599005,1501.60922858245,10800
2025-06-05,1704.47446353679,1207.41441639661,10800
2025-06-06,1262.08638804938,1200,10800
2025-06-07,5464.07553634729,1200,10800
2025-06-08,7128.56435461228,2277.26537905696,10800
2025-06-09,8058.43645861497,1200,9790.55123785031
2025-06-10,7963.21041789931,1944.30940245514,10800
2025-06-11,7003.45271595681,1200,10800
2025-06-12,3562.16215220971,2084.19587228687,10800
2025-06-13,2919.50377682926,1739.82933653142,10800
2025-06-14,8018.18843251391,2109.68819973269,10800
2025-06-15,10227.1215195403,2435.23815396222,10800
2025-06-16,9283.40768125188,2803.69867610105,10800
2025-06-17,8936.99758119026,3219.2909867446,10800
2025-06-18,9434.14195165269,2411.42133998876,10800
2025-06-19,2936.84841166681,1943.88712818523,10800
2025-06-20,3206.19613208774,2602.12205335472,10800
2025-06-21,8313.25012788828,1236.38376648782,10800
2025-06-22,10181.900839906,3357.63520926524,10800
2025-06-23,10627.5169500004,3396.29958897774,10800
2025-06-24,10619.9453737719,2029.13371989903,10800
2025-06-25,9888.446323987,2627.46687676268,10800
2025-06-26,5455.24374893436,3130.72453905936,10800
2025-06-27,4812.67352684072,3010.53862822884,10800
2025-06-28,9787.60104562155,3707.75694566482,10800
2025-06-29,10800,3779.6287294423,10800
2025-06-30,10800,3429.55154565148,10800
2025-07-01,6183.1283785641,1401.1694318545,10800
2025-07-02,7885.70253426234,1200,10800
2025-07-03,1932.78887417025,1559.69314388784,10800
2025-07-04,1729.62965691358,1486.75732852237,10800
2025-07-05,5825.13390991738,1200,10800
2025-07-06,7195.80395557928,1200,9757.41852140625
2025-07-07,6889.43711052701,1740.1331269574,10800
2025-07-08,7583.07126348517,1200,10800
2025-07-09,9852.01335821431,2466.35754704244,10800
2025-07-10,1613.9792267152,1200,10478.7581380235
2025-07-11,3201.29421913526,1328.04326418959,10800
2025-07-12,6902.10508197597,1200,10800
2025-07-13,6961.0853175432,1200,10800
2025-07-14,7390.52180048156,1200,10800
2025-07-15,10800,3198.7205291016,10800
2025-07-16,7777.97993370636,1986.76685140001,10800
2025-07-17,2708.04476676003,1200,10800
2025-07-18,3052.94870910519,1809.06846450314,10800
2025-07-19,7072.85722561783,1200,10800
2025-07-20,9770.91936478781,1906.19419075656,10800
2025-07-21,9123.99473057813,1200,10800
2025-07-22,10445.4755155772,2802.11598172208,10800
2025-07-23,7816.25753448787,1200,10800
2025-07-24,5390.4413291732,2790.17416812633,10800
2025-07-25,5684.474001569,3492.89608555379,10800
2025-07-26,10090.8790883427,2689.32302003368,10800
2025-07-27,7608.92094612726,1200,10800
2025-07-28,7389.85499197933,1200,10800
2025-07-29,8534.65487808271,1200,10800
2025-07-30,9125.34340737804,1200,10800
2025-07-31,3677.73088516956,1200,10800
2025-08-01,5078.82828619693,2596.54325266568,10800
2025-08-02,10800,3036.1722922712,10800
2025-08-03,8502.26888239941,2024.13764338786,10800
