date,buy_kwh,curt_kwh,cost_yuan
2025-02-01,38090.2917090535,0,19642.0454639413
2025-02-02,82818.5578827161,0,51758.8582211912
2025-02-03,84729.2805810699,0,53066.6595218982
2025-02-04,85880.6413176955,0,54013.3766356452
2025-02-05,85261.5992393004,0,53368.7690337748
2025-02-06,84978.5183718333,0,53107.2109757451
2025-02-07,37432.1627135802,1732.73656666666,19220.1294157694
2025-02-08,36133.8937707819,988.882366666669,18593.7555233354
2025-02-09,84070.2350440329,0,52407.2597776519
2025-02-10,78746.0498033333,0,48693.671710606
2025-02-11,79700.3647246913,0,49567.415205805
2025-02-12,79695.4058138333,0,49685.9993497249
2025-02-13,75822.1216037037,0,46687.8729177909
2025-02-14,35576.5865205761,2140.63365,18284.5203415168
2025-02-15,35400.4471726338,2689.13586666666,18255.2101584564
2025-02-16,79727.4201467078,0,49375.1958903812
2025-02-17,75478.9418777778,0,46296.9827700917
2025-02-18,76530.2584418457,0,47019.8536000105
2025-02-19,77250.1755444445,0,47835.6024919644
2025-02-20,75400.848827572,0,46325.0174184575
2025-02-21,34313.7259347737,5245.32233333333,17363.3593214761
2025-02-22,34272.3863666667,3123.20515,17505.3297877283
2025-02-23,75853.0036932099,0,46517.2809895768
2025-02-24,72487.6060742798,0,44385.3120386478
2025-02-25,69994.8557351852,0,42927.4366224883
2025-02-26,73037.4132796296,0,44615.1561180109
2025-02-27,71422.0180771605,0,44187.9236815576
2025-02-28,33150.9296518518,6503.19035,16777.0291981533
2025-03-01,31760.7325049383,4967.65225514403,16307.4119120761
2025-03-02,76835.1833909465,0,47260.9274792478
2025-03-03,76453.1567139918,0,47136.0741240694
2025-03-04,73546.3625632202,0,44805.6936329657
2025-03-05,70339.8480915638,0,42815.5220725761
2025-03-06,70297.4187753086,0,42773.8860686354
2025-03-07,30592.3682697531,6553.27179999999,15574.1249525757
2025-03-08,30799.6162779835,8746.10748333333,15603.6638914725
2025-03-09,67431.9183849794,0,40997.0263065281
2025-03-10,72219.4420123457,0,43645.2768378642
2025-03-11,68137.110403498,0,41250.134419867
2025-03-12,66498.5499781893,0,40357.6362364733
2025-03-13,71829.3358911666,0,43539.9242873216
2025-03-14,29789.4813271605,10728.5434666667,15092.117250997
2025-03-15,30402.3939467078,6616.84365,15381.8002096746
2025-03-16,67489.2642691358,0,40671.505820463
2025-03-17,61944.6931,0,37330.334652195
2025-03-18,65212.7988316872,0,39373.0152292619
2025-03-19,63554.6936399177,0,38386.1567171223
2025-03-20,66460.6569532922,0,40128.5493267495
