date,E0_daily_kwh,E0_year_kwh
2025-02-01,1200,7950
2025-02-02,1200,8550
2025-02-03,1200,8550
2025-02-04,1200,8550
2025-02-05,1200,8550
2025-02-06,1200,8550
2025-02-07,1200,7950
2025-02-08,1200,7950
2025-02-09,1200,8550
2025-02-10,1200,8550
2025-02-11,1200,8550
2025-02-12,1200,8550
2025-02-13,1200,8550
2025-02-14,1200,7950
2025-02-15,1200,7716.00887037037
2025-02-16,1200,8550
2025-02-17,1200,8550
2025-02-18,1200,8550
2025-02-19,1200,8550
2025-02-20,1200,8550
2025-02-21,1200,7562.1547962963
2025-02-22,1200,7203.19655555555
2025-02-23,1200,8550
2025-02-24,1200,8550
2025-02-25,1200,8550
2025-02-26,1200,8550
2025-02-27,1200,8550
2025-02-28,1200,6927.89566666667
2025-03-01,1200,6205.29744444444
2025-03-02,1200,8550
2025-03-03,1200,8550
2025-03-04,1200,8550
2025-03-05,1200,8550
2025-03-06,1200,8550
2025-03-07,1200,5514.39127777778
2025-03-08,1200,5603.38868518519
2025-03-09,1200,8550
2025-03-10,1200,8550
2025-03-11,1200,8550
2025-03-12,1200,8550
2025-03-13,1200,8550
2025-03-14,1200,5139.22994444444
2025-03-15,1200,5279.48753703704
2025-03-16,1200,8550
2025-03-17,1200,8550
2025-03-18,1200,8550
2025-03-19,1200,8550
2025-03-20,1200,8550
2025-03-21,1200,4869.22924074074
2025-03-22,1200,4653.70053703704
2025-03-23,1200,8550
2025-03-24,1200,8550
2025-03-25,1200,8550
2025-03-26,1200,8550
2025-03-27,1200,8550
2025-03-28,1200,4691.75531481481
2025-03-29,1200,4212.39872222222
2025-03-30,1200,8550
2025-03-31,1200,8550
2025-04-01,1200,8550
2025-04-02,1200,8550
2025-04-03,1200,8550
2025-04-04,1200,4096.87651851852
2025-04-05,1200,3768.22674074074
2025-04-06,1200,8550
2025-04-07,1200,8550
2025-04-08,1200,8550
2025-04-09,1200,8550
2025-04-10,1200,8550
2025-04-11,1200,3735.8082962963
2025-04-12,1200,3169.07535185185
2025-04-13,1200,8550
2025-04-14,1200,8550
2025-04-15,1200,8218.13251592592
2025-04-16,1200,8550
2025-04-17,1200,8550
2025-04-18,1200,3210.74266666667
2025-04-19,1200,3239.88648148148
2025-04-20,1200,8550
2025-04-21,1200,7950
2025-04-22,1200,8550
2025-04-23,1200,8550
2025-04-24,1200,7950
2025-04-25,1200,2758.78255555556
2025-04-26,1200,2649.2722037037
2025-04-27,1200,7950
2025-04-28,1200,8550
2025-04-29,1200,7548.24488888889
2025-04-30,1200,7950
2025-05-01,1200,7950
2025-05-02,1200,3145.98059259259
2025-05-03,1200,2826.02768518518
2025-05-04,1200,7950
2025-05-05,1200,8550
2025-05-06,1200,8550
2025-05-07,1200,8550
2025-05-08,1200,8550
2025-05-09,1200,2931.22168518518
2025-05-10,1200,2713.49193518519
2025-05-11,1200,8550
2025-05-12,1200,7950
2025-05-13,1200,8550
2025-05-14,1200,8550
2025-05-15,1200,8550
2025-05-16,1200,2109.83911111111
2025-05-17,1200,2094.50292592593
2025-05-18,1200,8550
2025-05-19,1200,7631.75533333333
2025-05-20,1200,8550
2025-05-21,1200,7950
2025-05-22,1200,7950
2025-05-23,1200,2171.94853703704
2025-05-24,1200,2030.39262962963
2025-05-25,1200,7247.42764759259
2025-05-26,1200,8550
2025-05-27,1200,7950
2025-05-28,1200,8550
2025-05-29,1200,8550
2025-05-30,1200,2340.34535185185
2025-05-31,1200,2379.38511111111
2025-06-01,1200,8550
2025-06-02,1200,8550
2025-06-03,1200,8550
2025-06-04,1200,8550
2025-06-05,1200,8550
2025-06-06,1200,3131.32662962963
2025-06-07,1200,3158.96622222222
2025-06-08,1200,8550
2025-06-09,1200,8550
2025-06-10,1200,8550
2025-06-11,1200,8550
2025-06-12,1200,8550
2025-06-13,1200,3144.85307407407
2025-06-14,1200,2777.06883333333
2025-06-15,1200,8550
2025-06-16,1200,8550
2025-06-17,1200,8550
2025-06-18,1200,8550
2025-06-19,1200,8550
2025-06-20,1200,2451.43781481481
2025-06-21,1200,2760.59107407407
2025-06-22,1200,8550
2025-06-23,1200,8550
2025-06-24,1200,8550
2025-06-25,1200,8550
2025-06-26,1200,8550
2025-06-27,1200,2688.38937037037
2025-06-28,1200,2661.71061111111
2025-06-29,1200,8550
2025-06-30,1200,8550
2025-07-01,1200,8550
2025-07-02,1200,8550
2025-07-03,1200,8550
2025-07-04,1200,3261.75638888889
2025-07-05,1200,3361.04190740741
2025-07-06,1200,8550
2025-07-07,1200,8550
2025-07-08,1200,8550
2025-07-09,1200,8550
2025-07-10,1200,8550
2025-07-11,1200,3728.6792962963
2025-07-12,1200,3364.8645
2025-07-13,1200,8550
2025-07-14,1200,8550
2025-07-15,1200,8550
2025-07-16,1200,8550
2025-07-17,1200,8550
2025-07-18,1200,3113.56294444444
2025-07-19,1200,2570.80646296296
2025-07-20,1200,8550
2025-07-21,1200,8550
2025-07-22,1200,8550
2025-07-23,1200,8550
2025-07-24,1200,8550
2025-07-25,1200,2989.5421812963
2025-07-26,1200,3241.24996296296
2025-07-27,1200,8550
2025-07-28,1200,8550
2025-07-29,1200,8550
2025-07-30,1200,8550
2025-07-31,1200,8550
2025-08-01,1200,2557.06244444444
2025-08-02,1200,2851.25975925926
2025-08-03,1200,7950
2025-08-04,1200,8550
2025-08-05,1200,8550
2025-08-06,1200,8550
2025-08-07,1200,7950
2025-08-08,1200,3309.40346296296
2025-08-09,1200,3255.87566666667
2025-08-10,1200,8550
2025-08-11,1200,8550
2025-08-12,1200,8550
2025-08-13,1200,8550
2025-08-14,1200,8550
2025-08-15,1200,3516.70896296296
2025-08-16,1200,3191.3792962963
2025-08-17,1200,7971.38690277778
2025-08-18,1200,8550
2025-08-19,1200,8494.92041981481
2025-08-20,1200,8550
2025-08-21,1200,8550
2025-08-22,1200,3348.47438888889
2025-08-23,1200,3285.45448148148
2025-08-24,1200,8372.23472222222
2025-08-25,1200,8550
2025-08-26,1200,8550
2025-08-27,1200,8550
2025-08-28,1200,8550
2025-08-29,1200,4431.646
2025-08-30,1200,3231.16174074074
2025-08-31,1200,8550
2025-09-01,1200,8280.2161674074
2025-09-02,1200,8550
2025-09-03,1200,8212.72488703704
2025-09-04,1200,8138.92725925926
2025-09-05,1200,3546.05972222222
2025-09-06,1200,3841.73981481481
2025-09-07,1200,8550
2025-09-08,1200,8550
2025-09-09,1200,7950
2025-09-10,1200,8550
2025-09-11,1200,8550
2025-09-12,1200,4249.05216666667
2025-09-13,1200,4168.15842592593
2025-09-14,1200,8550
2025-09-15,1200,8550
2025-09-16,1200,8550
2025-09-17,1200,8550
2025-09-18,1200,8550
2025-09-19,1200,4423.03898148148
2025-09-20,1200,4746.59611111111
2025-09-21,1200,8550
2025-09-22,1200,8550
2025-09-23,1200,8550
2025-09-24,1200,8550
2025-09-25,1200,8550
2025-09-26,1200,4729.68766666667
2025-09-27,1200,5059.47285185185
2025-09-28,1200,8550
2025-09-29,1200,8550
2025-09-30,1200,8550
2025-10-01,1200,8550
2025-10-02,1200,8550
2025-10-03,1200,4799.81242592593
2025-10-04,1200,5357.08675925926
2025-10-05,1200,8550
2025-10-06,1200,8550
2025-10-07,1200,8550
2025-10-08,1200,8550
2025-10-09,1200,8550
2025-10-10,1200,5396.98222222222
2025-10-11,1200,5574.51483333333
2025-10-12,1200,8550
2025-10-13,1200,8550
2025-10-14,1200,8550
2025-10-15,1200,8550
2025-10-16,1200,8550
2025-10-17,1200,5549.82455555556
2025-10-18,1200,5527.385
2025-10-19,1200,8550
2025-10-20,1200,8550
2025-10-21,1200,8550
2025-10-22,1200,8550
2025-10-23,1200,8550
2025-10-24,1200,6419.26737037037
2025-10-25,1200,5954.22994444445
2025-10-26,1200,8550
2025-10-27,1200,8550
2025-10-28,1200,8550
2025-10-29,1200,8550
2025-10-30,1200,8550
2025-10-31,1200,6581.09237037037
2025-11-01,1200,6459.89187037037
2025-11-02,1200,8550
2025-11-03,1200,8550
2025-11-04,1200,8550
2025-11-05,1200,8550
2025-11-06,1200,8550
2025-11-07,1200,7478.54811111111
2025-11-08,1200,6812.88542592593
2025-11-09,1200,8550
2025-11-10,1200,8550
2025-11-11,1200,8550
2025-11-12,1200,8550
2025-11-13,1200,8550
2025-11-14,1200,7114.39448148148
2025-11-15,1200,7481.51242592593
2025-11-16,1200,8550
2025-11-17,1200,8550
2025-11-18,1200,8550
2025-11-19,1200,8550
2025-11-20,1200,8550
2025-11-21,1200,7658.44259259259
2025-11-22,1200,7891.11144055555
2025-11-23,1200,8550
2025-11-24,1200,8550
2025-11-25,1200,8550
2025-11-26,1200,8550
2025-11-27,1200,8550
2025-11-28,1200,7950
2025-11-29,1200,8470.42241574074
2025-11-30,1200,8550
2025-12-01,1200,8550
2025-12-02,1200,8550
2025-12-03,1200,8550
2025-12-04,1200,8550
2025-12-05,1200,8550
2025-12-06,1200,8550
2025-12-07,1200,8550
2025-12-08,1200,8550
2025-12-09,1200,8550
2025-12-10,1200,8550
2025-12-11,1200,8550
2025-12-12,1200,8550
2025-12-13,1200,8550
2025-12-14,1200,8550
2025-12-15,1200,8550
2025-12-16,1200,8550
2025-12-17,1200,8550
2025-12-18,1200,8550
2025-12-19,1200,8550
2025-12-20,1200,8550
2025-12-21,1200,8550
2025-12-22,1200,8550
2025-12-23,1200,8550
2025-12-24,1200,8550
2025-12-25,1200,8550
2025-12-26,1200,8550
2025-12-27,1200,8550
2025-12-28,1200,8550
2025-12-29,1200,8550
2025-12-30,1200,8550
2025-12-31,1200,8550
