date,E_ideal,E_nocorr,E_corr
2025-01-01,8550,8550,8284.34642870371
2025-01-02,8550,8550,8368.48876981482
2025-01-03,8550,8550,10800
2025-01-04,8550,8550,10800
2025-01-05,8550,8550,7642.9463262963
2025-01-06,8550,8550,7823.2959102963
2025-01-07,8550,8550,8001.72918728395
2025-01-08,8550,8550,8713.02285203703
2025-01-09,8550,8550,8656.73724185185
2025-01-10,8550,8550,8596.35642
2025-01-11,8550,8550,8541.55867907407
2025-01-12,8550,8550,8571.91094592593
2025-01-13,8550,8550,8305.18329037037
2025-01-14,8550,8550,8321.00308185185
2025-01-15,8550,8550,8486.05499888889
2025-01-16,8550,8550,8519.74219064815
2025-01-17,8550,8550,8401.2404812963
2025-01-18,8550,8550,8682.30186416667
2025-01-19,8550,8550,8622.70057564815
2025-01-20,8550,8550,8673.78928194444
2025-01-21,8550,8550,8805.49059888889
2025-01-22,8550,8550,8415.6537295679
2025-01-23,8550,8550,8674.48001462963
2025-01-24,8550,8550,8592.80311302469
2025-01-25,8550,8550,8704.24772777778
2025-01-26,8550,8550,8642.03877808642
2025-01-27,8550,8550,8600.84566672839
2025-01-28,8550,8550,8581.2804437037
2025-01-29,8550,8550,8906.57426111111
2025-01-30,8550,8550,8705.16626157408
2025-01-31,7950,8550,8778.94458365741
2025-02-01,8550,8550,9206.37614092593
2025-02-02,8550,8550,9060.67477740741
2025-02-03,8550,8550,9064.28568634259
2025-02-04,8550,8550,9004.09028976852
2025-02-05,8550,8550,9013.08869615741
2025-02-06,7950,8550,9065.58423958333
2025-02-07,7950,8550,8867.13981217592
2025-02-08,8550,8550,9009.43816828704
2025-02-09,8550,8550,8843.19675638889
2025-02-10,8550,8550,8799.52144231481
2025-02-11,8550,8550,8641.85526361111
2025-02-12,8550,8550,8800.28355486111
2025-02-13,7950,8550,8807.77006194444
2025-02-14,7716.00887037037,8550,8744.82145601852
2025-02-15,8550,8550,8625.56790203703
2025-02-16,8550,8550,8600.37892296296
2025-02-17,8550,8550,8625.67499689815
2025-02-18,8550,8550,8686.71695388889
2025-02-19,8550,8550,8446.94537115741
2025-02-20,7562.1547962963,7982.20443055555,8112.83015060185
2025-02-21,7203.19655555555,7950,8038.25765550926
2025-02-22,8550,8550,8553.61797652778
2025-02-23,8550,8550,8492.51100930556
2025-02-24,8550,8550,8596.45010680556
2025-02-25,8550,8550,8500.02386078704
2025-02-26,8550,8550,8623.52260759259
2025-02-27,6927.89566666667,7950,8013.01428375
2025-02-28,6205.29744444444,7950,7937.3231600926
2025-03-01,8550,8550,8555.31724125
2025-03-02,8550,8550,8500.61180717593
2025-03-03,8550,8550,8487.76206662037
2025-03-04,8550,8550,8415.60947773148
2025-03-05,8550,8550,8582.65400532407
