panel,group,series,value
cost,Q4-2,cost,16320514.8338585
em,Q4-2,em,450371.134423877
cost,Q4-3,cost,15225713.0703564
em,Q4-3,em,200511.200602454
struct,Q4-2,plan,21044099.0753635
struct,Q4-2,up,0
struct,Q4-2,dn,0
struct,Q4-2,em,450371.134423877
struct,Q4-3,plan,21036974.2219102
struct,Q4-3,up,3369770.59361537
struct,Q4-3,dn,5406025.43775928
struct,Q4-3,em,200511.200602454
arbi,Q4-2,chg_lo,5225157.67496082
arbi,Q4-2,dis_hi,4507891.12407503
arbi,Q4-2,chg_all,6236232.44012722
arbi,Q4-2,dis_all,5055886.21117009
arbi,Q4-3,chg_lo,5326984.3020193
arbi,Q4-3,dis_hi,4601920.78543076
arbi,Q4-3,chg_all,6378131.80773968
arbi,Q4-3,dis_all,5170829.45586367
