lead_h,mae_kw,rmse_kw,n,mae_self_kw,mae_week_kw
1,408.278754246575,555.825209829158,1095,431.02201303653,359.843386971781
2,805.900713584475,878.759070734806,730,431.02201303653,359.843386971781
3,915.888476986301,959.200300194255,730,431.02201303653,359.843386971781
4,884.342764178082,942.919114201996,730,431.02201303653,359.843386971781
5,787.67455305936,868.899886363244,730,431.02201303653,359.843386971781
6,502.570168424658,625.951026683008,730,431.02201303653,359.843386971781
7,463.503805388128,622.968824321073,1095,431.02201303653,359.843386971781
8,842.876200753424,946.574358095306,730,431.02201303653,359.843386971781
9,916.44334173516,1016.4487913258,730,431.02201303653,359.843386971781
10,908.122173584475,1009.04676093325,730,431.02201303653,359.843386971781
11,859.887084931507,951.765951604604,730,431.02201303653,359.843386971781
12,601.007853493151,751.126815228892,730,431.02201303653,359.843386971781
13,427.325625410959,647.623850243084,730,431.02201303653,359.843386971781
14,802.984494246575,1019.42201971202,365,431.02201303653,359.843386971781
15,960.497894018265,1152.92723156838,365,431.02201303653,359.843386971781
16,1090.13592456621,1190.21821507698,365,431.02201303653,359.843386971781
17,1061.02887438356,1100.35831420798,365,431.02201303653,359.843386971781
18,585.346685068493,720.825501173374,365,431.02201303653,359.843386971781
19,170.85808826484,285.801915521695,365,431.02201303653,359.843386971781
20,NaN,NaN,0,431.02201303653,359.843386971781
21,NaN,NaN,0,431.02201303653,359.843386971781
22,NaN,NaN,0,431.02201303653,359.843386971781
23,NaN,NaN,0,431.02201303653,359.843386971781
24,NaN,NaN,0,431.02201303653,359.843386971781
