month,plan_yuan,adj_yuan,em_yuan,em_kwh
2,1124493.11358172,100395.803282196,714947.760143913,142236.428288565
3,1066562.96228223,150480.238425944,516752.508457211,105534.022312389
4,901252.102719766,146010.43967694,452775.888557202,99511.8402768745
5,901614.874982647,149786.766071402,469252.083847333,109528.959039071
6,1209678.69886718,178959.783689136,285311.319587477,63068.3654822778
7,1384178.51327057,195297.675149436,384906.214511114,83483.5168062016
8,1232083.35657106,141060.72241222,510060.216101083,115837.180719317
9,1046432.69374426,142216.999364139,474826.342948011,101000.889764817
10,1059957.49806598,133865.468192577,586681.536546366,118374.125987195
11,1173952.82088685,124134.353817698,704200.294288125,139527.527086527
12,1530890.75514286,152876.697270192,632825.377917136,127975.662362591
