doy,up_kwh,down_kwh,net_kwh,adj_cost_yuan
32,2512.41585154801,8269.06236666667,-5756.64651511865,3540.09756888478
33,1301.16288979218,9807.36194009122,-8506.19905029899,3755.49619390609
34,6.06329801181952e-13,10918.7359485597,-10918.7359485597,2639.54213943259
35,9.09494701772928e-13,10655.2186364444,-10655.2186364445,2589.87896562891
36,2207.32571598319,8382.77183611111,-6175.44612012796,4180.94721493699
37,8.33703476625184e-13,12619.586149381,-12619.586149381,3236.79358380192
38,607.142403909461,8393.269775,-7786.12737109054,2172.40997882761
39,2815.17784032888,8166.8448,-5351.66695967113,3899.3581349309
40,2117.26427584877,8629.50856691666,-6512.24429106785,4294.73744486533
41,1353.23822825,11462.2916575556,-10109.0534293055,4435.93431849076
42,18.5945010277766,11546.3141832647,-11527.719682237,2915.2903985247
43,90.0538018175601,11233.9381276944,-11143.8843258769,2932.26862633762
44,1991.24895274349,10383.5562059198,-8392.30725317624,4682.15050687328
45,2232.33997133059,8167.34348333333,-5935.00351200275,3469.96167234312
46,423.067135222222,8203.31415394376,-7780.24701872154,2236.09010146849
47,1.36424205265939e-12,12890.3730609458,-12890.3730609458,3364.12009271706
48,7.5791225147744e-13,15055.2390394033,-15055.2390394033,3899.61267537209
49,3297.50150718895,8284.7318,-4987.23029281103,5026.98316708558
50,2657.60710033196,8294.19045555555,-5636.58335522366,4598.11070801863
51,1145.23936246193,10408.2323977006,-9262.9930352387,3808.121511432
52,511.003332083332,7500.5452,-6989.54186791666,2155.8036637715
53,421.906295083335,8321.46061635802,-7899.55432127469,2271.48420424103
54,158.065450055557,9621.8039547668,-9463.73850471126,2284.0850516079
55,2314.22894828532,8687.19824722222,-6372.96929893689,3599.70542665914
56,5.30538576034208e-13,11140.9300202452,-11140.9300202452,2533.29628892553
57,6577.85040408094,8166.66666666667,-1588.81626258575,8275.19681649151
58,3317.28529286694,7891.35462136488,-4574.06932849799,5170.95785149907
59,616.551031750001,7682.14716052812,-7065.59612877813,2427.36897512184
60,281.889366861111,8969.2073101166,-8687.3179432555,2312.6143353074
61,2758.18164490809,8664.579725,-5906.39808009191,4162.84730779589
62,1639.49434636111,12321.2589,-10681.7645536389,4804.09358946185
63,4424.1773229424,8250.98090833333,-3826.80358539091,5656.32736414302
64,1702.81803521948,10744.6757924897,-9041.85775727021,4091.01265197866
65,4859.67783490947,7381.24353888889,-2521.5657039794,7178.94125492671
66,362.341908333333,8088.29427297668,-7725.95236464333,2346.2765933245
67,486.391368666667,8187.87115730453,-7701.47978863785,2352.02677626358
68,3923.12951371742,12678.8152814129,-8755.68576769547,7310.95236245743
69,4567.76500703018,8228.10049444444,-3660.33548741433,6501.45478998324
70,8123.49322966392,8175.35309444444,-51.8598647805338,7662.1749402341
71,2886.81176593107,10300.3133168724,-7413.50155094132,5480.96232968618
72,3363.09812040467,6543.69022561729,-3180.59210521265,4721.9980315669
73,751.566456997256,6105.53490720165,-5353.9684502044,2234.69413240658
74,893.374313222221,8231.10736666667,-7337.73305344446,2848.2887666241
75,4530.68132006173,8350.74454166667,-3820.06322160494,5927.24941923513
76,5367.86430004835,8255.316425,-2887.45212495167,7076.43140511204
77,3567.92417692044,13568.7440221193,-10000.8198451989,6944.72509657412
