date,em_kwh
2025-01-01,6.44225413755824e-13
2025-01-02,0
2025-01-03,2.45374091415821e-12
2025-01-04,0
2025-01-05,0
2025-01-06,0
2025-01-07,1.51582450295488e-12
2025-01-08,1.51582450295488e-13
2025-01-09,7.5791225147744e-13
2025-01-10,5.04011647232498e-12
2025-01-11,2.53900604244942e-12
2025-01-12,6.06329801181952e-13
2025-01-13,0
2025-01-14,3.1074402310575e-12
2025-01-15,3.03164900590976e-13
2025-01-16,3.03164900590976e-13
2025-01-17,0
2025-01-18,0
2025-01-19,0
2025-01-20,7.5791225147744e-13
2025-01-21,0
2025-01-22,1.47792889038101e-12
2025-01-23,0
2025-01-24,6.11066752753686e-13
2025-01-25,4.01693493283043e-12
2025-01-26,0
2025-01-27,4.54747350886464e-13
2025-01-28,0
2025-01-29,0
2025-01-30,1.66740695325037e-12
2025-01-31,0
2025-02-01,0
2025-02-02,0
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,6112.7624425507
2025-02-07,746.211119338193
2025-02-08,51.4561382672008
2025-02-09,1846.67165231577
2025-02-10,0
2025-02-11,197.207327912738
2025-02-12,108.587512032379
2025-02-13,0
2025-02-14,225.003865149456
2025-02-15,506.697773275793
2025-02-16,2036.99887057362
2025-02-17,0
2025-02-18,93.0673342170054
2025-02-19,722.928321045422
2025-02-20,1073.09059838294
2025-02-21,286.581734241488
2025-02-22,479.984058361535
2025-02-23,32.0638293389836
2025-02-24,563.821589393954
2025-02-25,12.1672975756448
2025-02-26,575.85634489633
2025-02-27,792.265749287591
2025-02-28,100.793907450559
2025-03-01,393.185079939464
2025-03-02,3380.55892187019
2025-03-03,7035.36948409969
2025-03-04,1146.01237211659
2025-03-05,0
2025-03-06,2068.71143955596
2025-03-07,0
2025-03-08,0
2025-03-09,0
2025-03-10,3983.37172670282
2025-03-11,671.531315792053
2025-03-12,0
2025-03-13,1851.78622082069
2025-03-14,0
2025-03-15,0
2025-03-16,1.64000000000002
2025-03-17,0
2025-03-18,1233.41770487515
2025-03-19,0
2025-03-20,0
2025-03-21,265.050197104019
2025-03-22,0
2025-03-23,0
2025-03-24,239.466637666869
2025-03-25,681.301601354459
2025-03-26,0
2025-03-27,0
2025-03-28,322.954865671378
2025-03-29,70.1094993028693
2025-03-30,0
2025-03-31,850.037355340396
2025-04-01,43.6081311253675
2025-04-02,3316.40904014827
2025-04-03,163.307725393353
2025-04-04,0
2025-04-05,3.08741859888482
2025-04-06,0
2025-04-07,0
2025-04-08,260.701361432164
2025-04-09,3111.21402709374
2025-04-10,0
2025-04-11,152.196962671034
2025-04-12,0
2025-04-13,2389.83615874118
2025-04-14,112.185654890082
2025-04-15,0
2025-04-16,2025.9366082133
2025-04-17,1214.37706790499
2025-04-18,0
2025-04-19,0
2025-04-20,87.7238866616058
2025-04-21,110.867410685243
2025-04-22,0
2025-04-23,0
2025-04-24,16.3019566983627
2025-04-25,0
2025-04-26,0
2025-04-27,556.450070293335
2025-04-28,5189.25057946935
2025-04-29,123.898900626791
2025-04-30,0
2025-05-01,2239.96702380238
2025-05-02,3110.07402740665
2025-05-03,497.419015108927
2025-05-04,0
2025-05-05,3413.79735645267
2025-05-06,1049.18754684409
2025-05-07,3428.09359533367
2025-05-08,4057.70803140867
2025-05-09,1613.87433120238
2025-05-10,0
2025-05-11,23.4069781770834
2025-05-12,0
2025-05-13,0
2025-05-14,0
2025-05-15,0
2025-05-16,0
2025-05-17,0
2025-05-18,0
2025-05-19,36.3274456944444
2025-05-20,0
2025-05-21,923.471926099033
2025-05-22,0
2025-05-23,0
2025-05-24,0
2025-05-25,0
2025-05-26,0
2025-05-27,0
2025-05-28,0
2025-05-29,0
2025-05-30,0
2025-05-31,0
2025-06-01,8385.51573156845
2025-06-02,9289.01125260914
2025-06-03,7866.56514566325
2025-06-04,50.4373924454365
2025-06-05,84.0261319940475
2025-06-06,2181.44918723911
2025-06-07,466.825374895808
2025-06-08,20.423840798611
2025-06-09,6693.42117032563
2025-06-10,0
2025-06-11,4546.1816501118
2025-06-12,0
2025-06-13,0
2025-06-14,0
2025-06-15,0
2025-06-16,0
2025-06-17,5.24105520833336
2025-06-18,62.2434924305553
2025-06-19,20.7667980902776
2025-06-20,0
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0
2025-06-25,0
2025-06-26,0
2025-06-27,0
2025-06-28,0
2025-06-29,0
2025-06-30,0
2025-07-01,220.458363278769
2025-07-02,376.653205818453
2025-07-03,105.802828849207
2025-07-04,0
2025-07-05,845.339114548909
2025-07-06,11587.7669804249
2025-07-07,110.02510858631
2025-07-08,1612.78266595687
2025-07-09,28.2102637152775
2025-07-10,335.163925803653
2025-07-11,0
2025-07-12,1061.48584172371
2025-07-13,359.860709793864
2025-07-14,63.0449385420627
2025-07-15,0
2025-07-16,0
2025-07-17,1167.0312054099
2025-07-18,0
2025-07-19,417.019726755746
2025-07-20,0
2025-07-21,1782.63490072258
2025-07-22,0
2025-07-23,1039.59306942486
2025-07-24,0
2025-07-25,0
2025-07-26,0
2025-07-27,495.882683333332
2025-07-28,3569.38923751252
2025-07-29,1933.08019236605
2025-07-30,158.567356507935
2025-07-31,571.023402992287
2025-08-01,0
2025-08-02,0
2025-08-03,19.5037116319443
2025-08-04,0
2025-08-05,0
2025-08-06,4.3380814930556
2025-08-07,2.86964724206352
2025-08-08,0
2025-08-09,0
2025-08-10,0
2025-08-11,262.092017925281
2025-08-12,849.136905473885
2025-08-13,69.0011597867065
2025-08-14,619.357344340185
2025-08-15,489.657748689334
2025-08-16,1677.05517761987
2025-08-17,515.5176481371
2025-08-18,487.293820624724
2025-08-19,1516.70068089561
2025-08-20,4493.74772626994
2025-08-21,273.031282640776
2025-08-22,4001.19784259266
2025-08-23,690.687973097833
2025-08-24,2264.6316959597
2025-08-25,4938.00376874671
2025-08-26,3819.42983646929
2025-08-27,503.274828908837
2025-08-28,2851.41343213566
2025-08-29,892.332296257613
2025-08-30,525.399983096603
2025-08-31,1906.11282917246
2025-09-01,0
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,0
2025-09-06,0
2025-09-07,0
2025-09-08,67.0589905311526
2025-09-09,0
2025-09-10,1038.53579988569
2025-09-11,0
2025-09-12,0
2025-09-13,0
2025-09-14,0
2025-09-15,1.17176666666667
2025-09-16,86.4283009871048
2025-09-17,428.884685164238
2025-09-18,57.0597751125948
2025-09-19,114.337675148808
2025-09-20,470.864592637228
2025-09-21,165.850097157764
2025-09-22,1663.84934806052
2025-09-23,5351.68992141664
2025-09-24,260.124444418248
2025-09-25,1927.0699012632
2025-09-26,284.126271249722
2025-09-27,2854.53916204553
2025-09-28,35.000313355655
2025-09-29,4055.76074164789
2025-09-30,8878.12010231658
2025-10-01,0
2025-10-02,0
2025-10-03,46.5977216373246
2025-10-04,1857.60058113341
2025-10-05,0
2025-10-06,0
2025-10-07,0
2025-10-08,0
2025-10-09,193.119735863143
2025-10-10,223.41737432662
2025-10-11,0
2025-10-12,20.9299333333333
2025-10-13,109.030527818117
2025-10-14,0
2025-10-15,0
2025-10-16,1407.74649779733
2025-10-17,245.089684105103
2025-10-18,0
2025-10-19,1234.4472172399
2025-10-20,1126.33241640444
2025-10-21,0
2025-10-22,9377.86725175859
2025-10-23,0
2025-10-24,548.836594960314
2025-10-25,1006.38762112029
2025-10-26,0
2025-10-27,569.494065536062
2025-10-28,0
2025-10-29,5223.15620860739
2025-10-30,834.447598583774
2025-10-31,111.921097494746
2025-11-01,199.566257397917
2025-11-02,2583.26822581535
2025-11-03,0
2025-11-04,415.694510793405
2025-11-05,0
2025-11-06,1439.11219747748
2025-11-07,25.2465927523812
2025-11-08,0
2025-11-09,0
2025-11-10,0
2025-11-11,0
2025-11-12,0
2025-11-13,2.01053333333327
2025-11-14,0
2025-11-15,0
2025-11-16,0
2025-11-17,0
2025-11-18,0
2025-11-19,0
2025-11-20,0
2025-11-21,0
2025-11-22,0
2025-11-23,0
2025-11-24,18.8396666666666
2025-11-25,0
2025-11-26,32.9931666666666
2025-11-27,0
2025-11-28,0
2025-11-29,1488.7057594255
2025-11-30,0
2025-12-01,5735.03020551236
2025-12-02,8069.04998087143
2025-12-03,0
2025-12-04,5162.47610068459
2025-12-05,650.430476034892
2025-12-06,7542.13937736057
2025-12-07,0
2025-12-08,0
2025-12-09,2635.85434788648
2025-12-10,0
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,6.59096766532206
2025-12-18,0
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0.914957891069861
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,142.006408144096
