date,slot,period,price,buy_kwh,E_kwh
2025-03-20,1,00:00-00:10,0.4248,1401.75166666667,1950
2025-03-20,2,00:10-00:20,0.4245,1383.17815,2700
2025-03-20,3,00:20-00:30,0.4269,1403.64683333333,3450
2025-03-20,4,00:30-00:40,0.4272,1447.185,4200
2025-03-20,5,00:40-00:50,0.4271,1412.7895,4950
2025-03-20,6,00:50-01:00,0.4285,1383.77825,5700
2025-03-20,7,01:00-01:10,0.4311,1237.82333333333,6300
2025-03-20,8,01:10-01:20,0.4302,1434.92238333333,7050
2025-03-20,9,01:20-01:30,0.4279,1444.81708333333,7800
2025-03-20,10,01:30-01:40,0.4312,598.216666666667,7800
2025-03-20,11,01:40-01:50,0.4333,583.93595,7800
2025-03-20,12,01:50-02:00,0.4311,1424.32838333333,8550
2025-03-20,13,02:00-02:10,0.4293,1431.77666666667,9300
2025-03-20,14,02:10-02:20,0.4324,565.983616666667,9300
2025-03-20,15,02:20-02:30,0.4367,546.120766666667,9300
2025-03-20,16,02:30-02:40,0.4348,565.713333333333,9300
2025-03-20,17,02:40-02:50,0.4335,597.926566666667,9300
2025-03-20,18,02:50-03:00,0.4357,600.954466666667,9300
2025-03-20,19,03:00-03:10,0.4374,587.131666666667,9300
2025-03-20,20,03:10-03:20,0.4371,605.2103,9300
2025-03-20,21,03:20-03:30,0.4356,621.892383333333,9300
2025-03-20,22,03:30-03:40,0.4353,620.168333333333,9300
2025-03-20,23,03:40-03:50,0.436,616.623083333333,9300
2025-03-20,24,03:50-04:00,0.4378,612.46375,9300
2025-03-20,25,04:00-04:10,0.4401,603.93,9300
2025-03-20,26,04:10-04:20,0.4389,589.794633333333,9300
2025-03-20,27,04:20-04:30,0.4364,581.46405,9300
2025-03-20,28,04:30-04:40,0.4393,585.585,9300
2025-03-20,29,04:40-04:50,0.4422,599.725133333333,9300
2025-03-20,30,04:50-05:00,0.4395,616.739316666667,9300
2025-03-20,31,05:00-05:10,0.4333,625.595,9300
2025-03-20,32,05:10-05:20,0.4439,619.433916666667,9300
2025-03-20,33,05:20-05:30,0.4301,1451.17773333333,10050
2025-03-20,34,05:30-05:40,0.3713,1440.44833333333,10800
2025-03-20,35,05:40-05:50,0.5708,575.430066666667,10800
2025-03-20,36,05:50-06:00,0.9099,0,10053.9298703704
2025-03-20,37,06:00-06:10,0.9368,0,9135.02431481481
2025-03-20,38,06:10-06:20,0.8758,0,8255.07994444444
2025-03-20,39,06:20-06:30,0.8759,0,7466.23181481481
2025-03-20,40,06:30-06:40,0.8601,0,6720.26422222222
2025-03-20,41,06:40-06:50,0.8442,0,6021.32548148148
2025-03-20,42,06:50-07:00,0.8334,127.78805,5512.02785185185
2025-03-20,43,07:00-07:10,0.8092,531.182083333333,5512.02785185185
2025-03-20,44,07:10-07:20,0.7972,446.5755,5512.02785185185
2025-03-20,45,07:20-07:30,0.7644,401.241616666667,5512.02785185185
2025-03-20,46,07:30-07:40,0.6899,369.577083333333,5512.02785185185
2025-03-20,47,07:40-07:50,0.86,0,5200.14985185185
2025-03-20,48,07:50-08:00,1.1617,0,4828.39644444444
2025-03-20,49,08:00-08:10,1.1683,0,4285.97468518519
2025-03-20,50,08:10-08:20,1.0956,0,3749.52596296296
2025-03-20,51,08:20-08:30,1.0849,0,3262.44662962963
2025-03-20,52,08:30-08:40,1.061,0,2805.60496296296
2025-03-20,53,08:40-08:50,1.043,0,2435.9692037037
2025-03-20,54,08:50-09:00,1.036,0,2127.07461111111
2025-03-20,55,09:00-09:10,1.0147,0,1835.05192592593
2025-03-20,56,09:10-09:20,0.9922,0,1589.18107407407
2025-03-20,57,09:20-09:30,0.97,0,1421.93844444444
2025-03-20,58,09:30-09:40,0.9422,0,1336.17687037037
2025-03-20,59,09:40-09:50,0.9569,0,1296.07159259259
2025-03-20,60,09:50-10:00,0.9977,0,1250.23009259259
2025-03-20,61,10:00-10:10,0.9919,0,1200
2025-03-20,62,10:10-10:20,0.9588,0,1214.587875
2025-03-20,63,10:20-10:30,0.9549,0,1263.896895
2025-03-20,64,10:30-10:40,0.9839,0,1324.716645
2025-03-20,65,10:40-10:50,0.799,0,1446.858405
2025-03-20,66,10:50-11:00,0.5025,649.496766666667,2196.858405
2025-03-20,67,11:00-11:10,0.4662,669.483333333333,2946.858405
2025-03-20,68,11:10-11:20,0.5007,723.39595,3696.858405
2025-03-20,69,11:20-11:30,0.4827,723.492183333333,4446.858405
2025-03-20,70,11:30-11:40,0.4785,673.75625,5196.858405
2025-03-20,71,11:40-11:50,0.4662,653.065716666667,5946.858405
2025-03-20,72,11:50-12:00,0.4432,624.098216666667,6696.858405
2025-03-20,73,12:00-12:10,0.4411,558.311666666667,7446.858405
2025-03-20,74,12:10-12:20,0.4551,479.312016666667,8196.858405
2025-03-20,75,12:20-12:30,0.4463,460.776533333333,8946.858405
2025-03-20,76,12:30-12:40,0.4113,529.049583333333,9696.858405
2025-03-20,77,12:40-12:50,0.5682,11.551766666667,9887.101485
2025-03-20,78,12:50-13:00,0.8279,0,10042.889895
2025-03-20,79,13:00-13:10,0.8636,0,10219.052895
2025-03-20,80,13:10-13:20,0.8416,0,10343.320905
2025-03-20,81,13:20-13:30,0.8618,0,10424.59125
2025-03-20,82,13:30-13:40,0.8623,0,10510.198125
