month,em_kwh_plan,em_kwh_corr,em_yuan_plan,em_yuan_corr,tot_yuan_plan,tot_yuan_corr
2,6098.78890833333,497.452975416659,26618.9219664958,2897.9146091687,1307062.72826779,1280514.77457195
3,24433.6440125,2626.13898079165,91349.3986216937,15841.6002828846,1233901.30071729,1158435.87875997
4,34115.7649833333,4792.4891230144,118176.302063238,30417.2943155802,1045459.04993165,956777.488608895
5,102337.264558333,40544.44225875,406132.303846675,252221.334437755,1237112.18433753,1087696.40435895
6,306361.314504167,235501.761800137,1218044.78517345,1445333.47347114,2188443.20639591,2424577.94114354
7,181180.505429167,114667.623228476,670422.651368559,650495.481027323,1915026.39082305,1905069.04600743
8,55483.4647458333,20106.1548098503,224443.098624079,131562.081992591,1431217.92746719,1335396.93097572
9,83383.5205375,40180.1614223302,347190.003299371,240846.378464189,1418710.33056536,1292253.34691853
10,126901.713370833,88280.6065840808,517634.10606244,521057.264204284,1514237.14606731,1507000.15961841
11,196524.800783333,150799.128192297,773812.179406102,911306.124613736,1843746.68502662,1981583.10814437
12,246887.660120422,215940.749817462,938420.105085993,1260064.13704154,2332456.14034233,2655587.55594453
