slot,period,buy_kwh,chg_kwh,dis_kwh,E_kwh,curt_kwh
1,00:00-00:10,1406.6411,833.333333333333,0,6750,0
2,00:10-00:20,1406.32986666667,833.333333333333,0,7500,0
3,00:20-00:30,1407.38385,833.333333333333,0,8250,0
4,00:30-00:40,1409.07395,833.333333333333,0,9000,0
5,00:40-00:50,1409.80455,833.333333333333,0,9750,0
6,00:50-01:00,576.640016666667,0,0,9750,0
7,01:00-01:10,577.8597,0,0,9750,0
8,01:10-01:20,577.993866666667,0,0,9750,0
9,01:20-01:30,911.161383333333,333.333333333333,0,10050,0
10,01:30-01:40,580.41545,0,0,10050,0
11,01:40-01:50,582.514016666667,0,0,10050,0
12,01:50-02:00,583.07405,0,0,10050,0
13,02:00-02:10,584.204916666667,0,0,10050,0
14,02:10-02:20,585.439783333333,0,0,10050,0
15,02:20-02:30,586.14475,0,0,10050,0
16,02:30-02:40,586.320766666667,0,0,10050,0
17,02:40-02:50,586.4253,0,0,10050,0
18,02:50-03:00,586.8496,0,0,10050,0
19,03:00-03:10,587.821016666667,0,0,10050,0
20,03:10-03:20,589.547566666667,0,0,10050,0
21,03:20-03:30,590.813466666667,0,0,10050,0
22,03:30-03:40,590.213116666667,0,0,10050,0
23,03:40-03:50,591.066266666667,0,0,10050,0
24,03:50-04:00,593.367833333333,0,0,10050,0
25,04:00-04:10,593.659683333333,0,0,10050,0
26,04:10-04:20,592.786383333333,0,0,10050,0
27,04:20-04:30,593.337866666667,0,0,10050,0
28,04:30-04:40,596.675766666667,0,0,10050,0
29,04:40-04:50,597.78025,0,0,10050,0
30,04:50-05:00,595.1625,0,0,10050,0
31,05:00-05:10,590.6065,0,0,10050,0
32,05:10-05:20,589.485183333333,0,0,10050,0
33,05:20-05:30,578.45545,0,0,10050,0
34,05:30-05:40,1383.65978333333,833.333333333333,0,10800,0
35,05:40-05:50,591.1402,0,0,10800,0
36,05:50-06:00,0,0,668.253883333333,10057.4956851852,0
37,06:00-06:10,0,0,655.455333333333,9329.21198148148,0
38,06:10-06:20,0,0,616.504033333333,8644.2075,0
39,06:20-06:30,0,0,591.454483333333,7987.03585185185,0
40,06:30-06:40,0,0,557.486866666667,7367.606,0
41,06:40-06:50,0,0,529.2397,6779.56188888889,0
42,06:50-07:00,0,0,502.470716666667,6221.26109259259,0
43,07:00-07:10,0,0,455.443566666667,5715.21268518519,0
44,07:10-07:20,0,0,410.0667,5259.58301851852,0
45,07:20-07:30,0,0,356.996783333333,4862.91992592593,0
46,07:30-07:40,0,0,283.363566666667,4548.07151851852,0
47,07:40-07:50,0,0,320.684116666667,4191.75583333333,0
48,07:50-08:00,0,0,418.42145,3726.84311111111,0
49,08:00-08:10,0,0,381.910783333333,3302.4977962963,0
50,08:10-08:20,0,0,309.55635,2958.5462962963,0
51,08:20-08:30,0,0,264.6194,2664.52474074074,0
52,08:30-08:40,0,0,213.7408,2427.03496296296,0
53,08:40-08:50,0,0,178.558916666667,2228.63616666667,0
54,08:50-09:00,0,0,155.392116666667,2055.97825925926,0
55,09:00-09:10,0,0,112.2595,1931.24548148148,0
56,09:10-09:20,0,0,64.3968666666666,1859.69340740741,0
57,09:20-09:30,0,0,22.5622499999999,1834.62424074074,0
58,09:30-09:40,0,17.4240666666666,0,1850.30590074074,0
59,09:40-09:50,0,52.8377666666665,0,1897.85989074074,0
60,09:50-10:00,0,84.5624166666666,0,1973.96606574074,0
61,10:00-10:10,0,116.983583333333,0,2079.25129074074,0
62,10:10-10:20,0,146.6606,0,2211.24583074074,0
63,10:20-10:30,0,173.52025,0,2367.41405574074,0
64,10:30-10:40,0,201.029083333333,0,2548.34023074074,0
65,10:40-10:50,0,225.406116666667,0,2751.20573574074,0
66,10:50-11:00,0,244.009250000001,0,2970.81406074074,0
67,11:00-11:10,575.170916666667,833.333333333333,0,3720.81406074074,0
68,11:10-11:20,0,272.631533333333,0,3966.18244074074,0
69,11:20-11:30,0,284.320983333333,0,4222.07132574074,0
70,11:30-11:40,179.27717139918,468.578638065846,0,4643.7921,0
71,11:40-11:50,520.124516666667,833.333333333333,0,5393.7921,0
72,11:50-12:00,486.4029,833.333333333333,0,6143.7921,0
73,12:00-12:10,480.41245,833.333333333333,0,6893.7921,0
74,12:10-12:20,485.3,833.333333333333,0,7643.7921,0
75,12:20-12:30,488.606966666666,833.333333333333,0,8393.7921,0
76,12:30-12:40,498.270733333333,833.333333333333,0,9143.7921,0
77,12:40-12:50,0,304.551766666666,0,9417.88869,0
78,12:50-13:00,0,264.507183333333,0,9655.945155,0
79,13:00-13:10,0,242.507549999999,0,9874.20195,0
80,13:10-13:20,0,223.075583333335,0,10074.969975,0
81,13:20-13:30,0,198.759316666668,0,10253.85336,0
82,13:30-13:40,0,177.359816666665,0,10413.477195,0
83,13:40-13:50,0,151.7403,0,10550.043465,0
84,13:50-14:00,0,120.035033333334,0,10658.074995,0
85,14:00-14:10,0,87.81445,0,10737.108,0
86,14:10-14:20,0,53.6248666666668,0,10785.37038,0
87,14:20-14:30,0,16.2551333333334,0,10800,0
88,14:30-14:40,0,0,23.7813666666667,10773.5762592593,0
89,14:40-14:50,0,0,67.3200166666667,10698.7762407407,0
90,14:50-15:00,112.089866666667,0,0,10698.7762407407,0
91,15:00-15:10,266.732693621399,112.470843621399,0,10800,0
92,15:10-15:20,197.523516666667,0,0,10800,0
93,15:20-15:30,244.814033333333,0,0,10800,0
94,15:30-15:40,295.534616666667,0,0,10800,0
95,15:40-15:50,345.7775,0,0,10800,0
96,15:50-16:00,394.931483333333,0,0,10800,0
97,16:00-16:10,445.43165,0,0,10800,0
98,16:10-16:20,495.696583333333,0,0,10800,0
99,16:20-16:30,547.11905,0,0,10800,0
100,16:30-16:40,599.985433333333,0,0,10800,0
101,16:40-16:50,635.42975,0,0,10800,0
102,16:50-17:00,660.830683333333,0,0,10800,0
103,17:00-17:10,702.036933333333,0,0,10800,0
104,17:10-17:20,738.065783333333,0,0,10800,0
105,17:20-17:30,775.944716666667,0,0,10800,0
106,17:30-17:40,826.08325,0,0,10800,0
107,17:40-17:50,762.4228,0,0,10800,0
108,17:50-18:00,636.982616666667,0,0,10800,0
109,18:00-18:10,531.89405,0,109.26725,10678.5919444444,0
110,18:10-18:20,678.830533333333,0,0,10678.5919444444,0
111,18:20-18:30,686.2685,0,0,10678.5919444444,0
112,18:30-18:40,696.504383333333,0,0,10678.5919444444,0
113,18:40-18:50,0,0,704.634266666667,9895.66498148148,0
114,18:50-19:00,0,0,706.484033333333,9110.68272222222,0
115,19:00-19:10,0,0,707.406466666667,8324.67553703704,0
116,19:10-19:20,0,0,708.553,7537.39442592593,0
117,19:20-19:30,0,0,709.446883333333,6749.12011111111,0
118,19:30-19:40,0,0,711.23245,5958.86183333333,0
119,19:40-19:50,0,0,711.6625,5168.12572222222,0
120,19:50-20:00,0,0,711.445033333333,4377.63124074074,0
121,20:00-20:10,0,0,713.704083333333,3584.6267037037,0
122,20:10-20:20,0,0,715.28415,2789.86653703704,0
123,20:20-20:30,0,0,715.22685,1995.17003703704,0
124,20:30-20:40,0,0,715.653033333333,1200,0
125,20:40-20:50,715.868916666667,0,0,1200,0
126,20:50-21:00,717.005116666667,0,0,1200,0
127,21:00-21:10,720.1603,0,0,1200,0
128,21:10-21:20,717.054866666667,0,0,1200,0
129,21:20-21:30,720.445966666667,0,0,1200,0
130,21:30-21:40,738.134716666667,0,0,1200,0
131,21:40-21:50,671.693566666667,0,0,1200,0
132,21:50-22:00,1393.79031666667,833.333333333333,0,1950,0
133,22:00-22:10,1384.8989,833.333333333333,0,2700,0
134,22:10-22:20,568.82605,0,0,2700,0
135,22:20-22:30,1396.98855,833.333333333333,0,3450,0
136,22:30-22:40,1397.75986666667,833.333333333333,0,4200,0
137,22:40-22:50,566.747433333333,0,0,4200,0
138,22:50-23:00,1399.87376666667,833.333333333333,0,4950,0
139,23:00-23:10,567.83015,0,0,4950,0
140,23:10-23:20,569.358633333336,0,0,4950,0
141,23:20-23:30,1403.66351666667,833.333333333333,0,5700,0
142,23:30-23:40,904.948716666665,333.333333333331,0,6000,0
143,23:40-23:50,573.176833333333,0,0,6000,0
144,23:50-24:00,574.120983333333,0,0,6000,0
