date,em_kwh,cost_total_yuan
2025-01-01,18515.5695,122086.898243416
2025-01-02,19028.1722,127033.92689644
2025-01-03,8775.07206666667,57650.62022313
2025-01-04,8546.44338333333,56609.8987614266
2025-01-05,17102.1194666667,120333.02686684
2025-01-06,17400.3384666667,121055.083221917
2025-01-07,19519.5610333333,128380.559581965
2025-01-08,16576.8172,118548.809200383
2025-01-09,17772.66785,123089.300600043
2025-01-10,8390.96063333333,55666.1854041883
2025-01-11,8390.46223333333,55601.99841945
2025-01-12,18004.8119333333,122586.283465102
2025-01-13,14918.3559166667,110695.667853372
2025-01-14,15555.2659166667,114328.660557527
2025-01-15,16806.82125,118983.964016646
2025-01-16,15854.0282333333,115660.036532676
2025-01-17,7516.46095,51418.9505142033
2025-01-18,7346.34221666667,50849.4600828768
2025-01-19,16160.4072166667,116373.348080775
2025-01-20,15092.3473,112458.457921758
2025-01-21,11644.5818833333,97834.6605713686
2025-01-22,15611.68855,113814.640107633
2025-01-23,16800.6394666667,117325.231732945
2025-01-24,7228.46513333333,50077.4015866019
2025-01-25,6802.24985,48310.049658126
2025-01-26,14740.8371166667,108785.179798282
2025-01-27,11807.4661333333,97398.3029778278
2025-01-28,14115.5451833333,107295.503054393
2025-01-29,9644.83988333333,87816.4594899664
2025-01-30,11519.8045,96946.2370838003
2025-01-31,6161.43348333333,45214.86488078
2025-02-01,5953.72701666667,42639.4769196282
2025-02-02,9901.38738333333,87292.2041739515
2025-02-03,10420.1101333333,89475.6285228211
2025-02-04,12643.5195833333,98814.4365681897
2025-02-05,11431.8932666667,93377.6237068843
2025-02-06,11166.2420333333,92408.6088748678
2025-02-07,5650.2272,41855.0687329506
2025-02-08,4779.66301666667,37284.983037739
2025-02-09,10824.5242166667,89637.0692425771
2025-02-10,7083.0784,74338.0005253014
2025-02-11,7458.45206666667,76975.8665294056
2025-02-12,7874.12453333333,78313.622024922
2025-02-13,4915.33226666667,65021.880174362
2025-02-14,3944.96003333333,33653.0212888036
2025-02-15,3946.4079,33452.8491910874
2025-02-16,7376.84795,75203.180121961
2025-02-17,4629.69886666667,62904.0701624327
2025-02-18,4896.76548333333,64672.1573908257
2025-02-19,5987.26815,69970.656770583
2025-02-20,4395.27528333333,62620.2905062473
2025-02-21,2968.09265,29132.1871155143
2025-02-22,3079.50573333333,29602.9934259296
2025-02-23,4305.84846666667,62148.4539539222
2025-02-24,3359.98133333333,56969.3278254721
2025-02-25,2674.3414,54338.5590401489
2025-02-26,3371.83953333333,56931.9774577823
2025-02-27,3498.7986,58400.1876584989
2025-02-28,2314.44888333333,25907.6881927992
2025-03-01,2685.23488333333,26895.3803312043
2025-03-02,6426.8415,69292.3383647065
2025-03-03,6888.15681666667,71769.933922906
2025-03-04,4470.03098333333,61110.1323100367
2025-03-05,2658.4061,52715.3741625552
2025-03-06,2899.53376666667,53084.0452064001
2025-03-07,1899.71723333333,22957.9775202606
2025-03-08,1683.17666666667,22258.8533673114
2025-03-09,1725.88285,48089.6676947772
2025-03-10,2783.96318333333,52851.8210098388
2025-03-11,2313.66033333333,50054.1018533642
