date,buy_kwh,em_kwh,cost_yuan,chg_kwh,dis_kwh,curt_kwh,pv_load_kwh,pv_chg_kwh,E0_kwh,E24_kwh,exitflag,abs_gap
2025-02-01,38090.2917090535,0,19642.0454639413,20363.0479423868,16494.0688333333,0,31455.0284666667,10472.0018833333,1200,1200,1,3.63797880709171e-12
2025-02-02,82818.5578827161,0,51758.8582211912,23541.2277160494,19068.39445,0,42912.50215,437.19255,1200,1200,1,0
2025-02-03,84729.2805810699,0,53066.6595218982,23753.6355144033,19240.4447666667,0,42306.1860166667,80.6664833333334,1200,1200,1,1.45519152283669e-11
2025-02-04,85880.6413176955,0,54013.3766356452,24455.6615843621,19809.0858833333,0,40064.18655,319.04835,1200,1200,1,0
2025-02-05,85261.5992393004,0,53368.7690337748,23763.8715226337,19248.7359333333,0,41201.4751,41.18235,1200,1200,1,1.45519152283669e-11
2025-02-06,84978.5183718333,0,53107.2109757451,24001.4008166667,19441.1346615,0,41979.7046666667,1.40081666666674,1200,1200,1,0.0295182541885879
2025-02-07,37432.1627135802,0,19220.1294157694,20438.9902469136,16555.5821,1732.73656666666,31963.5140333333,10666.6666666667,1200,1200,1,1.09139364212751e-11
2025-02-08,36133.8937707819,0,18593.7555233354,19502.9580041152,15797.3959833333,988.882366666669,32514.0757666667,10666.6666666667,1200,1200,1,0
2025-02-09,84070.2350440329,0,52407.2597776519,23977.1618106996,19421.5010666667,0,41940.0581833333,52.4294166666667,1200,1200,1,7.27595761418343e-12
2025-02-10,78746.0498033333,0,48693.671710606,23359.8713333333,18921.49578,0,45699.1991666667,1451.72776666667,1200,1200,1,7.27595761418343e-12
2025-02-11,79700.3647246913,0,49567.415205805,23273.2680246914,18851.3471,0,45238.3448333333,982.33965,1200,1200,1,1.45519152283669e-11
2025-02-12,79695.4058138333,0,49685.9993497249,23330.05095,18897.3412695,0,44732.27825,1364.8385,1200,1200,1,0
2025-02-13,75822.1216037037,0,46687.8729177909,22921.2153703704,18566.18445,0,47788.8613666667,2191.94333333333,1200,1200,1,1.45519152283669e-11
2025-02-14,35576.5865205761,0,18284.5203415168,19204.6283539095,15555.7489666667,2140.63365,33263.5358166667,10666.6666666667,1200,1200,1,0
2025-02-15,35400.4471726338,0,18255.2101584564,18740.0098559671,15179.4079833333,2689.13586666666,33418.6586166667,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-02-16,79727.4201467078,0,49375.1958903812,22920.2072633745,18565.3678833333,0,45328.55015,571.048033333333,1200,1200,1,0
2025-02-17,75478.9418777778,0,46296.9827700917,22680.4844444444,18371.1924,0,47877.6082666667,1898.90138333333,1200,1200,1,0
2025-02-18,76530.2584418457,0,47019.8536000105,23245.775395679,18829.0780705,0,48042.8492833333,1197.03416666667,1200,1200,1,2.91038304567337e-11
2025-02-19,77250.1755444445,0,47835.6024919644,23150.1394444444,18751.61295,0,46712.4372,2275.02953333333,1200,1200,1,7.27595761418343e-12
2025-02-20,75400.848827572,0,46325.0174184575,22378.7197942387,18126.7630333333,0,48312.33495,1799.78835,1200,1200,1,0
2025-02-21,34313.7259347737,0,17363.3593214761,18569.0608847737,15040.9393166667,5245.32233333333,34329.751,10666.6666666667,1200,1200,1,0
2025-02-22,34272.3863666667,0,17505.3297877283,18166.6666666667,14715,3123.20515,34047.6075666667,10666.6666666667,1200,1200,1,0.114536137290997
2025-02-23,75853.0036932099,0,46517.2809895768,22644.7632098765,18342.2582,0,48245.1451666667,1365.14208333333,1200,1200,1,1.45519152283669e-11
2025-02-24,72487.6060742798,0,44385.3120386478,22513.9953909465,18236.3362666667,0,49295.0557333333,3130.8992,1200,1200,1,0
2025-02-25,69994.8557351852,0,42927.4366224883,21839.6535185185,17690.11935,0,50542.7501166667,4729.25953333333,1200,1200,1,0
2025-02-26,73037.4132796296,0,44615.1561180109,22373.8346296296,18122.80605,0,49537.6689,2708.21718333333,1200,1200,1,0
2025-02-27,71422.0180771605,0,44187.9236815576,22580.0554938272,18289.84495,0,48956.3358,4686.56893333333,1200,1200,1,0
2025-02-28,33150.9296518518,0,16777.0291981533,17864.3285185185,14470.1061,6503.19035,34922.6573833333,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-03-01,31760.7325049383,0,16307.4119120761,17081.7420164609,13836.2110333333,4967.65225514403,32930.7748833333,10686.9670781893,1200,1200,1,0
2025-03-02,76835.1833909465,0,47260.9274792478,23720.2087242798,19213.3690666667,0,45265.2165833333,236.893433333333,1200,1200,1,0
2025-03-03,76453.1567139918,0,47136.0741240694,23360.3162139918,18921.8561333333,0,44769.1666333333,1172.43233333333,1200,1200,1,0
2025-03-04,73546.3625632202,0,44805.6936329657,22863.4541923868,18519.3978958333,0,47224.35385,1715.2132,1200,1200,1,7.27595761418343e-12
2025-03-05,70339.8480915638,0,42815.5220725761,22265.4793415638,18035.0382666667,0,49305.5352666666,2637.43655,1200,1200,1,1.45519152283669e-11
2025-03-06,70297.4187753086,0,42773.8860686354,22120.5419753086,17917.639,0,48766.1620333333,2966.78238333333,1200,1200,1,7.27595761418343e-12
2025-03-07,30592.3682697531,0,15574.1249525757,16293.7680864198,13197.95215,6553.27179999999,33538.13745,10666.6666666667,1200,1200,1,3.63797880709171e-12
2025-03-08,30799.6162779835,0,15603.6638914725,16392.6540946502,13278.0498166667,8746.10748333333,33868.7979166667,10666.6666666667,1200,1200,1,0
2025-03-09,67431.9183849794,0,40997.0263065281,21720.0438683128,17593.2355333333,0,50031.65645,4327.805,1200,1200,1,0
2025-03-10,72219.4420123457,0,43645.2768378642,22032.757345679,17846.53345,0,48970.8494666667,930.14345,1200,1200,1,7.27595761418343e-12
2025-03-11,68137.110403498,0,41250.134419867,21878.2540534979,17721.3857833333,0,49958.5918166667,3602.04233333333,1200,1200,1,0
2025-03-12,66498.5499781893,0,40357.6362364733,21634.2120781893,17523.7117833333,0,50789.22615,4887.476,1200,1200,1,7.27595761418343e-12
2025-03-13,71829.3358911666,0,43539.9242873216,21628.38355,17518.9906755,0,49964.4178333333,727.2412,1200,1200,1,3.07392847177107
2025-03-14,29789.4813271605,0,15092.117250997,15876.9221604938,12860.30695,10728.5434666667,34684.2328333333,10666.6666666667,1200,1200,1,0
2025-03-15,30402.3939467078,0,15381.8002096746,16032.7639300411,12986.5387833333,6616.84365,34517.3463166667,10666.6666666667,1200,1200,1,7.27595761418343e-12
2025-03-16,67489.2642691358,0,40671.505820463,21871.9158024691,17716.2518,0,51061.1302666666,3571.03878333333,1200,1200,1,0
2025-03-17,61944.6931,0,37330.334652195,21333.3333333333,17280,0,53416.0278333333,6419.46253333333,1200,1200,1,7.27595761418343e-12
2025-03-18,65212.7988316872,0,39373.0152292619,21551.6427983539,17456.8306666667,0,51248.39,4879.07521666667,1200,1200,1,0
2025-03-19,63554.6936399177,0,38386.1567171223,21520.1571399177,17431.3272833333,0,51792.1232666667,6023.96428333333,1200,1200,1,0
2025-03-20,66460.6569532922,0,40128.5493267495,21491.8077366255,17408.3642666667,0,51528.5432333334,3910.87668333333,1200,1200,1,2.91038304567337e-11
2025-03-21,29253.6333452675,0,14603.2671514133,15576.9213786008,12617.3063166667,14268.8187666667,35624.5822666666,10666.6666666667,1200,1200,1,0
2025-03-22,28819.7739911523,0,14394.6534433202,15337.4450411523,12423.3304833333,10197.2647,35191.7984333333,10666.6666666667,1200,1200,1,0
2025-03-23,62838.8651166666,0,37692.747248225,21333.3333333333,17280,0,53316.2802166667,5653.97693333333,1200,1200,1,0
2025-03-24,62069.1606794239,0,37398.1419512614,21519.7733127572,17431.0163833333,0,52441.76475,6984.90878333333,1200,1200,1,0
2025-03-25,65037.8188343622,0,39145.3801595173,21381.1532510288,17318.7341333333,0,52315.0751333333,4787.96796666667,1200,1200,1,2.91038304567337e-11
2025-03-26,59626.1082,0,35928.31292077,21333.3333333333,17280,0,53937.5564,8174.51653333333,1200,1200,1,7.27595761418343e-12
2025-03-27,62940.3379965021,0,37708.984605138,21346.825946502,17290.9290166667,0,53502.6735666667,5732.9354,1200,1200,1,0
2025-03-28,28446.0825942387,0,14055.0074113404,15379.728127572,12457.5797833333,14728.6734833333,35674.54635,10666.6666666667,1200,1200,1,0
2025-03-29,28410.5340666667,0,14206.6085090433,14833.3333333333,12015,18017.1648833333,35727.2367333333,10666.6666666667,1200,1200,1,0.484211431847143
2025-03-30,59416.4698709877,0,35474.6849647885,21517.202654321,17428.93415,0,54838.5145833333,7810.57156666667,1200,1200,1,0
