date,Z_milp,Z_lp,gap
2025-02-01,19642.0454639413,19642.0454639413,-3.63797880709171e-12
2025-02-02,51758.8582211912,51758.8582211912,1.45519152283669e-11
2025-02-03,53066.6595218982,53066.6595218982,0
2025-02-04,54013.3766356452,54013.3766356452,7.27595761418343e-12
2025-02-05,53368.7690337748,53368.7690337748,-7.27595761418343e-12
2025-02-06,53107.2109757451,53107.1814574909,0.0295182541958638
2025-02-07,19220.1294157694,19220.1294157694,0
2025-02-08,18593.7555233354,18593.7555233354,-3.63797880709171e-12
2025-02-09,52407.2597776519,52407.2597776519,-1.45519152283669e-11
2025-02-10,48693.671710606,48693.671710606,-1.45519152283669e-11
2025-02-11,49567.4152058051,49567.4152058051,-7.27595761418343e-12
2025-02-12,49685.9993497249,49685.999349725,-7.27595761418343e-12
2025-02-13,46687.8729177909,46687.8729177909,1.45519152283669e-11
2025-02-14,18284.5203415169,18284.5203415168,3.63797880709171e-12
2025-02-15,18255.2101584564,18255.2101584564,3.63797880709171e-12
2025-02-16,49375.1958903812,49375.1958903812,-1.45519152283669e-11
2025-02-17,46296.9827700917,46296.9827700917,7.27595761418343e-12
2025-02-18,47019.8536000105,47019.8536000105,1.45519152283669e-11
2025-02-19,47835.6024919644,47835.6024919644,-7.27595761418343e-12
2025-02-20,46325.0174184575,46325.0174184575,1.45519152283669e-11
2025-02-21,17363.3593214761,17363.3593214762,-3.63797880709171e-12
2025-02-22,17505.3297877283,17505.215251591,0.114536137287359
2025-02-23,46517.2809895769,46517.2809895768,1.45519152283669e-11
2025-02-24,44385.3120386478,44385.3120386478,7.27595761418343e-12
2025-02-25,42927.4366224883,42927.4366224883,0
2025-02-26,44615.1561180109,44615.1561180109,7.27595761418343e-12
2025-02-27,44187.9236815576,44187.9236815576,7.27595761418343e-12
2025-02-28,16777.0291981533,16777.0291981533,3.63797880709171e-12
2025-03-01,16307.411912076,16307.411912076,0
2025-03-02,47260.9274792478,47260.9274792478,-3.63797880709171e-11
2025-03-03,47136.0741240694,47136.0741240694,7.27595761418343e-12
2025-03-04,44805.6936329657,44805.6936329657,-7.27595761418343e-12
2025-03-05,42815.5220725761,42815.5220725762,-2.91038304567337e-11
2025-03-06,42773.8860686354,42773.8860686353,2.91038304567337e-11
2025-03-07,15574.1249525757,15574.1249525757,3.63797880709171e-12
2025-03-08,15603.6638914725,15603.6638914725,0
2025-03-09,40997.0263065281,40997.0263065281,7.27595761418343e-12
2025-03-10,43645.2768378642,43645.2768378642,-1.45519152283669e-11
2025-03-11,41250.134419867,41250.134419867,0
2025-03-12,40357.6362364733,40357.6362364733,1.45519152283669e-11
2025-03-13,43539.9242873217,43536.8503588499,3.07392847175652
2025-03-14,15092.117250997,15092.117250997,0
2025-03-15,15381.8002096746,15381.8002096746,-1.81898940354586e-12
2025-03-16,40671.505820463,40671.5058204629,2.18278728425503e-11
2025-03-17,37330.334652195,37330.334652195,7.27595761418343e-12
2025-03-18,39373.0152292619,39373.0152292619,7.27595761418343e-12
