date,buy_kwh,em_kwh,cost_yuan,chg_kwh,dis_kwh,curt_kwh,E0_kwh,E24_kwh
2025-01-01,99647.8568213992,0,63099.0121667471,27987.8252880658,20375.1384833333,0,6000,8550
2025-01-02,97789.1319761317,0,62615.2955714043,25127.873909465,20353.5778666667,0,8550,8550
2025-01-03,49584.2047,0,25898.8678793167,21333.3333333333,17280,0,8550,8550
2025-01-04,48685.0207773189,0,25549.052722363,21358.3074244856,17300.2290138333,0,8550,8550
2025-01-05,95781.8268384773,0,61321.2986316555,25026.9379218107,20271.8197166667,0,8550,8550
2025-01-06,95391.0977666667,0,60984.3487815383,24833.3333333333,20115,0,8550,8550
2025-01-07,97329.9629685185,0,62291.5435013785,25263.8351851852,20463.7065,0,8550,8550
2025-01-08,94238.72965,0,60228.7866612717,24833.3333333333,20115,0,8550,8550
2025-01-09,96034.213681893,0,61463.5872473832,25177.0924485597,20393.4448833333,0,8550,8550
2025-01-10,49609.0193425926,0,25818.4461455578,21544.3559259259,17450.9283,0,8550,8550
2025-01-11,48741.3278925926,0,25394.0835191694,21376.5242592593,17314.98465,0,8550,8550
2025-01-12,95634.6810709876,0,61007.8075143771,24881.452654321,20153.97665,0,8550,8550
2025-01-13,92970.0303,0,58959.6881462433,24833.3333333333,20115,0,8550,8550
2025-01-14,94003.8011831276,0,59901.8629094983,24957.3153497942,20215.4254333333,0,8550,8550
2025-01-15,94892.5593485596,0,60712.0278662632,25166.6741152263,20385.0060333333,0,8550,8550
2025-01-16,93871.9137388888,0,60033.12200883,24581.5822222222,19911.0816,0,8550,8550
2025-01-17,46744.5018,0,24060.5622497967,21333.3333333333,17280,0,8550,8550
2025-01-18,47069.3836526749,0,24325.7647085066,21167.9454526749,17146.0358166667,0,8550,8550
2025-01-19,93478.8187185185,0,59635.0412290852,25091.9785185185,20324.5026,0,8550,8550
2025-01-20,92776.2732166667,0,59126.902228875,24833.3333333333,20115,0,8550,8550
2025-01-21,88106.6282769547,0,55707.9160474802,24211.9575102881,19611.6855833333,0,8550,8550
2025-01-22,93669.3378312757,0,59608.8713672815,25145.6234979424,20367.9550333333,0,8550,8550
2025-01-23,94432.9922666667,0,60012.452551065,24833.3333333333,20115,0,8550,8550
2025-01-24,43876.1548166667,0,22532.8019138983,21333.3333333333,17280,0,8550,8550
2025-01-25,42372.2688,0,21860.57492292,21333.3333333333,17280,0,8550,8550
2025-01-26,92370.3483666666,0,58465.7213954783,24833.3333333333,20115,0,8550,8550
2025-01-27,88907.3585228395,0,55875.5455840644,24571.1495061728,19902.6311,0,8550,8550
2025-01-28,91674.0443666667,0,57969.1905146083,24833.3333333333,20115,0,8550,8550
2025-01-29,85871.9654086419,0,53554.3154327919,23591.470308642,19109.09095,0,8550,8550
2025-01-30,88448.2708220164,0,55852.3924080009,24051.3142386831,19481.5645333333,0,8550,8550
2025-01-31,42187.8397166666,0,21535.4546366133,20666.6666666667,17280,0,8550,7950
2025-02-01,38756.9583757202,0,19847.7415952376,21029.7146090535,16494.0688333333,0,7950,8550
2025-02-02,82818.5578827161,0,51675.2415545245,23541.2277160494,19068.39445,0,8550,8550
2025-02-03,84729.28058107,0,52983.0428552315,23753.6355144033,19240.4447666667,0,8550,8550
2025-02-04,85880.6413176955,0,53929.7599689785,24455.6615843621,19809.0858833333,0,8550,8550
2025-02-05,85261.5992393004,0,53285.1523671081,23763.8715226337,19248.7359333333,0,8550,8550
