slot,period,price,buy_kwh,g_load_kwh,g_chg_kwh,pv_load_kwh,pv_chg_kwh,chg_kwh,dis_kwh,curt_kwh,E_kwh
1,00:00-00:10,0.4276,907.454316666667,574.120983333333,333.333333333333,0,0,333.333333333333,0,0,6300
2,00:10-00:20,0.4248,1406.6411,573.307766666667,833.333333333333,0,0,833.333333333333,0,0,7050
3,00:20-00:30,0.4245,1406.32986666667,572.996533333333,833.333333333333,0,0,833.333333333333,0,0,7800
4,00:30-00:40,0.4269,1407.38385,574.050516666667,833.333333333333,0,0,833.333333333333,0,0,8550
5,00:40-00:50,0.4272,1409.07395,575.740616666667,833.333333333333,0,0,833.333333333333,0,0,9300
6,00:50-01:00,0.4271,1409.80455,576.471216666667,833.333333333333,0,0,833.333333333333,0,0,10050
7,01:00-01:10,0.4285,576.640016666667,576.640016666667,0,0,0,0,0,0,10050
8,01:10-01:20,0.4311,577.8597,577.8597,0,0,0,0,0,0,10050
9,01:20-01:30,0.4302,577.993866666667,577.993866666667,0,0,0,0,0,0,10050
10,01:30-01:40,0.4279,577.82805,577.82805,0,0,0,0,0,0,10050
11,01:40-01:50,0.4312,580.41545,580.41545,0,0,0,0,0,0,10050
12,01:50-02:00,0.4333,582.514016666667,582.514016666667,0,0,0,0,0,0,10050
13,02:00-02:10,0.4311,583.07405,583.07405,0,0,0,0,0,0,10050
14,02:10-02:20,0.4293,584.204916666667,584.204916666667,0,0,0,0,0,0,10050
15,02:20-02:30,0.4324,585.439783333333,585.439783333333,0,0,0,0,0,0,10050
16,02:30-02:40,0.4367,586.14475,586.14475,0,0,0,0,0,0,10050
17,02:40-02:50,0.4348,586.320766666667,586.320766666667,0,0,0,0,0,0,10050
18,02:50-03:00,0.4335,586.4253,586.4253,0,0,0,0,0,0,10050
19,03:00-03:10,0.4357,586.8496,586.8496,0,0,0,0,0,0,10050
20,03:10-03:20,0.4374,587.821016666667,587.821016666667,0,0,0,0,0,0,10050
21,03:20-03:30,0.4371,589.547566666667,589.547566666667,0,0,0,0,0,0,10050
22,03:30-03:40,0.4356,590.813466666667,590.813466666667,0,0,0,0,0,0,10050
23,03:40-03:50,0.4353,590.213116666667,590.213116666667,0,0,0,0,0,0,10050
24,03:50-04:00,0.436,591.066266666667,591.066266666667,0,0,0,0,0,0,10050
25,04:00-04:10,0.4378,593.367833333333,593.367833333333,0,0,0,0,0,0,10050
26,04:10-04:20,0.4401,593.659683333333,593.659683333333,0,0,0,0,0,0,10050
27,04:20-04:30,0.4389,592.786383333333,592.786383333333,0,0,0,0,0,0,10050
28,04:30-04:40,0.4364,593.337866666667,593.337866666667,0,0,0,0,0,0,10050
29,04:40-04:50,0.4393,596.675766666667,596.675766666667,0,0.0999,0,0,0,0,10050
30,04:50-05:00,0.4422,597.78025,597.78025,0,0.0390833333333333,0,0,0,0,10050
31,05:00-05:10,0.4395,595.1625,595.1625,0,0.0480833333333333,0,0,0,0,10050
32,05:10-05:20,0.4333,590.6065,590.6065,0,3.11301666666667,0,0,0,0,10050
33,05:20-05:30,0.4439,589.485183333333,589.485183333333,0,9.0783,0,0,0,0,10050
34,05:30-05:40,0.4301,578.45545,578.45545,0,18.1619666666667,0,0,0,0,10050
35,05:40-05:50,0.3713,1383.65978333333,550.32645,833.333333333333,30.6933833333333,0,833.333333333333,0,0,10800
36,05:50-06:00,0.5708,591.1402,591.1402,0,46.1763666666667,0,0,0,0,10800
37,06:00-06:10,0.9099,0,0,0,64.7582333333333,0,0,668.253883333333,0,10057.4956851852
38,06:10-06:20,0.9368,0,0,0,86.88005,0,0,655.455333333333,0,9329.21198148148
39,06:20-06:30,0.8758,0,0,0,112.12795,0,0,616.504033333333,0,8644.2075
40,06:30-06:40,0.8759,0,0,0,140.70435,0,0,591.454483333333,0,7987.03585185185
41,06:40-06:50,0.8601,0,0,0,173.279066666667,0,0,557.486866666667,0,7367.606
42,06:50-07:00,0.8442,0,0,0,209.889583333333,0,0,529.2397,0,6779.56188888889
43,07:00-07:10,0.8334,0,0,0,251.438633333333,0,0,502.470716666667,0,6221.26109259259
44,07:10-07:20,0.8092,0,0,0,298.56845,0,0,455.443566666667,0,5715.21268518519
45,07:20-07:30,0.7972,0,0,0,347.581083333333,0,0,410.0667,0,5259.58301851852
46,07:30-07:40,0.7644,0,0,0,396.87685,0,0,356.996783333333,0,4862.91992592593
47,07:40-07:50,0.6899,0,0,0,447.195866666667,0,0,283.363566666667,0,4548.07151851852
48,07:50-08:00,0.86,0,0,0,497.725866666667,0,0,320.684116666667,0,4191.75583333333
49,08:00-08:10,1.1617,0,0,0,548.200666666667,0,0,418.42145,0,3726.84311111111
50,08:10-08:20,1.1683,0,0,0,598.89355,0,0,381.910783333333,0,3302.4977962963
51,08:20-08:30,1.0956,0,0,0,648.455533333333,0,0,309.55635,0,2958.5462962963
52,08:30-08:40,1.0849,0,0,0,696.890283333333,0,0,264.6194,0,2664.52474074074
53,08:40-08:50,1.061,0,0,0,745.294283333333,0,0,213.7408,0,2427.03496296296
54,08:50-09:00,1.043,0,0,0,792.137866666667,0,0,178.558916666667,0,2228.63616666667
55,09:00-09:10,1.036,0,0,0,836.984566666667,0,0,155.392116666667,0,2055.97825925926
56,09:10-09:20,1.0147,0,0,0,880.9021,0,0,112.2595,0,1931.24548148148
57,09:20-09:30,0.9922,0,0,0,923.862366666667,0,0,64.3968666666666,0,1859.69340740741
58,09:30-09:40,0.97,0,0,0,964.734883333333,0,0,22.5622499999999,0,1834.62424074074
59,09:40-09:50,0.9422,0,0,0,984.597666666667,17.4240666666666,17.4240666666666,0,0,1850.30590074074
60,09:50-10:00,0.9569,0,0,0,983.1877,52.8377666666667,52.8377666666667,0,0,1897.85989074074
61,10:00-10:10,0.9977,0,0,0,983.703266666667,84.5624166666666,84.5624166666666,0,0,1973.96606574074
62,10:10-10:20,0.9919,0,0,0,982.913216666667,116.983583333333,116.983583333333,0,0,2079.25129074074
63,10:20-10:30,0.9588,0,0,0,981.126133333333,146.6606,146.6606,0,0,2211.24583074074
64,10:30-10:40,0.9549,0,0,0,978.9118,173.52025,173.52025,0,0,2367.41405574074
65,10:40-10:50,0.9839,0,0,0,976.338466666667,201.029083333333,201.029083333333,0,0,2548.34023074074
