date,buy_kwh,em_kwh_plan,cost_plan_pol,em_kwh_corr,cost_corr_pol
2025-02-01,46721.6183666667,92.5366125,24713.3787299954,0,24134.5750500786
2025-02-02,94292.6512166667,65.0921708333334,60485.5514451283,0,59751.5615619123
2025-02-03,92522.1512548354,72.2147124999996,59099.7726145474,0,58452.6684991687
2025-02-04,92781.7865666667,172.844841666667,59591.5716505279,0,58708.5914351682
2025-02-05,92196.4690833333,159.8980125,59212.9378842933,0,58302.365594673
2025-02-06,93223.4875048868,84.1150083333331,59794.1348254846,0,59110.6964227888
2025-02-07,45761.0220125,123.394004166667,24244.6480769504,0,23290.7379076263
2025-02-08,44048.3600064583,101.873391666667,23414.6489944381,0,22567.6634303287
2025-02-09,91115.9941980967,240.462354166667,58490.8554638403,0,57440.3067206712
2025-02-10,89849.3438597222,82.4825916666665,57229.1616394675,0,56552.6158171093
2025-02-11,89938.1258706276,72.4821499999998,57371.1155950696,0,56766.3200495914
2025-02-12,89958.5027237654,108.687920833333,57443.4900862698,0,56716.7843298385
2025-02-13,90446.3910744342,81.2206500000004,57760.4714482715,0,57121.6389259664
2025-02-14,42336.1285833333,158.565920833334,22422.4428430504,0,21534.0359867601
2025-02-15,40715.6337824588,248.071008333334,22177.8017431159,0,20818.4535584551
2025-02-16,88208.3017148662,280.017204166667,56855.2017331605,4.97056666666367,55554.1630198178
2025-02-17,86265.1360208334,204.663379166666,55244.2546837475,74.7989916666673,54615.3755186766
2025-02-18,86303.6442,144.976408333334,55117.8165659438,31.328033333337,54463.0061233934
2025-02-19,86132.6038,433.443879166667,55673.44939514,120.537755999997,54528.3261032871
2025-02-20,85930.5011290638,207.133333333333,54860.6913483091,0,53883.7179647716
2025-02-21,38983.4381708333,434.250633333333,21863.1963111504,0,19922.0258866747
2025-02-22,37652.3744477366,422.408608333333,21214.7766474093,4.3288791666652,19385.4583856479
2025-02-23,84750.6183481996,517.434025,54940.9387898636,120.173395916667,53442.1056426177
2025-02-24,81886.497191625,302.952458333334,52351.7407348993,31.8598833333344,51059.0631081481
2025-02-25,83438.9980416667,422.504870833334,53795.5366642896,123.36523183333,52511.7012949625
2025-02-26,81977.0709117083,298.288170833333,52458.0641954397,12.8922704166671,51156.8185883669
2025-02-27,81154.54468175,173.921920833333,51402.846514399,98.3659032499965,50933.7086329548
2025-02-28,36703.1694268518,419.427508333334,20554.1931137587,14.1743314166644,18720.9384853397
2025-03-01,35783.3395663066,548.742195833333,20654.1845419459,74.6957189583323,18662.6505037476
2025-03-02,80606.6380152083,2348.22234583333,60231.4841137876,706.568684124996,54481.9271777543
2025-03-03,77844.4629639403,2064.6318625,56647.4356010358,267.825420666666,49153.5251379924
2025-03-04,78035.9692409465,849.830337499999,50776.71899897,166.604143416667,48765.2050237001
2025-03-05,78851.2060313272,384.707191666666,50617.7748308754,112.6293,49535.6804493087
2025-03-06,76889.6816520576,480.909729166666,49552.7239038178,119.583621458333,47952.4382767217
2025-03-07,34887.2622708333,783.011991666666,20722.1620495625,45.0295958333317,17896.8254668417
2025-03-08,34317.6498667181,281.537283333333,18565.6481018588,0,17575.954175585
2025-03-09,79094.3388853333,326.018208333334,50431.3783543737,178.493517875002,49647.1639398514
2025-03-10,75757.6122769167,1786.70465,52331.1589971777,220.581810249997,47655.5249344213
2025-03-11,74948.3750148333,479.982129166665,47873.0234130473,59.9778786666648,46111.4637440403
2025-03-12,75156.1239555555,517.250225,47981.9797838518,240.111135208334,47212.3023346209
2025-03-13,73267.7092533951,3708.9073125,57742.4178476753,370.530366041665,46927.978620427
2025-03-14,33350.8049033436,424.697870833334,18777.930690305,0,16972.6745273237
2025-03-15,32978.241890535,1330.7543625,21458.6416994687,317.002170416663,17923.0506470958
2025-03-16,75027.7257915638,455.9145125,47458.6569409861,1.64000000000002,45958.7758016486
2025-03-17,74175.0488545267,285.14725,46747.7757679314,24.9918945416641,45425.5978781281
2025-03-18,72021.5325853909,419.64985,45516.9218928285,0,43814.4679328856
2025-03-19,71705.0865404321,208.1389375,44533.4127556202,0,43798.793014402
2025-03-20,72308.2515963477,576.874275,46527.9469507412,128.583368374999,44880.4419914403
2025-03-21,31896.73305,581.063466666666,18612.2214040954,186.498630916666,16768.4445798173
2025-03-22,31729.1520123971,253.293158333333,16969.0088995642,0,16140.7428538622
2025-03-23,71912.2639677469,521.206045833333,45839.9119860459,184.628939708332,44559.3205105215
2025-03-24,70659.2537899691,387.717291666667,44160.8812018005,0,42938.4015379263
2025-03-25,69160.9693312243,1319.86508333333,47145.0596168184,235.300725999997,43060.6384278793
2025-03-26,68312.2805179526,366.088008333333,42711.7071699171,74.1897749999985,41889.1180128429
2025-03-27,69953.6232505658,593.735970833333,44326.7104695635,134.918575791665,42867.3565403054
2025-03-28,30577.5157174897,495.579241666666,17261.2502458822,0,15427.2100064818
2025-03-29,30399.7728848251,419.0971125,16981.8392260312,0,15349.6961504061
2025-03-30,68562.7356275206,665.759258333333,43447.547441434,0,41361.0924081455
2025-03-31,68087.2427995885,586.69205,43391.9129729584,0,41147.8204384248
2025-04-01,67922.4909258745,1942.9346625,47097.0562912122,125.534961541667,41635.7140346917
2025-04-02,64962.6582364197,3596.0834875,52530.6517717554,617.527435791666,42397.9587791824
2025-04-03,67868.9927377572,681.366495833332,43285.7946454747,58.0740022916651,41121.9668626498
2025-04-04,29420.1150030864,556.135729166667,16533.5397514523,0,14757.601350094
2025-04-05,29580.293669856,818.632554166667,17406.6093674779,0,14758.5824559771
2025-04-06,64258.0948636831,488.0389375,40469.6452418163,87.5781396249987,39082.9826611338
2025-04-07,64300.4080757202,582.040958333333,40217.2620558499,0,38511.8743193987
2025-04-08,65647.4967679527,578.6958625,41534.3778514683,259.645671666664,40393.3014816621
2025-04-09,63529.0396870885,2631.081,47091.8328911942,156.952571750003,38694.7274833229
2025-04-10,65326.656671142,638.487866666666,41417.3783805475,24.5561093749969,39266.0862190594
2025-04-11,28610.3606555556,875.181970833333,17116.3799614804,0,14143.2114425928
2025-04-12,28756.8821408436,690.118841666666,16199.1237089251,0,14346.5372107228
