day,cost_obj_yuan,em_kwh_cost_obj,cost_obj2_yuan,em_kwh_lexico,diff_kwh
1,12758316.0985933,0,17598711.1816935,0,0
2,22524198.2037066,0,26781318.2829665,0,0
3,22593763.2986483,0,26831870.9341021,0,0
4,18047253.987984,0,22252131.2378832,0,0
5,15794030.4516251,0,20022547.1143984,0,0
6,17035855.2653904,0,21292279.9281067,0,0
7,17828058.7309633,0,22107170.9732548,0,0
8,18446734.8239302,0,22719782.3415125,0,0
9,18342101.014578,0,22603232.7916384,0,0
10,18250654.7860724,0,22495975.4216314,0,0
11,18221731.5147199,0,22442151.2473973,0,0
12,18192250.910978,0,22393884.7471603,0,0
13,18123031.8702103,0,22310255.9798864,0,0
14,18011341.4779484,0,22183322.9802606,0,0
15,17889300.4157955,0,22051482.4099903,0,0
16,17822400.9426044,0,21970105.9824971,0,0
17,17727362.6277331,0,21868219.999913,0,0
18,17671679.9838877,0,21806730.6624628,0,0
19,17626578.414323,0,21742632.5132364,0,0
20,17540471.3862389,0,21642197.1471822,0,0
21,17466728.4845811,0,21564033.1589083,0,0
22,17317219.1197324,0,21398120.7474096,0,0
23,17240131.4955386,0,21308482.475429,0,0
24,17162338.4268485,0,21214654.9132274,0,0
25,17104269.8846482,0,21162738.9322696,0,0
26,17039169.3651398,0,21107383.8032076,0,0
27,16952224.4876352,0,21006976.9837647,0,0
28,16846547.3928477,0,20887333.9822902,0,0
29,16771369.0628757,0,20800228.1604821,0,0
30,16610097.3125413,0,20624976.1589636,0,0
31,16469653.735998,0,20476284.4351289,0,0
32,16396566.5769228,0,20396611.9274492,0,0
33,16300417.7709967,0,20304280.930832,0,0
34,16126479.8256286,0,20111513.5507648,0,0
35,15972980.8787175,0,19941171.7858429,0,0
36,15815650.7109385,0,19771887.2524883,0,0
37,15675437.614153,0,19621468.915357,0,0
38,15518787.2925873,0,19449968.1910405,0,0
39,15409693.8230627,0,19361984.6362,0,0
40,15303855.1954491,0,19262280.4459446,0,0
41,15146022.4079484,0,19096789.3927457,0,0
42,14968946.2546181,0,18908296.0772712,0,0
43,14791186.4846178,0,18717555.5975034,0,0
44,14605449.1087334,0,18520923.9538693,0,0
45,14394399.9645994,0,18288710.6594087,0,0
46,14296598.7360707,0,18195077.8800136,0,0
47,14206036.9679129,0,18099856.7030318,0,0
48,14033902.9252238,0,17913802.259923,0,0
49,13834205.3591763,0,17698701.2244899,0,0
50,13679993.6522104,0,17536188.5564034,0,0
51,13492953.0874889,0,17349853.9177614,0,0
52,13287676.1605428,0,17142985.5504873,0,0
53,13213430.6348312,0,17042604.8722173,0,0
54,13148849.8622761,0,16953330.9035925,0,0
55,12963083.5048725,0,16753096.3194026,0,0
56,12784348.8986018,0,16570916.8883876,0,0
57,12563150.7415834,0,16348375.8282648,0,0
58,12411812.5496616,0,16197874.4757032,0,0
59,12235553.4583616,0,16020487.0568746,0,0
60,12174469.0335738,0,15929212.8566291,0,0
61,12122330.0091826,0,15855424.0605317,0,0
62,12023919.0585949,0,15733397.3342748,0,0
63,11914073.3600289,0,15626599.1108123,0,0
64,11769593.2273152,0,15478394.7416456,0,0
65,11608210.6549318,0,15313278.3565443,0,0
66,11453736.0682585,0,15168246.6152268,0,0
67,11401532.1621327,0,15087776.8407987,0,0
68,11351938.4724192,0,15013869.2771644,0,0
69,11181632.2317153,0,14838778.1766343,0,0
70,11082323.2061677,0,14724922.6088111,0,0
71,10948671.0977469,0,14579520.6413725,0,0
72,10802330.9356876,0,14429652.3339965,0,0
73,10725615.7605207,0,14326216.3887202,0,0
74,10676186.2375495,0,14250065.7057221,0,0
75,10629420.9146052,0,14183516.3941001,0,0
76,10493570.936617,0,14044329.6273765,0,0
77,10351534.6173884,0,13896627.9077623,0,0
78,10230320.8522552,0,13784183.055234,0,0
79,10090011.4245438,0,13649545.3350057,0,0
80,9984763.72730264,0,13538207.7472792,0,0
81,9939416.72068863,0,13471337.483698,0,0
82,9891785.03725547,0,13401629.1390763,0,0
83,9755594.05567209,0,13262126.1926566,0,0
84,9640297.65812629,0,13150299.2665481,0,0
85,9559865.4915461,0,13051630.9790204,0,0
86,9430496.11331205,0,12934098.8815402,0,0
87,9325469.5572639,0,12813710.0328827,0,0
88,9283737.04002973,0,12749138.832262,0,0
89,9246833.97789967,0,12695861.9306322,0,0
90,9095142.54260121,0,12571242.347597,0,0
