date,slot,L_raw,L_cor,L_act,PV_raw,PV_cor,PV_act,bL,bPV,n_valid_L,lvl_L,n_valid_PV,n_fb
2025-02-01,1,2673.4975,2673.4975,2543.76,0,0,0,0,0,0,3,0,0
2025-02-01,2,2683.68735,2683.68735,2532.1822,0,0,0,0,0,0,3,0,0
2025-02-01,3,2719.620925,2719.620925,2492.4439,0,0,0,0,0,0,3,0,0
2025-02-01,4,2762.1625,2762.1625,2464.3,0,0,0,0,0,0,3,0,0
2025-02-01,5,2740.6239,2740.6239,2581.7688,0,0,0,0,0,0,3,0,0
2025-02-01,6,2762.793525,2762.793525,2546.4635,0,0,0,0,0,0,3,0,0
2025-02-01,7,2855.34,2855.34,2436.31,0,0,0,0,0,0,3,0,0
2025-02-01,8,2917.648275,2917.648275,2620.5011,0,0,0,0,0,0,3,0,0
2025-02-01,9,2855.874575,2855.874575,2710.7861,0,0,0,0,0,0,3,0,0
2025-02-01,10,2776.32,2776.32,2676.48,0,0,0,0,0,0,3,0,0
2025-02-01,11,2884.21865,2884.21865,2830.598,0,0,0,0,0,0,3,0,0
2025-02-01,12,2999.5692,2999.5692,2688.1558,0,0,0,0,0,0,3,0,0
2025-02-01,13,3009.2025,3009.2025,2384.42,0,0,0,0,0,0,3,0,0
2025-02-01,14,2975.48065,2975.48065,2604.5438,0,0,0,0,0,0,3,0,0
2025-02-01,15,2996.156225,2996.156225,2943.3655,0,0,0,0,0,0,3,0,0
2025-02-01,16,3050.705,3050.705,3019.32,0,0,0,0,0,0,3,0,0
2025-02-01,17,3042.7092,3042.7092,2844.4369,0,0,0,0,0,0,3,0,0
2025-02-01,18,3067.102525,3067.102525,2768.3064,0,0,0,0,0,0,3,0,0
2025-02-01,19,3124.575,3124.575,2861.65,0,0,0,0,0,0,3,0,0
2025-02-01,20,3118.96125,3118.96125,2900.3973,0,0,0,0,0,0,3,0,0
2025-02-01,21,3133.835675,3133.835675,2919.6115,0,0,0,0,0,0,3,0,0
2025-02-01,22,3147.52,3147.52,2993.09,0,0,0,0,0,0,3,0,0
2025-02-01,23,3069.43325,3069.43325,3109.8584,0,0,0,0,0,0,3,0,0
2025-02-01,24,3124.505075,3124.505075,3054.8008,0,0,0,0,0,0,3,0,0
2025-02-01,25,3255.715,3255.715,2901.7,0,0,0,0,0,0,3,0,0
2025-02-01,26,3175.8302,3175.8302,2947.1208,0,0,0,0,0,0,3,0,0
2025-02-01,27,3115.540925,3115.540925,3027.8717,0,0,0,0,0,0,3,0,0
2025-02-01,28,3183.93,3183.93,3033.47,0,0,0,0,0,0,3,0,0
2025-02-01,29,3257.827075,3257.827075,3019.3858,0,0,0,0,0,0,3,0,0
2025-02-01,30,3305.423325,3305.423325,3017.0819,0.00025,0.00025,0.0014,0,0,0,3,0,0
2025-02-01,31,3322.52,3322.52,2997.85,0,0,0,0,0,0,3,0,0
2025-02-01,32,3315.3718,3315.3718,2932.7015,0.00055,0.00055,0,0,0,0,3,0,0
2025-02-01,33,3322.605525,3322.605525,2991.1125,0.005125,0.005125,0.0199,0,0,0,3,0,0
2025-02-01,34,3355.0775,3355.0775,3175.34,0,0,0,0,0,0,3,0,0
2025-02-01,35,3380.166825,3380.166825,3284.4619,0.0098,0.0098,0,0,0,0,3,0,0
2025-02-01,36,3339.943,3339.943,3187.3644,0.07135,0.07135,0.2774,0,0,0,3,0,0
2025-02-01,37,3289.555,3289.555,3065.9,0,0,0,0,0,0,3,0,0
2025-02-01,38,3339.5326,3339.5326,3211.1231,0.136775,0.136775,0,0,0,0,3,0,0
2025-02-01,39,3353.66435,3353.66435,3203.9961,0.993825,0.993825,3.8641,0,0,0,3,0,0
2025-02-01,40,3309.9175,3309.9175,3027.12,0,0,0,0,0,0,3,0,0
2025-02-01,41,3351.236825,3351.236825,3117.3221,1.90505,1.90505,0,0,0,0,3,0,0
2025-02-01,42,3563.327725,3563.327725,3398.49,17.091025,17.091025,89.6095,0,0,0,3,0,0
2025-02-01,43,3823.125,3823.125,3652.75,105.946875,105.946875,340.5,0,0,0,3,0,0
2025-02-01,44,3897.27295,3897.27295,3703.2843,326.18685,326.18685,615.936,0,0,0,3,0,0
2025-02-01,45,3877.422675,3877.422675,3572.3788,595.943525,595.943525,884.9275,0,0,0,3,0,0
2025-02-01,46,3850.1925,3850.1925,3477.22,867.8625,867.8625,1140.675,0,0,0,3,0,0
2025-02-01,47,3819.437225,3819.437225,3654.0022,1151.3662,1151.3662,1388.0797,0,0,0,3,0,0
2025-02-01,48,3809.747225,3809.747225,3841.4201,1432.559025,1432.559025,1674.452,0,0,0,3,0,0
2025-02-01,49,3810.675,3810.675,3803.65,1708.453125,1708.453125,2004.1125,0,0,0,3,0,0
2025-02-01,50,3793.8012,3793.8012,3545.4639,1994.341325,1994.341325,2332.1065,0,0,0,3,0,0
2025-02-01,51,3818.4177,3818.4177,3411.349,2307.31205,2307.31205,2632.5934,0,0,0,3,0,0
2025-02-01,52,3848.465,3848.465,3445.37,2627.90625,2627.90625,2927.6625,0,0,0,3,0,0
