date,adj_kwh,cost_plan,cost_adj,em_kwh,cost_em
2025-02-01,36632.7618461934,20252.3280765491,2059.35434426717,7404.23640617284,33357.1951089614
2025-02-02,83024.7774935569,51277.5977500021,2860.06145828467,7201.3701,33087.5492863417
2025-02-03,84406.8269444787,52426.8407473768,3019.33504455675,6861.55965,31581.8320522819
2025-02-04,86567.4944222908,54067.4534071044,2719.84071727847,5740.71073333333,26211.4957980569
2025-02-05,86003.1355151046,52454.4797739272,3670.17458624778,5943.88106666667,27360.1494020903
2025-02-06,85540.2309833333,53197.7412361839,3549.44123419361,5989.58881944444,28064.8135998833
2025-02-07,37418.486137037,20486.4380625466,2262.36906163632,5962.52111666667,27241.7550985333
2025-02-08,34927.4905460219,18931.9341979475,2281.9134187935,6861.99685555556,32264.2668279805
2025-02-09,85811.2970764167,53204.626464842,3032.83340283861,5176.91613333333,23620.7813123833
2025-02-10,78098.797495679,48072.2283819059,3052.17423094079,8192.491075,36406.5150045958
2025-02-11,78709.0755009166,48585.1338778709,3173.68437332783,7866.23123333333,36399.7303398431
2025-02-12,78348.1764563889,48400.7381778262,3337.47807382076,8157.25474166667,37104.1369031361
2025-02-13,75357.1433720164,45579.5619426266,3789.01986836369,8219.36653333334,38575.3605108611
2025-02-14,34904.9541776406,18817.0185967462,2450.67844963895,6227.15963477366,27550.223828756
2025-02-15,34163.4735614197,18942.0956173274,2040.02082063686,6619.28794444445,28337.9559681222
2025-02-16,77320.3158127778,47549.0783222167,4102.99770720552,8433.26044166667,36744.0199174736
2025-02-17,74946.2604706447,45974.234680257,4426.52053439261,7148.7399,32673.8543850556
2025-02-18,77069.7975113522,46102.2829901628,3701.23704279415,6324.01678333334,28121.8498589236
2025-02-19,76243.2876307613,46650.0475757396,2503.42324833377,8882.47811666667,39759.8065655972
2025-02-20,74923.9357485596,45771.5603417546,2829.57864623915,7767.93206666667,35068.1411228389
2025-02-21,33107.521993107,18023.0139358446,1756.4875992125,5640.51343333333,25433.5818728056
2025-02-22,32987.3700598927,18248.8154803171,1825.51645666223,5980.451775,26531.6099960181
2025-02-23,75103.8931316186,45879.0560864627,2713.13545954709,7501.26979166667,34292.7355530764
2025-02-24,74522.6514040809,45582.2919799734,2672.017981841,6146.69804166667,28230.0739496153
2025-02-25,70908.0785181413,43781.1183618205,3471.39539858744,7467.084425,34665.5195640986
2025-02-26,72180.9904666324,43004.9075564247,4178.40815858965,8126.8762,36602.6985977917
2025-02-27,70933.5478401577,43378.6568934911,2817.82040412887,8554.78944444444,39428.2181093986
2025-02-28,31555.704960048,17354.7398059278,1866.20857339354,5291.85748055556,23179.6934583528
2025-03-01,30920.9012968107,17280.4288930082,1957.65449060904,6226.21450312071,23619.6823036302
2025-03-02,77658.2682853224,47643.4680831316,2848.3674858052,5852.72936666667,26453.6950164889
2025-03-03,74753.772013203,45765.1468862602,4253.5008091481,8300.92406666667,36133.2708986403
2025-03-04,72488.0264218255,43512.1338943683,3250.60937115776,7252.44021111111,31673.8661596708
2025-03-05,69321.6929251372,42846.7827059352,3080.64772268595,7255.74513333333,33206.7205940139
2025-03-06,69144.0925129629,43269.7444007583,1638.07819578741,8164.57474166667,36186.1304204917
2025-03-07,29712.0588515432,16560.5693766936,1870.49993378992,4942.90851944444,20866.2508207083
2025-03-08,30019.2635412551,16695.2538351908,1781.28828851254,5138.10393055556,22267.4458883472
2025-03-09,66441.9556676612,41697.5876285362,3475.4015370581,8946.35699444445,37716.7961017722
